Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Israel,,12/31/2019,Overcast throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.05,rain,59.38,43.18,39.45,0.72,1017.9,0.85,3,40.34,59.38,31.0,35.0
Israel,,1/1/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0002,0.0009,0.13,rain,58.53,43.26,41.16,0.74,1016.4,0.45,4,43.18,58.53,31.0,35.0
Israel,,1/2/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0009,0.1,rain,57.16,43.63,33.46,0.57,1018.6,0.3,3,43.26,57.16,31.0,35.0
Israel,,1/3/2020,Possible drizzle in the evening.,rain,0.3,0.0023,0.0126,0.54,rain,53.66,44.32,37.1,0.67,1017.2,0.76,2,43.63,53.66,31.0,35.0
Israel,,1/4/2020,Clear throughout the day.,rain,0.33,0.0005,0.0033,0.28,rain,57.41,40.61,31.72,0.54,1017.9,0.17,3,43.28,57.41,31.0,35.0
Israel,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,60.79,42.77,29.51,0.5,1016.9,0.0,3,39.47,60.79,31.0,35.0
Israel,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.07,rain,59.82,41.74,32.54,0.53,1016.1,0.24,4,42.77,59.82,31.0,35.0
Israel,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0001,0.0011,0.07,rain,53.62,43.95,34.94,0.63,1015.9,0.48,3,41.74,53.62,31.0,35.0
Israel,,1/8/2020,Mostly cloudy throughout the day.,rain,0.46,0.0005,0.0031,0.34,rain,53.24,42.34,38.21,0.71,1015.4,0.61,2,43.95,53.24,31.0,35.0
Israel,,1/9/2020,Mostly cloudy throughout the day.,rain,0.5,0.0008,0.0042,0.39,rain,51.32,38.68,38.73,0.78,1016.8,0.62,2,41.63,51.32,31.0,35.0
Israel,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0003,0.001,0.09,rain,57.3,41.53,38.95,0.76,1024.0,0.28,4,38.68,57.3,31.0,35.0
Israel,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.06,rain,59.15,42.39,39.03,0.72,1024.5,0.72,3,41.53,59.15,31.0,35.0
Israel,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0009,0.0048,0.2,rain,58.01,43.01,43.56,0.8,1023.7,0.54,3,43.4,58.01,31.0,35.0
Israel,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,61.15,45.97,41.81,0.73,1024.0,0.56,3,43.01,61.15,31.0,35.0
Israel,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.03,,66.17,48.45,41.0,0.62,1020.5,0.31,4,45.97,66.17,31.0,35.0
Israel,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0002,0.0012,0.06,rain,68.18,45.4,36.34,0.51,1015.2,0.57,4,48.45,68.18,31.0,35.0
Israel,,1/16/2020,Possible light rain in the evening.,rain,0.76,0.0016,0.0179,0.41,rain,59.74,48.28,41.83,0.7,1014.3,0.35,4,45.4,59.74,31.0,35.0
Israel,,1/17/2020,Possible light rain until evening.,rain,0.79,0.0078,0.024,0.86,rain,55.7,45.45,46.18,0.86,1017.0,0.86,3,47.94,55.7,31.0,35.0
Israel,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0002,0.0028,0.19,rain,56.36,43.49,40.18,0.7,1019.8,0.37,4,45.34,56.36,31.0,35.0
Israel,,1/19/2020,Possible drizzle overnight.,rain,0.86,0.0011,0.008,0.25,rain,56.88,43.82,41.35,0.77,1024.2,0.42,3,43.49,56.88,31.0,35.0
Israel,,1/20/2020,Possible light rain in the morning.,rain,0.9,0.0056,0.0207,0.64,rain,47.44,40.02,37.76,0.78,1021.7,0.53,3,40.03,47.44,31.0,35.0
