Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Italy,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.06,rain,53.93,30.45,27.79,0.65,1030.9,0.17,1,29.29,53.93,43.0,12.0
Italy,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.08,rain,54.34,30.46,28.52,0.67,1031.8,0.11,1,30.45,54.34,43.0,12.0
Italy,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0,0.0001,0.01,,53.6,39.39,33.84,0.78,1029.3,0.86,1,30.46,53.6,43.0,12.0
Italy,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.001,0.0025,0.2,rain,56.66,36.69,40.44,0.85,1024.2,0.65,1,39.01,56.66,43.0,12.0
Italy,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.06,rain,53.48,31.18,33.43,0.7,1027.4,0.17,1,36.69,53.48,43.0,12.0
Italy,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,50.65,29.1,27.08,0.64,1030.6,0.0,1,29.88,50.65,43.0,12.0
Italy,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.05,rain,50.29,32.22,27.93,0.68,1027.0,0.35,1,29.1,50.29,43.0,12.0
Italy,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,52.87,30.74,31.45,0.71,1029.8,0.14,1,32.22,52.87,43.0,12.0
Italy,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.02,,54.2,29.44,28.48,0.67,1029.6,0.0,1,30.74,54.2,43.0,12.0
Italy,,1/9/2020,Mostly cloudy throughout the day.,clear-day,0.5,0.0002,0.0008,0.08,rain,53.3,31.72,33.4,0.81,1026.2,0.27,1,29.43,53.3,43.0,12.0
Italy,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.04,rain,56.45,36.83,34.83,0.78,1026.8,0.0,1,31.72,56.45,43.0,12.0
Italy,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.09,rain,53.18,28.59,34.84,0.75,1027.5,0.0,1,33.75,53.18,43.0,12.0
Italy,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.02,rain,52.93,34.63,30.84,0.75,1026.6,0.27,2,28.59,52.93,43.0,12.0
Italy,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,54.65,32.8,35.02,0.77,1026.8,0.3,2,34.63,54.65,43.0,12.0
Italy,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.01,,54.97,32.5,34.24,0.77,1028.7,0.1,2,32.8,54.97,43.0,12.0
Italy,,1/15/2020,Overcast throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.05,,55.01,32.65,35.04,0.79,1029.5,0.77,1,32.5,55.01,43.0,12.0
Italy,,1/16/2020,Possible light rain overnight.,partly-cloudy-day,0.76,0.0001,0.0004,0.06,rain,53.16,40.75,35.64,0.8,1027.1,0.74,1,32.65,53.16,43.0,12.0
Italy,,1/17/2020,Light rain until evening.,rain,0.8,0.0087,0.0401,0.96,rain,51.42,37.05,41.12,0.87,1021.3,0.89,1,40.75,51.42,43.0,12.0
Italy,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0001,0.02,,49.11,39.3,36.67,0.79,1024.9,0.72,1,37.05,49.11,43.0,12.0
Italy,,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.0,0.0002,0.02,,49.29,36.06,33.49,0.69,1035.8,0.75,1,39.3,49.29,43.0,12.0
Italy,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.09,rain,52.27,32.33,34.24,0.75,1039.5,0.55,1,36.06,52.27,43.0,12.0
Italy,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.02,,56.52,34.15,34.11,0.75,1034.6,0.58,1,32.33,56.52,43.0,12.0
Italy,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.05,rain,56.18,32.41,35.15,0.76,1030.2,0.01,2,34.15,56.18,43.0,12.0
Italy,,1/23/2020,Drizzle overnight.,rain,1.0,0.001,0.0103,0.46,rain,56.11,43.83,36.52,0.77,1027.3,0.44,2,32.41,56.11,43.0,12.0
Italy,,1/24/2020,Possible drizzle in the morning.,rain,0.03,0.0023,0.0075,0.78,rain,58.36,41.71,44.41,0.86,1022.5,0.69,2,43.83,58.36,43.0,12.0
Italy,,1/25/2020,Overcast throughout the day.,rain,0.06,0.0004,0.0024,0.33,rain,56.0,36.59,42.54,0.86,1020.8,0.82,1,40.45,56.0,43.0,12.0
Italy,,1/26/2020,Partly cloudy throughout the day.,rain,0.09,0.0009,0.005,0.3,rain,57.6,41.29,39.91,0.82,1020.2,0.48,2,36.59,57.6,43.0,12.0
Italy,,1/27/2020,Mostly cloudy throughout the day.,rain,0.12,0.0006,0.0017,0.29,rain,61.22,46.05,44.69,0.78,1012.7,0.85,1,41.29,61.22,43.0,12.0
Italy,,1/28/2020,Overcast throughout the day.,partly-cloudy-day,0.15,0.0004,0.0011,0.19,rain,59.68,36.85,40.5,0.71,1012.8,0.81,1,40.77,59.68,43.0,12.0
Italy,,1/29/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.1,rain,61.31,43.05,38.55,0.76,1020.3,0.38,2,36.85,61.31,43.0,12.0
Italy,,1/30/2020,Overcast throughout the day.,cloudy,0.21,0.0006,0.0025,0.21,rain,57.33,47.39,45.96,0.86,1020.5,0.95,2,43.44,57.33,43.0,12.0
Italy,,1/31/2020,Overcast throughout the day.,rain,0.24,0.0006,0.0024,0.27,rain,61.85,48.63,47.79,0.85,1020.0,0.89,2,47.39,61.85,43.0,12.0
Italy,,2/1/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0016,0.06,rain,63.58,47.06,48.65,0.84,1020.5,0.96,2,48.63,63.58,43.0,12.0
Italy,,2/2/2020,Overcast throughout the day.,cloudy,0.31,0.0001,0.0004,0.11,rain,66.43,43.02,48.06,0.81,1019.0,0.91,2,47.02,66.43,43.0,12.0
Italy,,2/3/2020,Windy in the morning and afternoon.,rain,0.34,0.0047,0.0407,0.38,rain,63.41,35.96,41.71,0.74,1009.5,0.45,2,41.74,63.41,43.0,12.0
Italy,,2/4/2020,Windy in the evening.,wind,0.37,0.0001,0.0003,0.07,rain,55.28,35.54,20.04,0.4,1017.3,0.1,2,35.96,55.28,43.0,12.0
Italy,,2/5/2020,Clear throughout the day.,clear-day,0.41,0.0,0.0003,0.03,,52.79,27.03,15.8,0.36,1027.8,0.0,2,32.61,52.79,43.0,12.0
Italy,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.02,snow,58.6,27.38,18.94,0.45,1027.7,0.0,2,27.03,58.6,43.0,12.0
