Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Jamaica,,12/31/2019,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0035,0.0248,0.23,rain,86.65,68.51,70.37,0.84,1015.9,0.5,7,66.51,86.65,18.1096,-77.2975
Jamaica,,1/1/2020,Humid and partly cloudy throughout the day.,rain,0.22,0.0063,0.031,0.35,rain,87.31,69.6,71.7,0.85,1015.4,0.49,6,68.51,87.31,18.1096,-77.2975
Jamaica,,1/2/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.25,0.0029,0.0083,0.24,rain,86.32,69.09,72.63,0.87,1015.9,0.63,6,69.6,86.32,18.1096,-77.2975
Jamaica,,1/3/2020,Humid throughout the day.,partly-cloudy-day,0.28,0.0012,0.0037,0.17,rain,86.06,67.2,71.61,0.85,1017.2,0.35,7,69.09,86.06,18.1096,-77.2975
Jamaica,,1/4/2020,Humid throughout the day.,rain,0.31,0.0034,0.0151,0.27,rain,87.99,69.98,70.69,0.83,1018.6,0.37,7,67.2,87.99,18.1096,-77.2975
Jamaica,,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0005,0.0029,0.16,rain,87.64,69.56,67.64,0.75,1019.0,0.08,8,69.98,87.64,18.1096,-77.2975
Jamaica,,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.37,0.0066,0.0236,0.38,rain,85.42,70.15,71.24,0.85,1016.6,0.45,6,69.52,85.42,18.1096,-77.2975
Jamaica,,1/7/2020,Humid and mostly cloudy throughout the day.,rain,0.4,0.0145,0.0291,0.5,rain,84.3,70.32,72.71,0.9,1016.7,0.56,5,70.15,84.3,18.1096,-77.2975
Jamaica,,1/8/2020,Humid and partly cloudy throughout the day.,rain,0.44,0.0027,0.0084,0.28,rain,84.76,73.04,71.19,0.84,1018.6,0.42,6,70.32,84.76,18.1096,-77.2975
Jamaica,,1/9/2020,Possible light rain in the morning.,rain,0.47,0.0136,0.0265,0.51,rain,83.98,70.24,72.39,0.85,1018.7,0.58,6,72.81,83.98,18.1096,-77.2975
Jamaica,,1/10/2020,Humid and partly cloudy throughout the day.,rain,0.51,0.0053,0.018000000000000002,0.33,rain,85.68,70.83,70.31,0.8,1017.5,0.37,6,70.24,85.68,18.1096,-77.2975
Jamaica,,1/11/2020,Clear throughout the day.,clear-day,0.55,0.0007,0.0015,0.15,rain,86.47,70.59,67.04,0.71,1017.9,0.14,7,70.83,86.47,18.1096,-77.2975
Jamaica,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0007,0.0019,0.15,rain,87.73,69.6,68.27,0.74,1018.7,0.11,8,70.59,87.73,18.1096,-77.2975
Jamaica,,1/13/2020,Clear throughout the day.,rain,0.62,0.0025,0.0101,0.25,rain,86.42,71.04,68.72,0.76,1018.6,0.22,6,69.6,86.42,18.1096,-77.2975
