Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Japan,,12/31/2019,Clear throughout the day.,clear-day,0.2,0.0,0.0002,0.06,,44.96,21.73,13.21,0.56,1023.1,0.0,3,16.9,44.96,36.0,138.0
Japan,,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.08,snow,47.86,22.87,19.07,0.63,1022.6,0.01,3,21.73,47.86,36.0,138.0
Japan,,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,47.43,23.22,21.43,0.65,1017.7,0.03,2,22.87,47.43,36.0,138.0
Japan,,1/3/2020,Possible light snow (1–2 in.) overnight.,snow,0.29,0.0048,0.0439,0.36,snow,46.27,21.85,20.98,0.64,1015.8,0.26,2,23.22,46.27,36.0,138.0
Japan,,1/4/2020,Partly cloudy throughout the day.,snow,0.32,0.0011,0.0159,0.3,snow,42.14,18.69,16.57,0.63,1022.8,0.38,2,20.65,42.14,36.0,138.0
Japan,,1/5/2020,Clear throughout the day.,clear-day,0.35,0.0,0.0002,0.01,,42.84,24.95,17.03,0.65,1027.5,0.29,3,17.74,42.84,36.0,138.0
Japan,,1/6/2020,Light rain starting in the afternoon.,rain,0.38,0.0218,0.0593,0.82,rain,42.41,36.26,26.12,0.77,1024.0,0.72,2,24.95,42.41,36.0,138.0
Japan,,1/7/2020,Rain until evening.,rain,0.42,0.0393,0.1961,0.9,rain,50.36,30.23,38.68,0.82,1004.5,0.86,2,38.67,50.36,36.0,138.0
Japan,,1/8/2020,Clear throughout the day.,clear-day,0.45,0.0005,0.0071,0.24,rain,45.19,28.04,26.76,0.67,1012.2,0.28,3,30.23,45.19,36.0,138.0
Japan,,1/9/2020,Foggy in the morning.,partly-cloudy-day,0.49,0.0006,0.003,0.17,snow,43.08,22.73,25.31,0.75,1017.3,0.67,3,25.67,43.08,36.0,138.0
Japan,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.04,snow,49.65,24.57,19.24,0.61,1015.8,0.18,2,22.73,49.65,36.0,138.0
Japan,,1/11/2020,Overcast throughout the day.,partly-cloudy-day,0.56,0.0007,0.0055,0.23,snow,45.3,28.91,23.96,0.71,1011.4,0.64,2,24.78,45.3,36.0,138.0
Japan,,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0003,0.0007,0.2,snow,47.43,26.4,24.13,0.65,1012.7,0.31,3,27.13,47.43,36.0,138.0
Japan,,1/13/2020,Possible light snow (< 1 in.) overnight.,partly-cloudy-day,0.64,0.0006,0.0081,0.14,snow,48.74,29.35,20.95,0.58,1020.3,0.59,2,26.4,48.74,36.0,138.0
Japan,,1/14/2020,Possible light snow (< 1 in.) in the morning.,snow,0.67,0.0058,0.0238,0.63,snow,44.52,21.87,24.73,0.68,1017.9,0.53,2,26.75,44.52,36.0,138.0
Japan,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.71,0.0001,0.0003,0.08,snow,43.5,22.21,15.66,0.57,1022.5,0.52,2,21.87,43.5,36.0,138.0
Japan,,1/16/2020,Mostly cloudy throughout the day.,cloudy,0.75,0.0001,0.0004,0.12,snow,43.13,27.84,20.14,0.66,1019.3,0.92,2,22.21,43.13,36.0,138.0
Japan,,1/17/2020,Overcast throughout the day.,cloudy,0.78,0.0007,0.0025,0.17,snow,38.94,23.51,22.79,0.69,1013.8,0.97,2,26.77,38.94,36.0,138.0
Japan,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.82,0.0,0.0002,0.03,,43.73,28.72,19.24,0.61,1015.3,0.58,3,23.51,43.73,36.0,138.0
Japan,,1/19/2020,Clear throughout the day.,clear-day,0.85,0.0,0.0002,0.04,,48.38,29.43,22.54,0.62,1014.9,0.18,3,28.72,48.38,36.0,138.0
Japan,,1/20/2020,Clear throughout the day.,clear-day,0.89,0.0003,0.0014,0.1,snow,44.38,22.83,18.68,0.58,1022.0,0.18,3,24.23,44.38,36.0,138.0
Japan,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.92,0.0001,0.0012,0.03,snow,51.44,33.02,19.84,0.55,1027.7,0.55,3,22.83,51.44,36.0,138.0
Japan,,1/22/2020,Light rain in the morning and afternoon.,rain,0.95,0.0197,0.0636,0.86,rain,44.98,33.88,35.74,0.89,1022.1,0.92,3,33.02,44.98,36.0,138.0
Japan,,1/23/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.99,0.0001,0.0005,0.1,rain,54.72,27.02,32.5,0.74,1023.2,0.67,3,33.88,54.72,36.0,138.0
Japan,,1/24/2020,Overcast throughout the day.,cloudy,0.02,0.0,0.0002,0.04,,41.95,26.89,22.18,0.66,1028.2,0.98,2,27.02,41.95,36.0,138.0
Japan,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.05,0.0003,0.001,0.13,snow,46.25,24.22,23.68,0.69,1026.2,0.85,3,26.89,46.25,36.0,138.0
Japan,,1/26/2020,Snow (2–5 in.) in the evening.,snow,0.08,0.0266,0.0967,0.46,snow,40.0,29.46,23.59,0.75,1023.6,1.0,2,24.22,40.0,36.0,138.0
Japan,,1/27/2020,Light rain starting in the afternoon.,rain,0.11,0.013000000000000001,0.0464,0.68,rain,45.58,34.38,31.58,0.84,1014.2,0.97,2,29.46,45.58,36.0,138.0
Japan,,1/28/2020,Foggy in the morning.,rain,0.14,0.0082,0.071,0.72,rain,55.32,29.9,35.69,0.82,1004.8,0.6,3,34.38,55.32,36.0,138.0
Japan,,1/29/2020,Clear throughout the day.,rain,0.17,0.0009,0.0067,0.28,rain,47.55,22.08,27.82,0.72,1001.8,0.2,3,29.44,47.55,36.0,138.0
Japan,,1/30/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0004,0.0045,0.12,snow,40.98,16.7,17.43,0.64,1007.7,0.47,3,21.19,40.98,36.0,138.0
Japan,,1/31/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.06,snow,45.76,19.6,14.89,0.59,1016.5,0.07,4,16.7,45.76,36.0,138.0
Japan,,2/1/2020,Clear throughout the day.,partly-cloudy-day,0.26,0.0001,0.0003,0.01,snow,46.04,22.64,14.72,0.56,1022.5,0.32,4,19.6,46.04,36.0,138.0
Japan,,2/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.29,0.0,0.0002,0.04,,47.82,20.79,20.69,0.62,1019.1,0.58,4,22.64,47.82,36.0,138.0
Japan,,2/3/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.05,snow,47.59,22.48,14.85,0.55,1020.9,0.03,4,20.79,47.59,36.0,138.0
Japan,,2/4/2020,Mostly cloudy throughout the day.,snow,0.36,0.0008,0.0032,0.29,snow,42.34,13.72,17.38,0.59,1015.7,0.43,3,20.11,42.34,36.0,138.0
