Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Jersey,,1/1/2020,Overcast throughout the day.,rain,0.21,0.0018,0.0072,0.44,rain,50.58,47.58,42.62,0.81,1027.9,0.86,1,45.49,50.58,49.19,-2.11
Jersey,,1/2/2020,Overcast throughout the day.,cloudy,0.24,0.0004,0.0018,0.14,rain,52.74,49.85,43.7,0.77,1022.6,0.89,1,48.17,52.74,49.19,-2.11
Jersey,,1/3/2020,Possible drizzle in the morning.,rain,0.27,0.0024,0.0077,0.46,rain,52.87,46.28,42.34,0.74,1025.1,0.77,1,47.15,52.87,49.19,-2.11
Jersey,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0003,0.0011,0.12,rain,52.29,47.7,38.39,0.66,1037.2,0.6,1,46.28,52.29,49.19,-2.11
Jersey,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0002,0.0006,0.08,rain,48.95,42.44,37.23,0.66,1035.3,0.58,1,45.64,49.64,49.19,-2.11
Jersey,,1/6/2020,Partly cloudy throughout the day.,rain,0.36,0.001,0.0109,0.32,rain,52.97,48.22,39.78,0.75,1024.6,0.51,1,42.33,52.97,49.19,-2.11
Jersey,,1/7/2020,Overcast throughout the day.,cloudy,0.4,0.0004,0.003,0.22,rain,55.51,51.99,46.24,0.81,1025.5,0.93,1,48.22,55.51,49.19,-2.11
Jersey,,1/8/2020,Possible drizzle starting in the afternoon.,rain,0.43,0.0028,0.0088,0.83,rain,54.63,51.79,48.36,0.84,1023.3,0.98,1,51.79,54.63,49.19,-2.11
Jersey,,1/9/2020,Light rain throughout the day.,rain,0.47,0.0084,0.0235,0.89,rain,54.81,45.45,46.68,0.82,1012.2,0.78,1,47.28,54.81,49.19,-2.11
Jersey,,1/10/2020,Mostly cloudy throughout the day.,rain,0.5,0.0004,0.0064,0.25,rain,50.31,47.2,37.1,0.66,1025.8,0.69,1,46.0,50.31,49.19,-2.11
Jersey,,1/11/2020,Windy overnight.,cloudy,0.54,0.0001,0.0003,0.04,rain,52.92,48.98,40.2,0.7,1028.2,0.97,1,47.23,52.92,49.19,-2.11
Jersey,,1/12/2020,Windy in the morning.,rain,0.58,0.0008,0.0035,0.32,rain,53.3,46.56,43.24,0.75,1023.1,0.57,1,47.95,53.3,49.19,-2.11
Jersey,,1/13/2020,Light rain starting in the afternoon.,rain,0.61,0.0125,0.0866,0.96,rain,53.61,49.02,43.23,0.77,1010.6,0.85,1,46.56,53.61,49.19,-2.11
Jersey,,1/14/2020,Light rain and dangerously windy throughout the day.,rain,0.65,0.0184,0.0653,1.0,rain,56.22,47.23,47.09,0.82,1000.9,0.94,1,49.02,56.22,49.19,-2.11
Jersey,,1/15/2020,Light rain and dangerously windy in the morning.,rain,0.69,0.0214,0.0746,0.97,rain,51.76,46.56,42.23,0.74,1009.4,0.64,1,46.7,52.38,49.19,-2.11
Jersey,,1/16/2020,Light rain starting in the afternoon.,rain,0.72,0.0127,0.059000000000000004,0.91,rain,55.42,47.28,43.27,0.76,1013.3,0.81,1,46.56,55.42,49.19,-2.11
Jersey,,1/17/2020,Possible light rain in the afternoon and evening.,rain,0.76,0.0066,0.0232,0.81,rain,49.35,45.25,38.74,0.7,1017.2,0.72,1,45.26,50.39,49.19,-2.11
Jersey,,1/18/2020,Mostly cloudy throughout the day.,rain,0.8,0.0005,0.0021,0.26,rain,49.23,42.82,35.62,0.65,1028.3,0.59,1,43.75,49.23,49.19,-2.11
Jersey,,1/19/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0002,0.01,,48.58,43.6,33.7,0.64,1042.8,0.27,1,42.82,48.58,49.19,-2.11
Jersey,,1/20/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.03,,48.84,43.05,35.54,0.67,1046.7,0.29,1,43.6,48.84,49.19,-2.11
Jersey,,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.07,rain,46.79,40.54,32.68,0.64,1041.2,0.38,1,41.49,46.79,49.19,-2.11
Jersey,,1/22/2020,Clear throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.02,,46.66,40.74,34.96,0.72,1035.5,0.32,1,40.54,46.66,49.19,-2.11
Jersey,,1/23/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0003,0.06,rain,46.84,41.12,33.77,0.69,1028.3,0.23,1,40.74,46.84,49.19,-2.11
Jersey,,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,1.0,0.0001,0.0004,0.09,rain,44.58,42.83,34.54,0.73,1022.4,0.56,1,41.12,44.58,49.19,-2.11
Jersey,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0005,0.14,rain,49.86,45.94,40.02,0.79,1017.4,0.52,1,42.83,49.86,49.19,-2.11
Jersey,,1/26/2020,Light rain until evening.,rain,0.06,0.0086,0.0388,0.94,rain,52.58,47.04,43.23,0.8,1012.0,0.68,1,45.94,52.58,49.19,-2.11
Jersey,,1/27/2020,Light rain throughout the day.,rain,0.09,0.015,0.0456,0.91,rain,50.53,43.27,41.58,0.77,1002.9,0.81,1,44.62,50.53,49.19,-2.11
Jersey,,1/28/2020,Possible drizzle in the morning and afternoon.,rain,0.12,0.0107,0.0487,0.9,rain,48.73,45.95,33.94,0.62,1003.6,0.85,1,43.27,48.73,49.19,-2.11
Jersey,,1/29/2020,Mostly cloudy throughout the day.,rain,0.15,0.001,0.0049,0.38,rain,51.56,46.75,39.68,0.71,1013.6,0.75,1,45.95,51.56,49.19,-2.11
Jersey,,1/30/2020,Light rain in the morning and afternoon.,rain,0.18,0.0095,0.0316,0.85,rain,54.52,49.66,46.95,0.85,1007.6,0.94,1,46.75,54.52,49.19,-2.11
Jersey,,1/31/2020,Rain in the evening and overnight.,rain,0.21,0.0082,0.1071,0.77,rain,54.28,49.47,46.7,0.83,1010.9,0.84,1,49.66,54.28,49.19,-2.11
Jersey,,2/1/2020,Light rain in the morning and overnight.,rain,0.24,0.0128,0.1254,0.93,rain,53.31,49.48,46.21,0.83,1010.3,0.95,1,49.47,53.31,49.19,-2.11
Jersey,,2/2/2020,Light rain until evening.,rain,0.28,0.0153,0.0589,0.98,rain,54.89,49.8,47.84,0.85,1012.7,0.98,1,49.5,54.89,49.19,-2.11
Jersey,,2/3/2020,Rain until evening.,rain,0.31,0.0223,0.1131,0.91,rain,52.94,46.07,44.23,0.81,1017.5,0.97,1,46.07,52.94,49.19,-2.11
Jersey,,2/4/2020,Windy in the morning and afternoon.,rain,0.34,0.0012,0.0041,0.29,rain,50.45,45.56,36.38,0.64,1028.3,0.37,1,46.27,50.45,49.19,-2.11
Jersey,,2/5/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0003,0.1,rain,50.18,41.14,37.85,0.7,1036.5,0.19,1,43.86,50.18,49.19,-2.11
Jersey,,2/6/2020,Clear throughout the day.,clear-day,0.41,0.0,0.0003,0.02,,49.68,41.7,33.97,0.65,1028.9,0.0,1,41.14,49.68,49.19,-2.11
Jersey,,2/7/2020,Light rain overnight.,partly-cloudy-day,0.45,0.0002,0.0035,0.22,rain,52.49,47.59,38.57,0.73,1018.2,0.59,1,41.7,52.49,49.19,-2.11
Jersey,,2/8/2020,Light rain in the morning.,rain,0.48,0.0071,0.0386,0.82,rain,51.49,47.11,42.02,0.76,1017.8,0.68,1,47.16,51.49,49.19,-2.11
Jersey,,2/9/2020,Light rain and dangerously windy throughout the day.,rain,0.52,0.0117,0.0381,0.81,rain,56.66,47.35,45.34,0.76,1004.4,0.94,2,47.13,56.66,49.19,-2.11
Jersey,,2/10/2020,Light rain starting in the afternoon.,rain,0.56,0.0082,0.0309,0.83,rain,52.31,44.52,39.07,0.69,1008.3,0.66,2,44.96,52.31,49.19,-2.11
Jersey,,2/11/2020,"Possible drizzle until afternoon, starting again overnight.",rain,0.6,0.0065,0.019,0.79,rain,47.66,43.55,34.62,0.65,1016.6,0.72,2,44.52,47.66,49.19,-2.11
Jersey,,2/12/2020,Light rain in the morning and overnight.,rain,0.64,0.0036,0.0124,0.74,rain,50.1,45.44,37.14,0.69,1018.4,0.76,1,43.55,50.1,49.19,-2.11
Jersey,,2/13/2020,Light rain in the morning and afternoon.,rain,0.67,0.0133,0.0449,0.93,rain,52.28,47.71,41.59,0.75,1004.0,0.57,1,45.44,52.28,49.19,-2.11
Jersey,,2/14/2020,Windy overnight.,partly-cloudy-day,0.71,0.0001,0.0003,0.09,rain,53.52,50.23,42.92,0.76,1019.6,0.83,2,47.71,53.52,49.19,-2.11
Jersey,,2/15/2020,Light rain and dangerously windy throughout the day.,rain,0.75,0.0104,0.0331,0.88,rain,55.46,52.64,46.53,0.79,1011.6,0.91,2,50.23,55.46,49.19,-2.11
Jersey,,2/16/2020,Light rain until evening.,rain,0.78,0.0318,0.0838,0.99,rain,57.35,45.99,45.7,0.77,1003.3,0.86,1,47.69,57.35,49.19,-2.11
Jersey,,2/17/2020,Possible drizzle in the morning and afternoon.,rain,0.82,0.0051,0.0137,0.71,rain,50.71,44.71,37.39,0.66,1016.8,0.43,1,45.99,50.71,49.19,-2.11
Jersey,,2/18/2020,Possible light rain and windy starting in the afternoon.,rain,0.85,0.006,0.0457,0.73,rain,51.39,45.25,39.21,0.71,1025.0,0.77,2,44.71,51.39,49.19,-2.11
Jersey,,2/19/2020,Possible drizzle in the morning and afternoon.,rain,0.88,0.0054,0.0613,0.81,rain,52.38,47.31,40.67,0.74,1023.7,0.95,2,45.25,52.38,49.19,-2.11
Jersey,,2/20/2020,Light rain in the morning and afternoon.,rain,0.91,0.0064,0.036000000000000004,0.8,rain,52.55,45.16,39.42,0.71,1017.8,0.81,2,46.06,52.55,49.19,-2.11
Jersey,,2/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0001,0.0004,0.1,rain,51.91,47.85,38.11,0.68,1028.2,0.71,2,45.16,51.91,49.19,-2.11
Jersey,,2/22/2020,Possible drizzle overnight.,rain,0.98,0.0011,0.0078,0.26,rain,53.76,50.57,44.49,0.78,1025.8,0.74,2,47.85,53.76,49.19,-2.11
Jersey,,2/23/2020,Dangerously windy in the morning and afternoon.,rain,0.01,0.0013,0.0044,0.5,rain,54.43,50.62,47.79,0.83,1024.2,0.98,2,50.58,54.43,49.19,-2.11
Jersey,,2/24/2020,Light rain starting in the afternoon.,rain,0.04,0.0091,0.0533,0.87,rain,53.36,45.44,46.12,0.82,1016.9,0.99,2,48.34,53.36,49.19,-2.11
Jersey,,2/25/2020,Possible light rain and windy throughout the day.,rain,0.07,0.0098,0.0344,0.79,rain,50.02,40.76,37.15,0.71,1007.2,0.85,2,41.86,50.02,49.19,-2.11
Jersey,,2/26/2020,Light rain in the morning and overnight.,rain,0.1,0.0046,0.0157,0.7,rain,47.82,41.96,32.83,0.63,1010.1,0.77,2,40.76,47.82,49.19,-2.11
Jersey,,2/27/2020,Light rain and dangerously windy in the morning.,rain,0.13,0.0097,0.0554,0.85,rain,51.56,43.15,37.88,0.71,1005.1,0.77,2,41.96,51.68,49.19,-2.11
Jersey,,2/28/2020,"Light rain until afternoon, starting again overnight.",rain,0.16,0.0089,0.0356,0.93,rain,54.3,46.2,42.33,0.77,1008.6,0.96,2,43.15,54.3,49.19,-2.11
Jersey,,2/29/2020,Rain and dangerously windy throughout the day.,rain,0.19,0.0274,0.1732,0.95,rain,47.81,43.78,37.55,0.69,993.0,0.93,1,44.79,51.29,49.19,-2.11
Jersey,,3/1/2020,"Light rain until morning, starting again in the evening.",rain,0.22,0.0115,0.0569,0.84,rain,49.09,43.8,37.02,0.7,993.8,0.63,2,43.78,49.09,49.19,-2.11
Jersey,,3/2/2020,Light rain in the morning and overnight.,rain,0.25,0.0101,0.0363,0.88,rain,48.2,42.61,36.4,0.69,993.4,0.6,2,43.8,48.2,49.19,-2.11
Jersey,,3/3/2020,Possible drizzle in the morning.,rain,0.28,0.003,0.0091,0.72,rain,49.06,43.18,35.38,0.66,1006.5,0.71,2,42.61,49.06,49.19,-2.11
Jersey,,3/4/2020,Light rain throughout the day.,rain,0.32,0.01,0.0296,0.95,rain,52.8,47.2,41.8,0.79,1007.3,0.97,2,43.18,52.8,49.19,-2.11
Jersey,,3/5/2020,Light rain in the morning and afternoon.,rain,0.35,0.0385,0.0978,0.99,rain,51.81,43.04,42.09,0.8,993.7,0.97,2,44.43,51.81,49.19,-2.11
Jersey,,3/6/2020,Possible light rain in the morning.,rain,0.39,0.004,0.0249,0.66,rain,48.76,45.46,36.24,0.69,1007.3,0.64,2,43.04,48.76,49.19,-2.11
Jersey,,3/7/2020,Drizzle and windy overnight.,wind,0.43,0.0001,0.0007,0.09,rain,53.46,48.45,41.67,0.74,1019.2,0.85,2,45.46,53.46,49.19,-2.11
Jersey,,3/8/2020,Drizzle in the morning and overnight.,rain,0.47,0.0047,0.0149,0.86,rain,51.71,45.63,42.21,0.75,1011.8,0.66,2,46.88,51.71,49.19,-2.11
Jersey,,3/9/2020,Light rain throughout the day.,rain,0.51,0.0153,0.0751,0.91,rain,51.09,48.83,40.29,0.73,1017.3,0.78,2,45.63,51.35,49.19,-2.11
Jersey,,3/10/2020,Possible drizzle in the morning.,rain,0.55,0.0033,0.0147,0.72,rain,54.96,50.45,48.1,0.84,1013.5,0.97,2,50.43,54.96,49.19,-2.11
Jersey,,3/11/2020,Possible drizzle starting in the afternoon.,rain,0.58,0.0063,0.0144,0.51,rain,55.6,45.65,47.64,0.83,1014.5,0.86,3,49.74,55.6,49.19,-2.11
Jersey,,3/12/2020,Windy starting in the afternoon.,rain,0.62,0.0012,0.0034,0.43,rain,49.74,44.5,36.58,0.65,1017.1,0.46,3,45.65,49.78,49.19,-2.11
Jersey,,3/13/2020,Light rain in the evening and overnight.,rain,0.66,0.0028,0.0097,0.77,rain,50.47,46.22,37.41,0.68,1021.5,0.57,2,44.5,50.47,49.19,-2.11
Jersey,,3/14/2020,Possible light rain in the morning.,rain,0.7,0.0046,0.0213,0.7,rain,51.73,47.99,43.25,0.79,1016.3,0.83,2,46.22,51.73,49.19,-2.11
Jersey,,3/15/2020,Light rain in the afternoon and evening.,rain,0.73,0.0054,0.0245,0.77,rain,53.28,45.29,42.9,0.78,1010.7,0.95,2,46.37,53.28,49.19,-2.11
Jersey,,3/16/2020,Clear throughout the day.,rain,0.77,0.0005,0.0079,0.36,rain,51.38,45.83,38.05,0.69,1022.3,0.12,3,45.29,51.38,49.19,-2.11
Jersey,,3/17/2020,Clear throughout the day.,partly-cloudy-day,0.8,0.0001,0.0005,0.02,rain,52.06,47.14,36.17,0.62,1030.1,0.35,3,45.83,52.06,49.19,-2.11
Jersey,,3/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0003,0.02,,53.08,45.82,41.15,0.72,1027.3,0.2,4,47.14,53.08,49.19,-2.11
Jersey,,3/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0007,0.1,rain,56.18,48.61,43.9,0.78,1022.9,0.12,4,45.82,56.18,49.19,-2.11
Jersey,,3/20/2020,Possible drizzle in the morning and afternoon.,rain,0.89,0.0035,0.0144,0.72,rain,50.89,45.12,43.61,0.81,1022.1,0.85,3,46.8,50.89,49.19,-2.11
Jersey,,3/21/2020,"Windy until afternoon, starting again overnight.",rain,0.92,0.0005,0.0028,0.29,rain,50.89,43.97,40.06,0.75,1019.8,0.98,3,45.12,50.89,49.19,-2.11
Jersey,,3/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.95,0.0008,0.0059,0.19,rain,49.19,44.38,36.72,0.69,1021.0,0.7,2,43.97,49.19,49.19,-2.11
Jersey,,3/23/2020,Clear throughout the day.,clear-day,0.98,0.0001,0.0004,0.07,rain,53.61,46.59,38.19,0.67,1022.7,0.09,4,44.38,53.61,49.19,-2.11
Jersey,,3/24/2020,Clear throughout the day.,clear-day,0.01,0.0001,0.0003,0.03,rain,54.55,43.77,38.37,0.65,1023.9,0.0,4,46.59,54.55,49.19,-2.11
Jersey,,3/25/2020,Clear throughout the day.,clear-day,0.04,0.0002,0.0004,0.03,rain,52.72,45.2,33.15,0.57,1021.9,0.0,4,43.77,52.72,49.19,-2.11
Jersey,,3/26/2020,Overcast throughout the day.,partly-cloudy-day,0.07,0.0001,0.0004,0.02,rain,51.87,44.2,34.18,0.59,1020.1,0.68,3,45.2,51.87,49.19,-2.11
Jersey,,3/27/2020,Clear throughout the day.,clear-day,0.11,0.0001,0.0004,0.04,rain,52.79,45.27,37.83,0.67,1021.2,0.04,4,44.2,52.79,49.19,-2.11
Jersey,,3/28/2020,Windy starting in the afternoon.,wind,0.14,0.0001,0.0004,0.05,rain,52.63,41.22,39.41,0.71,1024.1,0.6,3,45.27,52.63,49.19,-2.11
Jersey,,3/29/2020,Windy and overcast throughout the day.,wind,0.17,0.0006,0.0025,0.16,rain,46.24,40.07,30.89,0.61,1033.3,0.81,2,40.97,46.24,49.19,-2.11
Jersey,,3/29/2020,Windy and mostly cloudy throughout the day.,wind,0.2,0.0007,0.0021,0.16,rain,47.67,42.6,31.38,0.62,1032.0,0.77,2,40.07,47.67,49.19,-2.11
Jersey,,3/30/2020,Windy in the evening.,clear-day,0.23,0.0013,0.0064,0.24,rain,49.95,43.53,35.36,0.66,1027.3,0.29,3,42.6,49.95,49.19,-2.11
Jersey,,3/31/2020,Clear throughout the day.,clear-day,0.26,0.0001,0.0004,0.02,rain,50.83,43.9,34.31,0.63,1022.6,0.01,4,43.53,50.83,49.19,-2.11
