Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Jordan,,12/31/2019,Overcast throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.04,rain,57.77,37.44,29.82,0.57,1018.1,0.86,3,32.89,57.77,31.24,36.51
Jordan,,1/1/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,rain,57.81,38.18,34.99,0.66,1016.2,0.53,4,37.44,57.81,31.24,36.51
Jordan,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0001,0.0004,0.1,rain,55.94,34.8,33.23,0.66,1018.5,0.47,4,37.03,55.94,31.24,36.51
Jordan,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0004,0.0015,0.22,rain,52.58,41.74,33.97,0.7,1017.0,0.33,3,34.8,52.58,31.24,36.51
Jordan,,1/4/2020,Clear throughout the day.,rain,0.33,0.0015,0.0078,0.39,rain,56.24,33.47,30.98,0.59,1017.4,0.27,3,36.71,56.24,31.24,36.51
Jordan,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,61.69,35.35,22.25,0.43,1017.6,0.0,3,33.47,61.69,31.24,36.51
Jordan,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0003,0.05,rain,59.4,35.65,31.24,0.58,1016.4,0.19,3,35.33,59.4,31.24,36.51
Jordan,,1/7/2020,Windy in the evening and overnight.,wind,0.43,0.0001,0.0004,0.06,rain,51.83,41.7,32.83,0.66,1015.6,0.37,3,35.65,51.83,31.24,36.51
Jordan,,1/8/2020,Overcast throughout the day.,rain,0.46,0.0019,0.006999999999999999,0.42,rain,49.57,36.51,35.84,0.73,1014.6,0.75,2,38.63,49.57,31.24,36.51
Jordan,,1/9/2020,Possible light rain in the morning.,rain,0.5,0.006,0.0334,0.64,rain,48.13,35.86,35.29,0.79,1016.5,0.81,2,36.51,48.13,31.24,36.51
Jordan,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.04,rain,54.48,34.03,34.68,0.74,1023.6,0.16,3,35.86,54.48,31.24,36.51
Jordan,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.03,rain,58.78,37.85,34.83,0.72,1024.6,0.62,4,34.03,58.78,31.24,36.51
Jordan,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.03,rain,58.58,38.87,38.61,0.76,1023.1,0.09,4,37.0,58.58,31.24,36.51
Jordan,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,58.68,40.27,38.2,0.73,1025.3,0.43,4,38.87,58.68,31.24,36.51
Jordan,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.02,,65.0,41.74,32.91,0.54,1022.9,0.43,3,40.27,65.0,31.24,36.51
Jordan,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.04,rain,64.08,42.08,12.87,0.22,1016.9,0.69,3,41.82,64.08,31.24,36.51
Jordan,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0002,0.0013,0.11,rain,60.38,45.2,35.49,0.6,1013.7,0.21,4,42.08,60.38,31.24,36.51
Jordan,,1/17/2020,Mostly cloudy throughout the day.,rain,0.79,0.0012,0.0042,0.44,rain,55.6,42.55,42.14,0.78,1016.1,0.73,3,44.85,55.6,31.24,36.51
Jordan,,1/18/2020,Clear throughout the day.,rain,0.83,0.001,0.0091,0.28,rain,55.44,37.79,37.62,0.71,1019.5,0.28,4,40.97,55.44,31.24,36.51
Jordan,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0005,0.004,0.11,rain,57.28,40.4,36.95,0.72,1023.5,0.15,4,37.79,57.28,31.24,36.51
Jordan,,1/20/2020,Possible light rain in the morning.,rain,0.9,0.0064,0.0303,0.55,rain,46.47,36.11,35.85,0.79,1020.0,0.59,3,38.35,46.47,31.24,36.51
Jordan,,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.93,0.0001,0.001,0.09,rain,50.65,33.46,34.97,0.77,1021.0,0.37,3,36.11,50.65,31.24,36.51
Jordan,,1/22/2020,Partly cloudy throughout the day.,clear-day,0.96,0.0001,0.0002,0.04,rain,52.0,38.79,34.12,0.75,1022.3,0.3,3,33.46,52.0,31.24,36.51
Jordan,,1/23/2020,Possible light rain in the morning and afternoon.,rain,1.0,0.0061,0.0405,0.6,rain,45.52,30.49,34.25,0.75,1018.8,0.58,3,35.23,45.52,31.24,36.51
Jordan,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0003,0.02,rain,48.91,29.29,24.93,0.6,1028.8,0.09,4,30.49,48.91,31.24,36.51
Jordan,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.03,rain,55.82,32.53,25.06,0.56,1029.3,0.0,5,29.29,55.82,31.24,36.51
Jordan,,1/26/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0001,0.0004,0.03,rain,62.67,39.82,23.83,0.45,1024.8,0.62,4,32.53,62.67,31.24,36.51
Jordan,,1/27/2020,Overcast throughout the day.,partly-cloudy-day,0.12,0.0,0.0003,0.03,,59.73,39.99,24.55,0.42,1018.6,0.86,3,39.82,59.73,31.24,36.51
Jordan,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.14,rain,57.89,35.6,39.41,0.77,1020.8,0.19,4,39.99,57.89,31.24,36.51
Jordan,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.05,rain,63.18,38.05,35.05,0.67,1021.7,0.0,4,35.6,63.18,31.24,36.51
