Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Kazakhstan,,12/31/2019,Foggy in the morning.,cloudy,0.2,0.001,0.0043,0.15,snow,31.2,17.02,20.68,0.85,1021.1,0.96,1,16.3,31.2,48.0196,66.9237
Kazakhstan,,1/1/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.23,0.0016,0.0092,0.22,snow,27.74,25.09,19.26,0.86,1022.4,0.64,1,17.06,29.47,48.0196,66.9237
Kazakhstan,,1/2/2020,"Foggy until morning, starting again in the evening.",cloudy,0.26,0.001,0.0077,0.17,snow,30.05,24.27,24.13,0.87,1024.4,0.98,1,25.2,30.46,48.0196,66.9237
Kazakhstan,,1/3/2020,"Foggy until afternoon, starting again overnight.",snow,0.29,0.0024,0.0082,0.4,snow,27.71,19.41,21.79,0.89,1023.8,0.96,1,20.84,27.71,48.0196,66.9237
Kazakhstan,,1/4/2020,Foggy throughout the day.,cloudy,0.32,0.0009,0.0025,0.21,snow,28.08,16.33,19.82,0.85,1022.6,0.94,1,19.41,28.08,48.0196,66.9237
Kazakhstan,,1/5/2020,Foggy starting in the afternoon.,cloudy,0.36,0.0026,0.008,0.15,snow,22.35,12.31,14.46,0.83,1022.6,0.88,1,14.86,22.46,48.0196,66.9237
Kazakhstan,,1/6/2020,Foggy in the morning and afternoon.,partly-cloudy-day,0.39,0.0005,0.0011,0.14,snow,16.9,6.25,8.88,0.8,1028.1,0.81,1,9.96,17.31,48.0196,66.9237
Kazakhstan,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.42,0.0001,0.0005,0.08,snow,14.1,6.66,5.34,0.81,1034.3,0.53,1,6.25,14.1,48.0196,66.9237
Kazakhstan,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.46,0.0001,0.0003,0.01,snow,13.48,-0.27,-1.11,0.62,1033.9,0.73,1,5.17,13.48,48.0196,66.9237
Kazakhstan,,1/9/2020,Overcast throughout the day.,cloudy,0.49,0.0001,0.0004,0.07,snow,14.61,4.86,-0.71,0.69,1028.0,0.98,1,-0.27,14.61,48.0196,66.9237
Kazakhstan,,1/10/2020,Overcast throughout the day.,cloudy,0.53,0.0003,0.001,0.06,snow,16.57,0.85,3.88,0.75,1022.0,0.97,1,4.86,16.57,48.0196,66.9237
Kazakhstan,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.03,snow,16.3,4.41,-1.37,0.67,1020.8,0.11,1,0.85,16.3,48.0196,66.9237
Kazakhstan,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.6,0.0001,0.0003,0.06,snow,19.12,5.46,4.7,0.73,1023.0,0.77,1,4.41,19.12,48.0196,66.9237
Kazakhstan,,1/13/2020,Foggy throughout the day.,snow,0.64,0.003,0.0091,0.33,snow,24.29,21.04,13.11,0.84,1022.2,0.92,1,5.46,26.38,48.0196,66.9237
Kazakhstan,,1/14/2020,Foggy in the morning.,snow,0.68,0.0017,0.0047,0.27,snow,22.39,1.52,14.69,0.79,1022.7,0.92,1,12.86,26.1,48.0196,66.9237
Kazakhstan,,1/15/2020,Windy overnight.,partly-cloudy-day,0.72,0.0002,0.0003,0.08,snow,18.95,17.3,8.18,0.85,1036.0,0.71,1,1.51,19.26,48.0196,66.9237
Kazakhstan,,1/16/2020,Dangerously windy throughout the day.,wind,0.75,0.0014,0.0042,0.13,snow,24.59,14.88,16.73,0.82,1030.4,1.0,1,18.13,24.59,48.0196,66.9237
Kazakhstan,,1/17/2020,Mostly cloudy throughout the day.,cloudy,0.79,0.0001,0.0002,0.05,snow,25.38,16.8,14.87,0.83,1030.3,0.91,1,14.59,25.38,48.0196,66.9237
Kazakhstan,,1/18/2020,Overcast throughout the day.,cloudy,0.82,0.0,0.0,0.0,,25.78,12.91,14.79,0.81,1024.8,1.0,1,16.2,25.78,48.0196,66.9237
Kazakhstan,,1/19/2020,Clear throughout the day.,partly-cloudy-day,0.86,0.0001,0.0002,0.01,snow,19.87,7.15,8.5,0.76,1025.0,0.38,1,8.28,19.87,48.0196,66.9237
Kazakhstan,,1/20/2020,Foggy overnight.,partly-cloudy-day,0.89,0.0009,0.0044,0.1,snow,20.47,14.16,9.33,0.8,1022.1,0.84,1,7.15,20.47,48.0196,66.9237
Kazakhstan,,1/21/2020,Windy in the evening and overnight.,wind,0.93,0.0024,0.0052,0.22,snow,23.2,20.72,14.56,0.85,1019.8,0.96,1,14.16,23.2,48.0196,66.9237
Kazakhstan,,1/22/2020,Windy and foggy until evening.,snow,0.96,0.0095,0.0158,0.5,snow,30.72,22.59,22.56,0.84,1013.0,0.98,1,22.72,30.72,48.0196,66.9237
Kazakhstan,,1/23/2020,Foggy in the evening and overnight.,cloudy,0.99,0.0013,0.0082,0.18,snow,29.79,15.85,21.58,0.82,1009.3,0.99,1,22.2,29.79,48.0196,66.9237
Kazakhstan,,1/24/2020,Foggy in the evening.,partly-cloudy-day,0.02,0.0008,0.0033,0.19,snow,20.01,10.96,11.9,0.78,1018.3,0.83,1,11.1,27.59,48.0196,66.9237
Kazakhstan,,1/25/2020,Dangerously windy and foggy throughout the day.,wind,0.05,0.0027,0.0116,0.22,snow,23.32,22.3,13.7,0.81,1017.1,0.96,1,10.98,27.02,48.0196,66.9237
Kazakhstan,,1/26/2020,Windy overnight.,snow,0.09,0.0056,0.0216,0.41,snow,27.72,17.58,18.14,0.8,1010.6,0.9,1,17.58,28.29,48.0196,66.9237
Kazakhstan,,1/27/2020,Dangerously windy in the morning and afternoon.,snow,0.12,0.0064,0.0155,0.41,snow,26.89,-2.09,14.72,0.79,1017.3,0.85,1,8.07,26.89,48.0196,66.9237
Kazakhstan,,1/28/2020,Overcast throughout the day.,partly-cloudy-day,0.15,0.0002,0.0003,0.07,snow,12.7,0.04,-2.52,0.72,1035.1,0.6,1,-2.09,12.7,48.0196,66.9237
Kazakhstan,,1/29/2020,Overcast throughout the day.,partly-cloudy-day,0.18,0.0002,0.0007,0.06,snow,14.23,0.89,-1.23,0.71,1034.2,0.76,1,0.04,14.23,48.0196,66.9237
Kazakhstan,,1/30/2020,Overcast throughout the day.,cloudy,0.21,0.0001,0.0002,0.03,snow,16.04,3.63,-3.76,0.59,1029.1,1.0,1,0.89,16.04,48.0196,66.9237
Kazakhstan,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.02,snow,20.49,4.24,3.28,0.69,1022.8,0.67,1,3.63,20.49,48.0196,66.9237
Kazakhstan,,2/1/2020,Overcast throughout the day.,partly-cloudy-day,0.27,0.0001,0.0003,0.04,snow,26.31,10.16,7.38,0.71,1016.5,0.74,1,4.24,26.31,48.0196,66.9237
Kazakhstan,,2/2/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0001,0.0006,0.04,snow,35.18,20.36,14.81,0.77,1015.3,0.49,1,10.16,35.18,48.0196,66.9237
Kazakhstan,,2/3/2020,"Foggy until morning, starting again in the evening.",cloudy,0.33,0.0007,0.0013,0.14,snow,30.28,27.69,22.34,0.86,1018.4,0.98,1,20.37,30.28,48.0196,66.9237
Kazakhstan,,2/4/2020,Foggy until evening.,cloudy,0.37,0.0003,0.0013,0.22,snow,38.81,14.56,28.6,0.86,1012.6,1.0,1,29.1,38.81,48.0196,66.9237
Kazakhstan,,2/5/2020,Mostly cloudy throughout the day.,cloudy,0.4,0.0003,0.0017,0.05,snow,27.32,17.17,17.7,0.81,1021.0,0.92,1,14.36,32.41,48.0196,66.9237
Kazakhstan,,2/6/2020,Windy in the evening and overnight.,wind,0.44,0.0001,0.0003,0.21,snow,38.93,35.39,25.24,0.83,1016.5,0.99,1,17.17,38.93,48.0196,66.9237
Kazakhstan,,2/7/2020,Possible drizzle overnight.,wind,0.47,0.0002,0.0015,0.18,rain,42.18,34.32,32.53,0.8,1006.3,1.0,1,34.72,42.18,48.0196,66.9237
