Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Kenya,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0006,0.0024,0.13,rain,85.07,65.77,64.46,0.74,1010.8,0.64,11,63.35,85.07,-0.0236,37.9062
Kenya,,1/1/2020,Possible light rain in the morning.,rain,0.24,0.0114,0.0421,0.55,rain,83.38,65.99,68.03,0.84,1012.0,0.8,7,65.77,83.38,-0.0236,37.9062
Kenya,,1/2/2020,Rain in the evening and overnight.,rain,0.27,0.0181,0.1565,0.52,rain,82.14,63.76,67.6,0.83,1013.0,0.89,6,65.99,82.14,-0.0236,37.9062
Kenya,,1/3/2020,Mostly cloudy throughout the day.,rain,0.3,0.0101,0.1578,0.61,rain,80.8,64.44,67.03,0.86,1012.5,0.57,8,63.76,80.8,-0.0236,37.9062
Kenya,,1/4/2020,Mostly cloudy throughout the day.,rain,0.33,0.0057,0.0264,0.3,rain,82.84,66.55,65.89,0.78,1011.0,0.77,7,64.44,82.84,-0.0236,37.9062
Kenya,,1/5/2020,Rain in the morning.,rain,0.36,0.034,0.1726,0.65,rain,82.54,67.22,68.29,0.84,1011.1,0.6,13,66.55,82.54,-0.0236,37.9062
Kenya,,1/6/2020,Possible light rain in the morning and afternoon.,rain,0.39,0.0219,0.0748,0.76,rain,79.97,67.08,68.84,0.89,1012.9,0.73,6,67.22,79.97,-0.0236,37.9062
Kenya,,1/7/2020,Possible light rain in the morning.,rain,0.43,0.0133,0.0453,0.61,rain,81.26,65.68,69.1,0.89,1013.0,0.73,10,67.08,81.26,-0.0236,37.9062
Kenya,,1/8/2020,Humid and mostly cloudy throughout the day.,rain,0.46,0.0102,0.0358,0.58,rain,80.82,63.76,67.91,0.84,1012.1,0.71,10,65.68,80.82,-0.0236,37.9062
Kenya,,1/9/2020,Clear throughout the day.,rain,0.5,0.0048,0.0312,0.29,rain,83.54,63.88,67.24,0.82,1011.1,0.11,13,63.76,83.54,-0.0236,37.9062
Kenya,,1/10/2020,Humid throughout the day.,rain,0.53,0.0053,0.0287,0.34,rain,83.92,65.97,67.05,0.81,1011.2,0.24,13,63.88,83.92,-0.0236,37.9062
Kenya,,1/11/2020,Clear throughout the day.,rain,0.57,0.0081,0.0308,0.49,rain,84.45,65.02,67.64,0.81,1011.3,0.19,13,65.97,84.45,-0.0236,37.9062
Kenya,,1/12/2020,Rain throughout the day.,rain,0.61,0.0439,0.1529,0.86,rain,78.9,65.26,67.15,0.87,1012.6,0.89,7,65.02,78.9,-0.0236,37.9062
Kenya,,1/13/2020,Possible light rain in the morning.,rain,0.65,0.0138,0.0537,0.66,rain,81.54,64.87,68.57,0.88,1012.1,0.56,9,65.26,81.54,-0.0236,37.9062
Kenya,,1/14/2020,Partly cloudy throughout the day.,rain,0.68,0.0059,0.0198,0.31,rain,81.06,64.47,67.63,0.84,1012.5,0.52,9,64.86,81.06,-0.0236,37.9062
Kenya,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0022,0.0122,0.23,rain,81.67,64.34,66.72,0.81,1012.7,0.68,10,64.47,81.67,-0.0236,37.9062
Kenya,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.002,0.011000000000000001,0.12,rain,82.38,65.12,63.51,0.72,1012.0,0.85,10,64.34,82.38,-0.0236,37.9062
Kenya,,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.0,0.0002,0.05,,85.68,65.04,61.65,0.66,1011.6,0.79,10,65.12,85.68,-0.0236,37.9062
Kenya,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0002,0.0014,0.03,rain,84.1,64.67,62.62,0.69,1011.9,0.58,9,65.04,84.1,-0.0236,37.9062
Kenya,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.86,0.0006,0.0044,0.05,rain,85.63,65.69,64.55,0.72,1011.8,0.32,9,64.67,85.63,-0.0236,37.9062
Kenya,,1/20/2020,Partly cloudy throughout the day.,clear-day,0.9,0.0001,0.0002,0.05,rain,89.26,65.51,62.73,0.64,1010.4,0.24,11,65.69,89.26,-0.0236,37.9062
Kenya,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0009,0.008,0.06,rain,86.61,67.68,62.83,0.66,1010.5,0.73,9,65.51,86.61,-0.0236,37.9062
Kenya,,1/22/2020,Overcast throughout the day.,cloudy,0.96,0.0038,0.0182,0.2,rain,83.79,69.23,66.29,0.74,1011.2,0.96,6,67.68,83.79,-0.0236,37.9062
Kenya,,1/23/2020,Humid and overcast throughout the day.,rain,1.0,0.009000000000000001,0.0305,0.5,rain,80.79,67.37,68.8,0.83,1012.2,1.0,6,69.23,80.79,-0.0236,37.9062
Kenya,,1/24/2020,Possible light rain in the afternoon.,rain,0.03,0.0084,0.0306,0.63,rain,77.52,67.39,69.46,0.9,1013.0,0.96,7,67.37,77.52,-0.0236,37.9062
Kenya,,1/25/2020,Possible light rain in the morning and afternoon.,rain,0.06,0.0149,0.0376,0.75,rain,76.47,67.31,68.44,0.93,1013.1,1.0,6,67.39,76.47,-0.0236,37.9062
Kenya,,1/26/2020,Rain and humid throughout the day.,rain,0.09,0.0616,0.2833,0.94,rain,77.17,66.25,68.93,0.93,1012.6,0.99,6,67.31,77.17,-0.0236,37.9062
Kenya,,1/27/2020,Rain until evening.,rain,0.12,0.0618,0.2531,0.93,rain,77.27,65.75,67.95,0.93,1012.7,0.88,6,66.25,77.27,-0.0236,37.9062
Kenya,,1/28/2020,Light rain starting in the afternoon.,rain,0.15,0.0262,0.0747,0.78,rain,78.35,65.57,69.06,0.93,1012.5,0.83,7,65.75,78.35,-0.0236,37.9062
Kenya,,1/29/2020,Possible light rain in the morning.,rain,0.18,0.0132,0.0448,0.68,rain,79.24,65.79,68.86,0.91,1013.3,0.53,12,65.57,79.24,-0.0236,37.9062
Kenya,,1/30/2020,Rain until evening.,rain,0.21,0.0529,0.2299,0.63,rain,82.21,64.61,67.22,0.84,1012.0,0.54,11,65.79,82.21,-0.0236,37.9062
