Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
"Korea, South",,12/31/2019,Clear throughout the day.,clear-day,0.2,0.0,0.0002,0.03,,42.1,22.98,14.15,0.58,1031.8,0.13,3,16.55,42.1,36.0,128.0
"Korea, South",,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.06,snow,46.69,27.67,22.36,0.69,1029.6,0.29,2,22.98,46.69,36.0,128.0
"Korea, South",,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,46.92,24.49,23.83,0.69,1026.7,0.1,3,27.46,46.92,36.0,128.0
"Korea, South",,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.29,0.0002,0.0003,0.04,snow,46.82,22.5,20.04,0.58,1025.6,0.35,2,24.49,46.82,36.0,128.0
"Korea, South",,1/4/2020,Clear throughout the day.,clear-day,0.32,0.0001,0.0003,0.03,snow,48.93,28.5,13.66,0.48,1030.4,0.22,2,22.5,48.93,36.0,128.0
"Korea, South",,1/5/2020,Light rain throughout the day.,rain,0.35,0.0189,0.0727,0.91,rain,41.78,36.42,27.65,0.74,1027.4,0.92,2,28.5,41.78,36.0,128.0
"Korea, South",,1/6/2020,Rain throughout the day.,rain,0.38,0.0596,0.1647,0.98,rain,50.57,37.39,42.94,0.95,1013.5,0.99,2,38.37,55.26,36.0,128.0
"Korea, South",,1/7/2020,Possible drizzle and dangerously windy in the morning.,rain,0.42,0.0045,0.0257,0.75,rain,39.46,27.66,34.56,0.83,1012.8,0.87,2,32.26,52.25,36.0,128.0
"Korea, South",,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.45,0.0001,0.0002,0.04,rain,41.37,22.21,24.83,0.73,1023.4,0.6,2,27.59,41.37,36.0,128.0
"Korea, South",,1/9/2020,Clear throughout the day.,clear-day,0.49,0.0001,0.0003,0.04,rain,47.75,25.01,17.0,0.57,1023.6,0.3,3,22.21,47.75,36.0,128.0
"Korea, South",,1/10/2020,Clear throughout the day.,partly-cloudy-day,0.53,0.0001,0.0003,0.05,snow,45.39,28.11,21.95,0.66,1020.0,0.65,3,25.01,45.39,36.0,128.0
"Korea, South",,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.56,0.0001,0.0003,0.07,snow,40.37,27.11,22.29,0.67,1017.2,0.64,3,28.11,40.37,36.0,128.0
"Korea, South",,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.6,0.0005,0.0019,0.1,snow,39.15,24.46,19.32,0.63,1021.9,0.56,2,26.34,39.15,36.0,128.0
"Korea, South",,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.0,0.0,0.0,,41.69,21.72,13.1,0.49,1024.9,0.68,2,24.46,41.69,36.0,128.0
"Korea, South",,1/14/2020,Clear throughout the day.,clear-day,0.67,0.0,0.0001,0.02,,39.57,22.7,14.48,0.56,1027.8,0.11,3,22.74,39.57,36.0,128.0
"Korea, South",,1/15/2020,Overcast throughout the day.,cloudy,0.71,0.0001,0.0002,0.03,snow,42.64,24.42,5.06,0.39,1026.9,0.88,2,22.7,42.64,36.0,128.0
"Korea, South",,1/16/2020,Overcast throughout the day.,cloudy,0.75,0.0001,0.0004,0.02,snow,42.61,27.48,6.66,0.35,1022.6,0.9,2,24.42,42.61,36.0,128.0
