Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Kuwait,,12/31/2019,Overcast throughout the day.,cloudy,0.21,0.0001,0.0002,0.02,rain,68.51,49.54,38.49,0.48,1016.9,0.95,3,51.12,68.51,29.5,47.75
Kuwait,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,68.24,54.43,44.36,0.61,1018.8,0.72,3,49.54,68.24,29.5,47.75
Kuwait,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0,0.0003,0.02,,70.51,60.16,56.84,0.82,1016.8,0.97,3,54.43,70.51,29.5,47.75
Kuwait,,1/3/2020,Overcast throughout the day.,cloudy,0.3,0.0002,0.0004,0.18,rain,73.41,51.22,51.46,0.66,1013.7,0.96,3,58.04,73.41,29.5,47.75
Kuwait,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.05,rain,68.51,49.23,39.6,0.5,1015.8,0.28,4,51.22,68.51,29.5,47.75
Kuwait,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,68.76,49.94,38.68,0.5,1020.7,0.0,4,49.23,68.76,29.5,47.75
Kuwait,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.04,rain,70.15,49.72,41.8,0.55,1021.5,0.0,4,49.94,70.15,29.5,47.75
Kuwait,,1/7/2020,Partly cloudy throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,70.07,50.94,44.65,0.59,1016.4,0.26,4,49.72,70.07,29.5,47.75
Kuwait,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.01,,68.72,45.92,32.79,0.39,1015.1,0.02,4,50.94,68.72,29.5,47.75
Kuwait,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0008,0.008,0.15,rain,67.22,50.05,34.02,0.44,1013.0,0.24,3,46.92,67.22,29.5,47.75
Kuwait,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.001,0.12,rain,63.37,48.43,40.32,0.57,1014.2,0.26,3,50.05,63.37,29.5,47.75
Kuwait,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.03,rain,66.61,45.18,31.94,0.42,1020.9,0.09,4,48.44,66.61,29.5,47.75
Kuwait,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0,0.0002,0.03,,67.92,48.81,31.81,0.41,1019.7,0.31,4,45.18,67.92,29.5,47.75
Kuwait,,1/13/2020,Partly cloudy throughout the day.,clear-day,0.65,0.0001,0.0024,0.03,rain,60.28,45.22,37.38,0.55,1020.8,0.28,4,48.81,60.28,29.5,47.75
Kuwait,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.02,,68.93,43.87,33.86,0.48,1025.4,0.04,4,45.22,68.93,29.5,47.75
Kuwait,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.03,rain,70.05,50.24,33.85,0.45,1025.1,0.01,4,43.87,70.05,29.5,47.75
Kuwait,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.04,rain,72.3,58.21,43.23,0.55,1019.5,0.51,5,50.24,72.3,29.5,47.75
Kuwait,,1/17/2020,Overcast throughout the day.,rain,0.79,0.0025,0.019,0.29,rain,74.74,53.08,44.77,0.5,1013.8,0.98,3,58.21,74.74,29.5,47.75
Kuwait,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,73.29,52.59,43.63,0.53,1017.6,0.22,4,53.08,73.29,29.5,47.75
Kuwait,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0,0.0002,0.03,,71.96,52.74,43.41,0.55,1021.3,0.05,4,52.59,71.96,29.5,47.75
Kuwait,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.9,0.0004,0.0064,0.11,rain,70.06,56.12,43.14,0.54,1017.6,0.58,3,52.74,70.06,29.5,47.75
Kuwait,,1/21/2020,Clear throughout the day.,rain,0.93,0.0017,0.0167,0.29,rain,69.78,46.93,41.4,0.52,1014.1,0.26,4,51.61,69.78,29.5,47.75
Kuwait,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.05,rain,63.62,44.34,36.63,0.52,1019.8,0.05,4,46.93,63.62,29.5,47.75
Kuwait,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0,0.0002,0.03,,64.2,49.21,40.07,0.61,1020.3,0.0,4,44.34,64.2,29.5,47.75
Kuwait,,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0006,0.06,rain,60.36,43.2,35.08,0.51,1019.8,0.32,4,47.59,60.36,29.5,47.75
Kuwait,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.05,rain,65.37,44.96,35.72,0.53,1023.6,0.03,5,43.2,65.37,29.5,47.75
Kuwait,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.03,rain,67.6,45.44,35.23,0.51,1024.3,0.0,5,44.96,67.6,29.5,47.75
Kuwait,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0002,0.01,,68.91,48.51,38.03,0.54,1021.9,0.22,5,45.44,68.91,29.5,47.75
Kuwait,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0002,0.0006,0.07,rain,70.23,47.56,42.07,0.59,1017.7,0.74,4,48.51,70.23,29.5,47.75
Kuwait,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.05,rain,70.9,50.92,47.91,0.7,1019.9,0.0,5,47.56,70.9,29.5,47.75
Kuwait,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.05,rain,70.08,53.79,48.9,0.7,1018.3,0.0,5,50.92,70.08,29.5,47.75
Kuwait,,1/31/2020,Partly cloudy throughout the day.,clear-day,0.24,0.0001,0.0003,0.11,rain,69.59,44.8,35.77,0.48,1017.3,0.25,5,50.22,69.59,29.5,47.75
