Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Kyrgyzstan,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0004,0.15,snow,22.57,3.97,3.09,0.69,1028.1,0.68,1,7.18,22.57,41.2044,74.7661
Kyrgyzstan,,1/1/2020,Clear throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.23,snow,20.09,3.47,-1.72,0.6,1027.9,0.53,2,3.51,20.09,41.2044,74.7661
Kyrgyzstan,,1/2/2020,Overcast throughout the day.,cloudy,0.26,0.0001,0.0011,0.13,snow,19.52,3.49,-1.6,0.61,1027.0,1.0,1,3.47,19.52,41.2044,74.7661
Kyrgyzstan,,1/3/2020,Overcast throughout the day.,cloudy,0.29,0.0002,0.0005,0.21,snow,19.37,0.95,0.19,0.68,1029.0,0.89,1,3.56,19.37,41.2044,74.7661
Kyrgyzstan,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.32,0.0001,0.0003,0.13,snow,16.47,2.35,-4.19,0.62,1027.1,0.38,1,0.56,16.47,41.2044,74.7661
Kyrgyzstan,,1/5/2020,Foggy overnight.,cloudy,0.36,0.0001,0.0009,0.04,snow,18.52,5.6,-2.21,0.61,1023.9,0.99,1,0.29,18.52,41.2044,74.7661
Kyrgyzstan,,1/6/2020,Foggy in the morning.,partly-cloudy-day,0.39,0.001,0.0066,0.21,snow,21.79,4.6,1.87,0.66,1028.3,0.77,1,5.59,21.79,41.2044,74.7661
Kyrgyzstan,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.42,0.0002,0.0007,0.14,snow,19.37,-0.12,-0.61,0.65,1031.2,0.8,1,4.34,19.37,41.2044,74.7661
Kyrgyzstan,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.46,0.0003,0.0012,0.08,snow,16.74,1.59,-4.46,0.6,1032.2,0.7,1,-0.12,16.74,41.2044,74.7661
Kyrgyzstan,,1/9/2020,Overcast throughout the day.,cloudy,0.49,0.0001,0.001,0.09,snow,18.1,5.24,-2.51,0.62,1027.5,0.98,1,1.56,18.1,41.2044,74.7661
Kyrgyzstan,,1/10/2020,Overcast throughout the day.,cloudy,0.53,0.0006,0.0023,0.1,snow,21.83,11.42,2.82,0.66,1025.8,0.99,1,5.24,21.83,41.2044,74.7661
Kyrgyzstan,,1/11/2020,Overcast throughout the day.,cloudy,0.57,0.0003,0.0006,0.11,snow,26.07,14.18,8.59,0.7,1017.9,1.0,2,11.3,26.07,41.2044,74.7661
Kyrgyzstan,,1/12/2020,Foggy until evening.,snow,0.6,0.0042,0.0114,0.41,snow,29.5,15.42,13.92,0.72,1015.7,1.0,1,17.45,29.5,41.2044,74.7661
Kyrgyzstan,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.64,0.0003,0.0009,0.11,snow,28.22,8.47,9.32,0.68,1023.5,0.76,2,12.35,28.22,41.2044,74.7661
Kyrgyzstan,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.68,0.0001,0.0003,0.09,snow,23.76,5.51,4.66,0.68,1031.2,0.74,2,8.71,23.76,41.2044,74.7661
Kyrgyzstan,,1/15/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.72,0.0004,0.0014,0.19,snow,20.49,-1.17,1.7,0.66,1034.4,0.76,2,5.02,20.49,41.2044,74.7661
Kyrgyzstan,,1/16/2020,Foggy in the morning.,partly-cloudy-day,0.75,0.0004,0.0019,0.17,snow,15.42,-3.74,-3.27,0.68,1041.6,0.76,2,-1.54,15.42,41.2044,74.7661
Kyrgyzstan,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.05,,16.15,-2.8,-13.2,0.45,1038.1,0.05,2,-3.74,16.15,41.2044,74.7661
Kyrgyzstan,,1/18/2020,Clear throughout the day.,clear-day,0.82,0.0,0.0003,0.02,,16.41,0.76,-16.4,0.37,1029.8,0.3,2,-3.34,16.41,41.2044,74.7661
Kyrgyzstan,,1/19/2020,Mostly cloudy throughout the day.,cloudy,0.86,0.0001,0.0004,0.04,snow,19.39,2.81,-6.49,0.51,1027.6,0.89,2,0.76,19.39,41.2044,74.7661
Kyrgyzstan,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.89,0.0001,0.0002,0.14,snow,20.85,3.4,-3.33,0.57,1027.0,0.77,2,2.81,20.85,41.2044,74.7661
Kyrgyzstan,,1/21/2020,Foggy in the afternoon and evening.,cloudy,0.93,0.0012,0.0042,0.21,snow,19.1,6.2,0.11,0.65,1028.9,0.88,1,3.4,19.1,41.2044,74.7661
Kyrgyzstan,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.96,0.0001,0.0005,0.06,snow,21.49,0.92,0.02,0.63,1032.7,0.49,2,4.8,21.49,41.2044,74.7661
Kyrgyzstan,,1/23/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.99,0.0001,0.0002,0.08,snow,21.05,9.21,-4.68,0.51,1025.2,0.64,2,0.6,21.05,41.2044,74.7661
Kyrgyzstan,,1/24/2020,Clear throughout the day.,partly-cloudy-day,0.02,0.0001,0.001,0.08,snow,23.89,8.5,3.31,0.62,1025.1,0.55,2,8.47,23.89,41.2044,74.7661
Kyrgyzstan,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.05,0.0006,0.0017,0.18,snow,23.14,5.72,5.82,0.73,1026.2,0.76,2,8.45,23.14,41.2044,74.7661
Kyrgyzstan,,1/26/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.09,0.0002,0.0005,0.13,snow,19.39,2.93,1.2,0.68,1026.2,0.37,2,5.28,19.39,41.2044,74.7661
Kyrgyzstan,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0003,0.02,,18.41,-3.68,-2.08,0.65,1031.9,0.3,2,2.06,18.41,41.2044,74.7661
Kyrgyzstan,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0002,0.0003,0.14,snow,15.19,-3.72,-10.15,0.53,1033.6,0.0,2,-3.83,15.19,41.2044,74.7661
Kyrgyzstan,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0002,0.0006,0.14,snow,14.75,-5.31,-11.14,0.52,1031.6,0.09,2,-3.72,14.75,41.2044,74.7661
Kyrgyzstan,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.11,snow,15.96,-4.73,-13.27,0.47,1029.3,0.1,2,-5.35,15.96,41.2044,74.7661
Kyrgyzstan,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,snow,15.2,-1.04,-13.62,0.45,1029.4,0.5,2,-4.73,15.2,41.2044,74.7661
Kyrgyzstan,,2/1/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0003,0.02,snow,19.19,3.68,-6.72,0.52,1026.6,0.9,2,-1.04,19.19,41.2044,74.7661
Kyrgyzstan,,2/2/2020,Mostly cloudy throughout the day.,cloudy,0.3,0.0,0.0002,0.02,,22.57,3.55,-2.05,0.54,1021.9,0.9,2,3.68,22.57,41.2044,74.7661
Kyrgyzstan,,2/3/2020,Overcast throughout the day.,cloudy,0.33,0.0004,0.0009,0.11,snow,22.77,3.94,1.11,0.63,1024.7,0.92,2,3.55,22.77,41.2044,74.7661
Kyrgyzstan,,2/4/2020,Clear throughout the day.,partly-cloudy-day,0.37,0.0001,0.0003,0.08,snow,20.81,6.98,0.3,0.62,1024.6,0.54,3,3.94,20.81,41.2044,74.7661
Kyrgyzstan,,2/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0005,0.05,snow,23.38,1.45,2.87,0.65,1028.6,0.74,2,6.98,23.38,41.2044,74.7661
Kyrgyzstan,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.09,snow,22.21,2.4,-0.66,0.6,1032.7,0.16,2,1.45,22.21,41.2044,74.7661
Kyrgyzstan,,2/7/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0003,0.04,,24.32,6.35,-1.86,0.53,1029.8,0.11,3,2.4,24.32,41.2044,74.7661
Kyrgyzstan,,2/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.0001,0.0003,0.09,snow,27.75,10.39,1.58,0.54,1020.9,0.47,3,6.35,27.75,41.2044,74.7661
Kyrgyzstan,,2/9/2020,Overcast throughout the day.,partly-cloudy-day,0.55,0.0002,0.0005,0.13,snow,30.67,16.93,8.47,0.63,1017.4,0.85,2,10.39,30.67,41.2044,74.7661
Kyrgyzstan,,2/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.59,0.0006,0.0019,0.2,snow,33.09,14.42,17.11,0.77,1018.9,0.85,3,16.93,33.09,41.2044,74.7661
Kyrgyzstan,,2/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.63,0.0002,0.0005,0.13,snow,34.34,18.83,14.43,0.72,1016.8,0.45,3,14.42,34.34,41.2044,74.7661
Kyrgyzstan,,2/12/2020,Possible light snow (1–2 in.) in the afternoon.,snow,0.67,0.0058,0.0235,0.49,snow,31.15,12.17,17.15,0.77,1020.7,0.96,2,18.83,31.15,41.2044,74.7661
Kyrgyzstan,,2/13/2020,Clear throughout the day.,partly-cloudy-day,0.7,0.0001,0.0004,0.1,snow,29.07,7.53,10.38,0.7,1031.4,0.42,3,11.56,29.07,41.2044,74.7661
Kyrgyzstan,,2/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.74,0.0001,0.0003,0.07,snow,26.21,10.96,5.75,0.65,1028.2,0.63,3,7.44,26.21,41.2044,74.7661
Kyrgyzstan,,2/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.77,0.0005,0.0023,0.14,snow,25.39,3.46,6.73,0.67,1039.1,0.67,3,8.07,25.39,41.2044,74.7661
Kyrgyzstan,,2/16/2020,Foggy overnight.,cloudy,0.81,0.0005,0.0023,0.14,snow,20.51,11.66,0.07,0.61,1036.7,0.96,2,3.46,20.51,41.2044,74.7661
Kyrgyzstan,,2/17/2020,Foggy until evening.,snow,0.84,0.0044,0.0098,0.42,snow,24.13,4.4,12.64,0.8,1028.5,1.0,2,11.66,24.13,41.2044,74.7661
Kyrgyzstan,,2/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0001,0.0012,0.06,snow,20.96,4.24,2.78,0.68,1039.8,0.58,3,4.34,20.96,41.2044,74.7661
Kyrgyzstan,,2/19/2020,Clear throughout the day.,clear-day,0.91,0.0001,0.0004,0.1,snow,24.04,6.59,-0.14,0.57,1033.5,0.03,4,4.24,24.04,41.2044,74.7661
Kyrgyzstan,,2/20/2020,Clear throughout the day.,clear-day,0.94,0.0001,0.0004,0.11,snow,29.39,11.17,1.29,0.5,1025.0,0.12,4,6.59,29.39,41.2044,74.7661
Kyrgyzstan,,2/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0021,0.08,snow,31.6,15.57,6.92,0.57,1025.7,0.68,4,11.17,31.6,41.2044,74.7661
