Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Latvia,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0006,0.13,rain,39.01,35.99,30.12,0.78,1017.3,0.66,0,33.13,39.01,56.8796,24.6032
Latvia,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.21,rain,42.02,33.53,33.85,0.84,1013.7,0.74,0,35.66,42.02,56.8796,24.6032
Latvia,,1/2/2020,Possible drizzle in the evening and overnight.,rain,0.27,0.0026,0.0129,0.61,rain,41.56,36.2,33.17,0.84,1007.8,0.5,0,33.53,41.56,56.8796,24.6032
Latvia,,1/3/2020,Possible drizzle in the morning and afternoon.,rain,0.3,0.0036,0.0149,0.65,rain,38.97,32.81,32.48,0.82,998.6,0.95,0,35.47,40.98,56.8796,24.6032
Latvia,,1/4/2020,Mostly cloudy throughout the day.,rain,0.33,0.0009,0.0087,0.49,rain,34.39,25.68,26.17,0.78,1018.0,0.72,0,25.68,36.5,56.8796,24.6032
Latvia,,1/5/2020,Possible light snow (< 1 in.) in the morning.,snow,0.36,0.0071,0.0343,0.58,snow,37.79,34.76,31.09,0.9,1020.2,0.99,0,26.75,37.79,56.8796,24.6032
Latvia,,1/6/2020,Overcast throughout the day.,rain,0.39,0.0016,0.0032,0.26,rain,37.63,32.1,34.05,0.91,1020.6,1.0,0,34.97,37.63,56.8796,24.6032
Latvia,,1/7/2020,Possible light rain in the afternoon.,rain,0.43,0.0075,0.0678,0.68,rain,40.32,34.43,33.27,0.88,1014.4,0.96,0,32.1,43.62,56.8796,24.6032
Latvia,,1/8/2020,Possible light rain overnight.,partly-cloudy-day,0.46,0.0002,0.0014,0.06,rain,39.62,33.15,32.94,0.86,1014.0,0.51,0,33.15,43.72,56.8796,24.6032
Latvia,,1/9/2020,Drizzle throughout the day.,rain,0.5,0.0053,0.0286,0.86,rain,39.06,30.74,35.2,0.93,1010.4,1.0,0,34.33,39.06,56.8796,24.6032
Latvia,,1/10/2020,Clear throughout the day.,rain,0.54,0.0006,0.0071,0.67,rain,34.47,32.09,29.53,0.86,1019.7,0.64,0,30.34,38.24,56.8796,24.6032
Latvia,,1/11/2020,Light rain in the afternoon and evening.,rain,0.57,0.0088,0.0321,0.88,rain,42.6,35.78,35.56,0.86,1010.6,1.0,0,34.04,44.09,56.8796,24.6032
Latvia,,1/12/2020,Mostly cloudy throughout the day.,rain,0.61,0.0005,0.0025,0.37,rain,42.76,33.65,35.27,0.88,1011.5,0.79,0,35.78,42.76,56.8796,24.6032
Latvia,,1/13/2020,Possible light rain in the evening and overnight.,rain,0.65,0.0044,0.0273,0.77,rain,38.74,37.75,33.14,0.87,1014.2,0.79,0,33.62,39.27,56.8796,24.6032
Latvia,,1/14/2020,Possible drizzle in the afternoon.,rain,0.69,0.0019,0.0155,0.63,rain,44.93,41.78,37.26,0.85,1009.9,0.99,0,38.28,44.93,56.8796,24.6032
Latvia,,1/15/2020,Mostly cloudy throughout the day.,rain,0.72,0.001,0.0056,0.42,rain,44.9,36.95,37.88,0.83,1016.5,0.85,0,39.72,44.9,56.8796,24.6032
Latvia,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.09,rain,42.89,31.62,33.67,0.84,1026.0,0.6,0,33.07,42.89,56.8796,24.6032
Latvia,,1/17/2020,Overcast throughout the day.,partly-cloudy-day,0.79,0.0002,0.0011,0.19,rain,38.1,36.5,29.89,0.82,1018.3,0.85,0,31.62,39.31,56.8796,24.6032
