Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Lebanon,,12/31/2019,Possible drizzle in the evening.,rain,0.21,0.0036,0.0135,0.54,rain,46.32,35.27,36.59,0.92,1016.8,0.63,2,35.06,46.32,33.8547,35.8623
Lebanon,,1/1/2020,Possible drizzle throughout the day.,rain,0.24,0.0036,0.0113,0.78,rain,43.15,35.33,36.46,0.93,1015.6,0.95,2,35.27,43.15,33.8547,35.8623
Lebanon,,1/2/2020,Possible drizzle in the morning and afternoon.,rain,0.27,0.0034,0.0119,0.84,rain,43.26,32.4,33.86,0.88,1016.8,0.72,2,32.47,43.26,33.8547,35.8623
Lebanon,,1/3/2020,Light rain throughout the day.,rain,0.3,0.006999999999999999,0.0227,0.82,rain,39.44,35.5,34.22,0.94,1014.2,0.86,2,32.46,39.44,33.8547,35.8623
Lebanon,,1/4/2020,Light rain throughout the day.,rain,0.33,0.0123,0.0217,0.88,rain,42.71,37.88,37.92,0.96,1014.3,0.94,2,36.08,42.71,33.8547,35.8623
Lebanon,,1/5/2020,Possible light rain in the morning.,rain,0.36,0.0059,0.034,0.74,rain,47.71,36.4,35.17,0.81,1015.6,0.43,3,36.99,47.71,33.8547,35.8623
Lebanon,,1/6/2020,Possible light rain starting in the afternoon.,rain,0.39,0.0052,0.0226,0.66,rain,47.75,33.99,32.41,0.78,1014.4,0.43,3,35.21,47.75,33.8547,35.8623
Lebanon,,1/7/2020,Light rain throughout the day.,rain,0.43,0.0261,0.0734,0.93,rain,38.91,34.82,34.99,0.96,1012.1,0.99,2,34.09,38.91,33.8547,35.8623
Lebanon,,1/8/2020,Possible light rain throughout the day.,rain,0.46,0.0178,0.048,0.87,rain,40.57,31.8,35.4,0.95,1012.5,0.91,2,33.23,40.57,33.8547,35.8623
Lebanon,,1/9/2020,Partly cloudy throughout the day.,rain,0.5,0.0012,0.0168,0.45,rain,42.07,29.9,32.11,0.88,1015.8,0.57,3,31.01,42.07,33.8547,35.8623
Lebanon,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.08,snow,46.43,33.33,31.48,0.83,1022.3,0.23,3,29.9,46.43,33.8547,35.8623
Lebanon,,1/11/2020,Overcast throughout the day.,rain,0.57,0.002,0.0101,0.3,rain,47.32,38.25,36.07,0.89,1022.8,0.95,2,33.34,47.32,33.8547,35.8623
Lebanon,,1/12/2020,Mostly cloudy throughout the day.,rain,0.61,0.0027,0.0105,0.41,rain,49.39,33.92,38.34,0.89,1021.9,0.52,3,36.68,49.39,33.8547,35.8623
Lebanon,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0001,0.01,,50.58,38.64,34.04,0.77,1024.5,0.18,3,33.92,50.58,33.8547,35.8623
Lebanon,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0003,0.0027,0.05,rain,54.13,42.61,35.02,0.69,1022.1,0.76,3,38.65,54.13,33.8547,35.8623
Lebanon,,1/15/2020,Mostly cloudy throughout the day.,rain,0.72,0.0068,0.0216,0.48,rain,57.38,37.94,39.49,0.75,1017.4,0.76,3,41.64,57.38,33.8547,35.8623
Lebanon,,1/16/2020,Mostly cloudy throughout the day.,rain,0.76,0.0037,0.0108,0.45,rain,46.32,35.93,34.5,0.79,1014.2,0.75,2,36.7,46.32,33.8547,35.8623
Lebanon,,1/17/2020,Mostly cloudy throughout the day.,rain,0.79,0.0024,0.0073,0.56,rain,43.35,34.9,36.16,0.91,1015.6,0.81,2,35.77,43.35,33.8547,35.8623
Lebanon,,1/18/2020,Possible light rain throughout the day.,rain,0.83,0.0086,0.0173,0.79,rain,42.51,35.76,36.8,0.95,1017.3,0.9,2,34.9,42.51,33.8547,35.8623
Lebanon,,1/19/2020,Possible light rain throughout the day.,rain,0.86,0.0108,0.0227,0.84,rain,41.89,29.71,36.43,0.96,1021.9,0.82,2,33.65,41.89,33.8547,35.8623
Lebanon,,1/20/2020,Possible light snow (< 1 in.) in the morning.,snow,0.9,0.006,0.0243,0.64,snow,39.09,30.22,31.4,0.91,1019.5,0.8,2,29.71,39.09,33.8547,35.8623
Lebanon,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0001,0.0003,0.06,snow,44.18,30.03,28.81,0.79,1020.6,0.27,3,30.22,44.18,33.8547,35.8623
Lebanon,,1/22/2020,Rain in the evening and overnight.,rain,0.96,0.0028,0.0559,0.65,rain,41.8,30.79,32.32,0.87,1020.1,0.6,3,30.03,41.8,33.8547,35.8623
Lebanon,,1/23/2020,Light snow (< 1 in.) in the morning.,rain,1.0,0.03,0.1494,0.85,rain,38.05,25.58,28.8,0.86,1018.3,0.63,3,26.52,38.05,33.8547,35.8623
Lebanon,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0005,0.07,snow,43.28,27.76,19.04,0.58,1028.3,0.05,4,25.58,43.28,33.8547,35.8623
Lebanon,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.04,rain,48.2,31.83,22.32,0.57,1028.1,0.03,4,27.76,48.2,33.8547,35.8623
Lebanon,,1/26/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0001,0.0004,0.06,rain,52.43,35.93,27.95,0.61,1024.0,0.64,3,31.83,52.43,33.8547,35.8623
Lebanon,,1/27/2020,Possible light rain overnight.,rain,0.12,0.0019,0.0346,0.43,rain,51.81,36.21,28.28,0.61,1017.4,0.48,4,35.93,51.81,33.8547,35.8623
Lebanon,,1/28/2020,Possible drizzle in the morning.,rain,0.15,0.0041,0.0292,0.67,rain,46.75,38.08,37.78,0.92,1019.1,0.6,3,36.21,46.75,33.8547,35.8623
Lebanon,,1/29/2020,Light rain in the evening and overnight.,rain,0.18,0.0041,0.0157,0.58,rain,47.83,35.87,39.09,0.91,1019.9,0.69,3,38.08,47.83,33.8547,35.8623
Lebanon,,1/30/2020,Light rain in the morning and afternoon.,rain,0.21,0.0194,0.0612,0.87,rain,37.88,31.03,33.2,0.91,1014.7,0.7,3,31.14,41.35,33.8547,35.8623
Lebanon,,1/31/2020,Possible drizzle in the morning and afternoon.,rain,0.24,0.0037,0.0101,0.59,rain,40.2,31.92,33.48,0.93,1017.9,0.66,3,31.03,40.2,33.8547,35.8623
Lebanon,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0006,0.08,rain,47.9,34.78,33.46,0.82,1021.9,0.1,4,31.92,47.9,33.8547,35.8623
Lebanon,,2/2/2020,Overcast throughout the day.,partly-cloudy-day,0.3,0.0001,0.0003,0.09,rain,51.89,33.83,35.77,0.81,1021.0,0.75,3,34.78,51.89,33.8547,35.8623
