Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Liberia,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.07,rain,94.81,67.03,59.41,0.59,1011.1,0.36,9,66.56,94.81,6.4281,-9.4295
Liberia,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0004,0.06,rain,94.58,65.3,59.26,0.59,1011.8,0.15,11,67.03,94.58,6.4281,-9.4295
Liberia,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0001,0.0005,0.03,rain,94.1,61.8,45.96,0.38,1012.3,0.32,10,65.3,94.1,6.4281,-9.4295
Liberia,,1/4/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0004,0.07,rain,94.5,60.46,41.11,0.31,1012.5,0.08,10,61.8,94.5,6.4281,-9.4295
Liberia,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.05,rain,95.49,60.39,48.51,0.45,1011.7,0.01,11,60.46,95.49,6.4281,-9.4295
Liberia,,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,95.89,64.18,55.95,0.56,1011.1,0.18,10,60.39,95.89,6.4281,-9.4295
Liberia,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.07,rain,93.86,67.11,63.19,0.66,1011.2,0.12,10,64.18,93.86,6.4281,-9.4295
Liberia,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.43,0.0,0.0002,0.05,,96.69,69.66,66.26,0.67,1011.8,0.27,10,67.11,96.69,6.4281,-9.4295
Liberia,,1/9/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0001,0.01,,97.67,69.97,67.11,0.67,1011.8,0.52,9,69.66,97.67,6.4281,-9.4295
Liberia,,1/10/2020,Humid throughout the day.,partly-cloudy-day,0.5,0.0013,0.0128,0.14,rain,98.3,72.88,69.56,0.72,1012.1,0.34,10,69.97,98.3,6.4281,-9.4295
Liberia,,1/11/2020,Humid and partly cloudy throughout the day.,rain,0.54,0.0015,0.0065,0.29,rain,91.28,71.39,73.32,0.82,1012.9,0.51,8,72.88,91.28,6.4281,-9.4295
Liberia,,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.58,0.0019,0.0115,0.25,rain,97.17,69.67,69.61,0.71,1011.8,0.55,9,71.39,97.17,6.4281,-9.4295
Liberia,,1/13/2020,Humid throughout the day.,partly-cloudy-day,0.61,0.0,0.0003,0.05,,98.38,69.72,64.34,0.63,1010.5,0.41,9,69.67,98.38,6.4281,-9.4295
Liberia,,1/14/2020,Foggy in the morning.,partly-cloudy-day,0.65,0.0003,0.0024,0.04,rain,97.51,66.6,58.75,0.54,1009.9,0.5,10,69.72,97.51,6.4281,-9.4295
Liberia,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0002,0.05,,96.5,69.29,59.83,0.55,1010.9,0.43,10,66.6,96.5,6.4281,-9.4295
Liberia,,1/16/2020,Humid and partly cloudy throughout the day.,clear-day,0.72,0.0,0.0002,0.05,,100.43,69.24,63.74,0.62,1011.9,0.29,10,69.29,100.43,6.4281,-9.4295
Liberia,,1/17/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.07,rain,98.32,70.37,68.5,0.7,1012.6,0.37,11,69.24,98.32,6.4281,-9.4295
Liberia,,1/18/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0,0.0002,0.03,,98.53,71.3,67.55,0.66,1012.2,0.39,9,70.37,98.53,6.4281,-9.4295
Liberia,,1/19/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0006,0.0082,0.05,rain,96.76,70.13,67.47,0.67,1011.2,0.53,8,71.3,96.76,6.4281,-9.4295
Liberia,,1/20/2020,Humid and mostly cloudy throughout the day.,rain,0.87,0.0013,0.0048,0.27,rain,95.43,72.0,71.15,0.76,1010.4,0.76,7,70.13,95.43,6.4281,-9.4295
Liberia,,1/21/2020,Possible light rain in the evening.,rain,0.9,0.0074,0.035,0.64,rain,92.62,71.03,72.94,0.81,1011.2,0.89,6,72.0,92.62,6.4281,-9.4295
Liberia,,1/22/2020,Possible light rain until evening.,rain,0.93,0.0118,0.0546,0.73,rain,89.27,69.96,73.54,0.86,1011.9,0.94,6,71.03,89.27,6.4281,-9.4295
Liberia,,1/23/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.08,rain,93.66,69.86,70.43,0.74,1011.3,0.85,8,69.96,93.66,6.4281,-9.4295
Liberia,,1/24/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,1.0,0.0001,0.0002,0.06,rain,96.59,66.58,62.28,0.59,1011.0,0.65,9,69.86,96.59,6.4281,-9.4295
Liberia,,1/25/2020,Humid throughout the day.,clear-day,0.03,0.0001,0.0003,0.03,rain,96.98,71.0,62.64,0.61,1011.7,0.2,10,66.58,96.98,6.4281,-9.4295
