Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Liechtenstein,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.14,snow,37.7,25.24,21.33,0.69,1032.8,0.01,1,26.32,37.7,47.14,9.55
Liechtenstein,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.16,snow,37.54,27.01,21.09,0.7,1031.2,0.04,1,25.24,37.54,47.14,9.55
Liechtenstein,,1/2/2020,Possible light snow (< 1 in.) overnight.,snow,0.27,0.0013,0.013000000000000001,0.3,snow,39.24,26.19,24.44,0.77,1028.1,0.73,1,26.81,39.24,47.14,9.55
Liechtenstein,,1/3/2020,Light snow (1–3 in.) until evening.,snow,0.3,0.0112,0.0208,0.83,snow,33.38,18.35,28.09,1.0,1031.8,0.99,1,23.74,33.38,47.14,9.55
Liechtenstein,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0006,0.17,snow,30.38,23.79,20.79,0.87,1034.9,0.17,1,18.35,30.38,47.14,9.55
Liechtenstein,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,39.41,24.88,16.04,0.55,1029.8,0.02,1,23.79,39.41,47.14,9.55
Liechtenstein,,1/6/2020,Foggy in the morning and afternoon.,snow,0.4,0.001,0.0062,0.31,snow,34.32,25.59,21.77,0.77,1030.4,0.45,1,25.69,34.32,47.14,9.55
Liechtenstein,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0017,0.0065,0.13,snow,40.21,33.15,11.62,0.43,1031.5,0.67,1,25.59,40.21,47.14,9.55
Liechtenstein,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0001,0.02,,47.71,26.22,23.19,0.56,1023.7,0.79,1,33.15,47.71,47.14,9.55
Liechtenstein,,1/9/2020,Foggy in the evening and overnight.,snow,0.5,0.0008,0.0059,0.28,snow,37.9,25.91,22.77,0.76,1024.2,0.35,1,24.45,37.9,47.14,9.55
Liechtenstein,,1/10/2020,Foggy in the morning.,snow,0.54,0.0011,0.0066,0.35,snow,35.32,23.7,26.39,0.93,1032.2,0.61,1,25.17,35.32,47.14,9.55
Liechtenstein,,1/11/2020,Clear throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.09,snow,38.73,25.38,9.85,0.42,1028.9,0.37,1,23.7,38.73,47.14,9.55
Liechtenstein,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,snow,38.92,26.09,11.77,0.47,1023.9,0.59,1,25.68,38.92,47.14,9.55
Liechtenstein,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,42.29,30.03,16.6,0.53,1020.0,0.49,1,26.09,42.29,47.14,9.55
Liechtenstein,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,42.09,28.5,23.1,0.64,1022.0,0.27,1,30.03,42.09,47.14,9.55
Liechtenstein,,1/15/2020,Clear throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.06,,41.09,24.85,25.58,0.75,1027.7,0.32,1,28.5,41.09,47.14,9.55
Liechtenstein,,1/16/2020,Snow (1–3 in.) overnight.,partly-cloudy-day,0.76,0.0004,0.0052,0.15,snow,39.86,25.4,23.79,0.75,1023.9,0.44,1,24.85,39.86,47.14,9.55
