Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Lithuania,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0003,0.001,0.18,rain,40.69,37.78,30.2,0.79,1021.1,0.45,0,31.27,40.69,55.1694,23.8813
Lithuania,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0004,0.21,rain,44.11,30.68,34.81,0.81,1018.2,0.8,0,37.61,44.11,55.1694,23.8813
Lithuania,,1/2/2020,Possible drizzle overnight.,partly-cloudy-day,0.27,0.0002,0.0024,0.13,rain,37.47,35.57,27.26,0.73,1013.1,0.33,0,30.68,37.9,55.1694,23.8813
Lithuania,,1/3/2020,Possible drizzle in the morning and afternoon.,rain,0.3,0.0049,0.0142,0.77,rain,40.7,31.23,32.57,0.83,1003.2,0.67,0,32.18,40.7,55.1694,23.8813
Lithuania,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.16,snow,36.69,25.63,25.57,0.77,1020.1,0.18,0,25.63,36.69,55.1694,23.8813
Lithuania,,1/5/2020,Possible light snow (< 1 in.) in the morning.,snow,0.36,0.0032,0.0155,0.49,snow,35.34,33.46,29.05,0.88,1024.1,0.96,0,26.14,35.34,55.1694,23.8813
Lithuania,,1/6/2020,Overcast throughout the day.,cloudy,0.39,0.0004,0.0012,0.18,rain,36.87,28.72,30.99,0.87,1023.6,0.88,0,31.57,36.87,55.1694,23.8813
Lithuania,,1/7/2020,Possible light rain in the afternoon and evening.,rain,0.43,0.0033,0.0228,0.63,rain,38.43,35.68,30.31,0.85,1019.5,0.81,0,29.46,39.67,55.1694,23.8813
Lithuania,,1/8/2020,Light rain overnight.,rain,0.46,0.0006,0.0079,0.44,rain,41.32,35.12,35.15,0.88,1017.5,0.77,0,35.12,41.82,55.1694,23.8813
Lithuania,,1/9/2020,Light rain throughout the day.,rain,0.5,0.0245,0.0797,0.99,rain,45.92,38.08,40.2,0.93,1010.4,1.0,0,36.04,45.92,55.1694,23.8813
Lithuania,,1/10/2020,Light rain in the morning.,rain,0.54,0.0049,0.0348,0.88,rain,39.59,33.44,34.45,0.86,1019.3,0.97,0,33.44,45.75,55.1694,23.8813
Lithuania,,1/11/2020,Light rain in the evening and overnight.,rain,0.57,0.0018,0.006,0.58,rain,39.12,36.38,32.02,0.83,1016.6,0.97,0,33.63,39.12,55.1694,23.8813
Lithuania,,1/12/2020,Light rain in the morning.,rain,0.61,0.0058,0.0253,0.86,rain,43.71,34.09,36.28,0.89,1014.3,0.99,0,36.38,43.71,55.1694,23.8813
Lithuania,,1/13/2020,Possible light rain overnight.,rain,0.65,0.0016,0.0229,0.51,rain,41.67,37.22,33.5,0.84,1016.9,0.83,0,34.09,41.67,55.1694,23.8813
Lithuania,,1/14/2020,Overcast throughout the day.,rain,0.69,0.0014,0.0237,0.49,rain,46.93,39.24,35.36,0.78,1014.5,0.99,0,37.22,46.93,55.1694,23.8813
Lithuania,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0005,0.13,rain,46.89,32.77,35.43,0.77,1021.2,0.79,0,39.24,46.89,55.1694,23.8813
Lithuania,,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.09,rain,41.91,31.25,31.69,0.83,1028.7,0.34,0,32.19,41.91,55.1694,23.8813
Lithuania,,1/17/2020,Overcast throughout the day.,cloudy,0.79,0.0001,0.0005,0.11,rain,38.15,31.72,29.79,0.82,1020.9,0.88,0,31.25,38.15,55.1694,23.8813
Lithuania,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0001,0.0002,0.12,rain,40.2,33.85,32.45,0.87,1028.1,0.81,0,31.69,40.2,55.1694,23.8813
Lithuania,,1/19/2020,Overcast throughout the day.,cloudy,0.86,0.0002,0.0004,0.2,rain,41.43,37.29,33.02,0.85,1036.7,0.93,0,33.85,41.43,55.1694,23.8813
Lithuania,,1/20/2020,Possible drizzle overnight.,rain,0.9,0.0013,0.003,0.31,rain,43.17,39.91,37.97,0.88,1024.0,1.0,0,37.55,43.84,55.1694,23.8813
Lithuania,,1/21/2020,Possible drizzle in the morning.,rain,0.93,0.0025,0.0126,0.7,rain,41.58,30.52,33.95,0.8,1014.9,0.7,0,35.1,42.59,55.1694,23.8813
Lithuania,,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.96,0.0002,0.0021,0.12,rain,39.73,34.3,28.47,0.78,1023.3,0.59,0,30.52,39.73,55.1694,23.8813
