Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Luxembourg,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0003,0.0008,0.12,rain,36.07,28.18,27.35,0.88,1033.5,0.11,1,25.62,36.07,49.8153,6.1296
Luxembourg,,1/1/2020,Overcast throughout the day.,rain,0.24,0.0011,0.002,0.27,rain,37.0,35.98,30.03,0.88,1028.6,0.79,1,28.18,38.03,49.8153,6.1296
Luxembourg,,1/2/2020,Drizzle in the afternoon and evening.,rain,0.27,0.0041,0.0151,0.69,rain,46.2,33.38,38.97,0.91,1023.2,1.0,1,37.28,46.2,49.8153,6.1296
Luxembourg,,1/3/2020,Mostly cloudy throughout the day.,rain,0.3,0.0004,0.0014,0.29,rain,43.36,32.86,33.66,0.85,1032.5,0.8,1,33.38,43.36,49.8153,6.1296
Luxembourg,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0006,0.16,rain,44.38,27.87,33.71,0.88,1036.1,0.52,1,32.7,44.38,49.8153,6.1296
Luxembourg,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0001,0.0003,0.08,rain,38.01,32.6,29.65,0.88,1029.3,0.42,1,28.11,38.01,49.8153,6.1296
Luxembourg,,1/6/2020,Overcast throughout the day.,rain,0.4,0.0012,0.0098,0.33,rain,43.56,37.56,35.18,0.9,1028.7,0.87,1,32.9,43.56,49.8153,6.1296
Luxembourg,,1/7/2020,Light rain in the morning and overnight.,rain,0.43,0.0035,0.0167,0.59,rain,47.33,46.34,40.94,0.9,1026.8,0.99,1,37.75,47.57,49.8153,6.1296
Luxembourg,,1/8/2020,Light rain throughout the day.,rain,0.47,0.0167,0.0464,0.99,rain,52.88,44.66,46.44,0.92,1018.3,0.97,1,46.66,52.88,49.8153,6.1296
Luxembourg,,1/9/2020,Drizzle in the morning and afternoon.,rain,0.5,0.0058,0.0154,0.92,rain,48.66,30.93,41.22,0.88,1020.4,0.78,1,37.95,48.66,49.8153,6.1296
