Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Malaysia,,12/31/2019,Heavy rain and humid throughout the day.,rain,0.2,0.0443,0.6471,0.93,rain,81.97,69.75,74.88,0.99,1011.5,0.97,6,70.36,81.97,2.5,112.5
Malaysia,,1/1/2020,Light rain and humid throughout the day.,rain,0.23,0.0243,0.4211,0.98,rain,82.64,71.42,74.67,0.98,1011.9,1.0,6,69.75,82.64,2.5,112.5
Malaysia,,1/2/2020,Light rain and humid throughout the day.,rain,0.26,0.0137,0.0244,0.9,rain,82.69,71.42,75.19,0.97,1010.9,0.98,6,71.42,82.69,2.5,112.5
Malaysia,,1/3/2020,Possible light rain starting in the afternoon.,rain,0.29,0.0103,0.0371,0.9,rain,80.4,71.75,74.59,1.0,1008.9,0.97,6,71.42,80.4,2.5,112.5
Malaysia,,1/4/2020,Rain starting in the afternoon.,rain,0.32,0.02,0.1251,0.84,rain,83.92,69.59,74.52,0.96,1009.0,1.0,6,70.68,83.92,2.5,112.5
Malaysia,,1/5/2020,Light rain and humid throughout the day.,rain,0.35,0.0269,0.0813,0.99,rain,84.79,70.3,74.93,0.97,1009.6,0.93,7,69.88,84.79,2.5,112.5
Malaysia,,1/6/2020,Light rain in the morning and afternoon.,rain,0.39,0.016,0.0789,0.94,rain,83.29,71.67,73.29,0.94,1009.9,0.96,6,70.3,83.29,2.5,112.5
Malaysia,,1/7/2020,Light rain in the afternoon and evening.,rain,0.42,0.0113,0.0741,0.81,rain,84.98,72.19,74.98,0.96,1009.1,0.95,7,71.67,84.98,2.5,112.5
Malaysia,,1/8/2020,Light rain until evening.,rain,0.45,0.0156,0.0972,0.86,rain,83.31,72.13,75.34,0.98,1008.4,0.91,8,72.01,83.31,2.5,112.5
Malaysia,,1/9/2020,Light rain and humid throughout the day.,rain,0.49,0.024,0.052000000000000005,0.96,rain,79.32,70.04,74.5,1.0,1008.0,0.97,6,72.07,79.32,2.5,112.5
