Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Maldives,,12/31/2019,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0003,0.0011,0.13,rain,85.23,80.3,74.24,0.75,1011.9,0.33,9,80.89,85.23,3.2028,73.2207
Maldives,,1/1/2020,Possible light rain overnight.,partly-cloudy-day,0.23,0.0006,0.017,0.2,rain,85.45,80.43,74.25,0.75,1012.8,0.32,11,80.3,85.45,3.2028,73.2207
Maldives,,1/2/2020,Possible light rain until evening.,rain,0.26,0.0231,0.0873,0.8,rain,84.95,80.49,76.22,0.81,1011.7,0.79,7,80.35,84.95,3.2028,73.2207
Maldives,,1/3/2020,Possible light rain until evening.,rain,0.29,0.0143,0.0536,0.62,rain,85.51,79.67,75.22,0.78,1011.0,0.86,6,80.49,85.51,3.2028,73.2207
Maldives,,1/4/2020,Possible light rain in the morning.,rain,0.33,0.0124,0.0407,0.57,rain,84.86,80.53,75.33,0.79,1010.2,0.22,11,79.66,84.86,3.2028,73.2207
Maldives,,1/5/2020,Humid and partly cloudy throughout the day.,rain,0.36,0.0058,0.025,0.51,rain,85.58,80.61,75.69,0.78,1011.0,0.49,9,80.53,85.58,3.2028,73.2207
Maldives,,1/6/2020,Humid and mostly cloudy throughout the day.,rain,0.39,0.0024,0.0078,0.47,rain,85.38,79.86,75.1,0.77,1011.1,0.72,8,80.61,85.38,3.2028,73.2207
Maldives,,1/7/2020,Humid and mostly cloudy throughout the day.,rain,0.42,0.0041,0.0105,0.55,rain,84.97,79.08,74.69,0.77,1011.1,0.72,8,79.86,84.97,3.2028,73.2207
Maldives,,1/8/2020,Humid and partly cloudy throughout the day.,rain,0.46,0.0015,0.011000000000000001,0.27,rain,84.75,79.79,74.48,0.77,1010.9,0.6,9,79.26,84.75,3.2028,73.2207
Maldives,,1/9/2020,Humid throughout the day.,partly-cloudy-day,0.49,0.0011,0.0042,0.24,rain,85.06,79.94,73.65,0.74,1010.8,0.43,10,79.79,85.06,3.2028,73.2207
Maldives,,1/10/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.53,0.0002,0.0007,0.09,rain,84.31,80.52,73.75,0.75,1010.5,0.4,7,79.94,84.31,3.2028,73.2207
Maldives,,1/11/2020,Possible light rain in the evening and overnight.,rain,0.57,0.0093,0.044000000000000004,0.5,rain,85.5,79.37,74.41,0.76,1010.7,0.66,7,80.06,85.5,3.2028,73.2207
Maldives,,1/12/2020,Possible light rain in the morning.,rain,0.61,0.0112,0.0329,0.83,rain,84.0,79.51,73.63,0.77,1010.8,0.92,6,79.02,84.0,3.2028,73.2207
Maldives,,1/13/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.001,0.0067,0.11,rain,83.98,80.4,71.51,0.71,1010.6,0.69,8,79.51,83.98,3.2028,73.2207
Maldives,,1/14/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.68,0.0002,0.0009,0.11,rain,84.41,79.36,72.56,0.72,1010.6,0.4,10,80.4,84.41,3.2028,73.2207
Maldives,,1/15/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.07,rain,84.38,79.68,72.09,0.72,1011.0,0.59,9,79.35,84.38,3.2028,73.2207
Maldives,,1/16/2020,Humid throughout the day.,partly-cloudy-day,0.75,0.0002,0.0006,0.08,rain,84.6,80.11,72.63,0.73,1010.6,0.35,10,79.68,84.6,3.2028,73.2207
Maldives,,1/17/2020,Humid and overcast throughout the day.,partly-cloudy-day,0.79,0.0009,0.0065,0.22,rain,85.1,80.0,74.85,0.77,1009.8,0.84,6,80.11,85.1,3.2028,73.2207
Maldives,,1/18/2020,Possible light rain overnight.,rain,0.82,0.0066,0.0235,0.67,rain,85.45,79.2,76.24,0.81,1010.2,0.73,9,80.0,85.45,3.2028,73.2207
Maldives,,1/19/2020,Light rain until evening.,rain,0.86,0.0156,0.0309,0.89,rain,85.1,80.84,75.93,0.8,1011.1,0.75,7,79.2,85.1,3.2028,73.2207
Maldives,,1/20/2020,Humid and partly cloudy throughout the day.,rain,0.89,0.0018,0.0094,0.34,rain,85.28,80.96,76.33,0.8,1011.4,0.48,11,80.84,85.28,3.2028,73.2207
Maldives,,1/21/2020,Possible light rain in the morning.,rain,0.93,0.0066,0.0217,0.52,rain,85.82,81.83,77.03,0.81,1010.8,0.72,9,80.96,85.82,3.2028,73.2207
