Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Malta,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.07,rain,58.11,53.75,39.92,0.56,1027.1,0.04,2,52.12,58.11,35.9375,14.3754
Malta,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,rain,59.35,53.39,41.65,0.58,1028.6,0.05,2,53.75,59.35,35.9375,14.3754
Malta,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.02,rain,59.58,55.68,42.63,0.6,1028.1,0.03,2,53.37,59.58,35.9375,14.3754
Malta,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0003,0.0012,0.12,rain,61.15,55.66,47.88,0.69,1024.8,0.57,2,55.88,61.15,35.9375,14.3754
Malta,,1/4/2020,Windy in the evening and overnight.,partly-cloudy-day,0.33,0.0005,0.0016,0.14,rain,61.01,50.94,45.28,0.63,1020.6,0.5,2,54.78,61.01,35.9375,14.3754
Malta,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,54.35,49.21,31.05,0.44,1022.8,0.19,2,49.85,54.35,35.9375,14.3754
Malta,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.05,rain,57.48,52.98,36.95,0.53,1025.3,0.14,2,49.21,57.48,35.9375,14.3754
Malta,,1/7/2020,Overcast throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.05,,59.12,52.85,43.08,0.63,1025.9,0.84,2,52.98,59.12,35.9375,14.3754
Malta,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0003,0.03,,58.76,52.14,41.49,0.59,1028.1,0.14,2,52.85,58.76,35.9375,14.3754
Malta,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.05,rain,58.02,52.2,40.47,0.58,1025.5,0.1,2,52.14,58.02,35.9375,14.3754
Malta,,1/10/2020,Possible drizzle overnight.,rain,0.54,0.0017,0.0062,0.47,rain,58.91,52.82,43.6,0.65,1022.9,0.63,2,52.2,58.91,35.9375,14.3754
Malta,,1/11/2020,Possible drizzle in the morning and overnight.,rain,0.57,0.0057,0.015,0.82,rain,58.92,53.25,46.27,0.71,1022.5,0.66,2,52.82,58.92,35.9375,14.3754
Malta,,1/12/2020,Light rain throughout the day.,rain,0.61,0.0084,0.0213,0.94,rain,59.01,53.58,47.1,0.72,1022.5,0.65,2,53.25,59.01,35.9375,14.3754
Malta,,1/13/2020,Possible drizzle in the morning.,rain,0.65,0.0017,0.0066,0.66,rain,59.37,53.35,48.03,0.74,1023.9,0.37,2,53.58,59.37,35.9375,14.3754
Malta,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0002,0.0013,0.15,rain,59.22,53.65,47.46,0.73,1026.3,0.24,2,53.35,59.22,35.9375,14.3754
