Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Martinique,,12/31/2019,Humid throughout the day.,clear-day,0.19,0.0003,0.0012,0.17,rain,84.87,74.2,71.98,0.78,1014.0,0.14,8,74.94,84.87,14.6415,-61.0242
Martinique,,1/1/2020,Humid throughout the day.,rain,0.22,0.0011,0.0068,0.26,rain,85.01,74.72,71.83,0.79,1014.4,0.21,7,74.2,85.01,14.6415,-61.0242
Martinique,,1/2/2020,Possible light rain in the morning.,rain,0.25,0.0044,0.0191,0.49,rain,84.46,74.06,72.41,0.8,1014.8,0.52,6,74.72,84.46,14.6415,-61.0242
Martinique,,1/3/2020,Possible drizzle in the morning.,rain,0.28,0.0052,0.0134,0.57,rain,83.43,74.47,72.35,0.82,1015.8,0.37,7,74.06,83.43,14.6415,-61.0242
Martinique,,1/4/2020,Possible drizzle overnight.,rain,0.31,0.004,0.0132,0.51,rain,84.59,73.44,71.5,0.79,1015.7,0.33,7,74.47,84.59,14.6415,-61.0242
Martinique,,1/5/2020,Possible light rain until evening.,rain,0.34,0.0119,0.0339,0.69,rain,84.01,74.04,73.1,0.86,1014.4,0.42,7,73.44,84.01,14.6415,-61.0242
Martinique,,1/6/2020,Humid throughout the day.,rain,0.37,0.0017,0.0111,0.41,rain,84.21,73.73,71.15,0.78,1014.2,0.31,7,74.04,84.21,14.6415,-61.0242
Martinique,,1/7/2020,Humid throughout the day.,clear-day,0.4,0.0009,0.0022,0.2,rain,84.39,74.35,70.97,0.78,1015.7,0.28,7,73.73,84.39,14.6415,-61.0242
Martinique,,1/8/2020,Humid throughout the day.,rain,0.44,0.0045,0.0421,0.33,rain,84.65,75.27,71.27,0.77,1017.1,0.32,7,74.35,84.65,14.6415,-61.0242
Martinique,,1/9/2020,Humid and partly cloudy throughout the day.,rain,0.47,0.0073,0.0258,0.52,rain,84.49,75.43,71.87,0.79,1017.2,0.42,7,75.27,84.49,14.6415,-61.0242
Martinique,,1/10/2020,Possible light rain in the morning.,rain,0.51,0.0087,0.0186,0.49,rain,82.79,74.69,71.24,0.78,1016.9,0.35,7,75.42,82.79,14.6415,-61.0242
Martinique,,1/11/2020,Possible light rain and humid throughout the day.,rain,0.55,0.0204,0.0339,0.65,rain,82.85,74.82,71.85,0.81,1016.9,0.49,7,74.69,82.85,14.6415,-61.0242
Martinique,,1/12/2020,Possible light rain in the morning and overnight.,rain,0.58,0.0186,0.026000000000000002,0.79,rain,82.66,73.54,70.87,0.79,1017.3,0.42,7,74.82,82.66,14.6415,-61.0242
Martinique,,1/13/2020,Light rain and humid throughout the day.,rain,0.62,0.0228,0.0358,0.9,rain,82.1,73.64,70.44,0.8,1016.4,0.53,6,73.54,82.1,14.6415,-61.0242
Martinique,,1/14/2020,Light rain in the morning.,rain,0.66,0.019,0.0408,0.9,rain,83.41,74.88,71.29,0.8,1015.1,0.45,7,73.64,83.41,14.6415,-61.0242
Martinique,,1/15/2020,Possible drizzle in the morning.,rain,0.69,0.0104,0.0211,0.65,rain,83.68,74.56,71.84,0.81,1014.8,0.5,7,74.88,83.68,14.6415,-61.0242
Martinique,,1/16/2020,Humid throughout the day.,rain,0.73,0.0031,0.017,0.4,rain,84.03,73.58,70.74,0.78,1016.2,0.34,7,74.56,84.03,14.6415,-61.0242
Martinique,,1/17/2020,Humid throughout the day.,rain,0.77,0.0025,0.016,0.35,rain,84.24,73.37,71.68,0.8,1016.7,0.28,8,73.58,84.24,14.6415,-61.0242
Martinique,,1/18/2020,Humid and partly cloudy throughout the day.,rain,0.8,0.0032,0.006999999999999999,0.48,rain,83.5,74.38,72.39,0.84,1016.7,0.41,7,73.37,83.5,14.6415,-61.0242
Martinique,,1/19/2020,Humid throughout the day.,clear-day,0.84,0.0002,0.0014,0.12,rain,83.81,73.82,69.64,0.75,1016.6,0.29,8,74.38,83.81,14.6415,-61.0242
Martinique,,1/20/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0006,0.0026,0.16,rain,84.24,73.69,70.41,0.77,1016.1,0.34,8,73.82,84.24,14.6415,-61.0242
Martinique,,1/21/2020,Possible drizzle overnight.,clear-day,0.91,0.0007,0.0025,0.24,rain,84.4,73.45,71.0,0.79,1014.7,0.3,8,73.69,84.4,14.6415,-61.0242
Martinique,,1/22/2020,Light rain in the morning.,rain,0.94,0.0087,0.0243,0.76,rain,82.6,74.68,72.83,0.87,1013.2,0.66,6,73.45,82.6,14.6415,-61.0242
Martinique,,1/23/2020,Humid and partly cloudy throughout the day.,rain,0.97,0.0014,0.0044,0.36,rain,84.32,73.96,72.31,0.81,1012.6,0.38,7,74.68,84.32,14.6415,-61.0242
Martinique,,1/24/2020,Humid throughout the day.,clear-day,0.0,0.0002,0.0005,0.19,rain,85.22,73.55,72.22,0.8,1013.9,0.21,9,73.96,85.22,14.6415,-61.0242
Martinique,,1/25/2020,Humid and partly cloudy throughout the day.,rain,0.04,0.0007,0.0024,0.26,rain,84.54,72.77,72.3,0.82,1014.9,0.28,7,73.55,84.54,14.6415,-61.0242
Martinique,,1/26/2020,Partly cloudy throughout the day.,clear-day,0.07,0.0002,0.0005,0.15,rain,83.74,72.77,69.16,0.76,1015.6,0.28,8,72.77,83.74,14.6415,-61.0242
Martinique,,1/27/2020,Humid throughout the day.,clear-day,0.1,0.0003,0.0016,0.14,rain,84.47,73.49,70.14,0.77,1015.9,0.17,8,72.77,84.47,14.6415,-61.0242
Martinique,,1/28/2020,Humid throughout the day.,clear-day,0.13,0.0002,0.0005,0.12,rain,85.15,73.68,70.22,0.76,1015.3,0.1,9,73.49,85.15,14.6415,-61.0242
