Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Mauritania,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.06,rain,61.81,35.54,23.15,0.36,1024.6,0.09,7,41.83,61.81,21.0079,10.9408
Mauritania,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,rain,64.94,40.25,25.51,0.42,1026.5,0.0,6,35.54,64.94,21.0079,10.9408
Mauritania,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0004,0.02,rain,68.66,40.69,29.75,0.44,1026.8,0.07,6,40.25,68.66,21.0079,10.9408
Mauritania,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.07,rain,71.03,40.51,29.87,0.44,1025.3,0.0,7,40.69,71.03,21.0079,10.9408
Mauritania,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.03,rain,70.12,40.5,28.45,0.42,1022.7,0.08,6,40.51,70.12,21.0079,10.9408
Mauritania,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,70.34,40.6,24.11,0.36,1020.8,0.06,6,40.5,70.34,21.0079,10.9408
Mauritania,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.02,rain,69.47,44.3,22.71,0.31,1022.2,0.09,6,40.6,69.47,21.0079,10.9408
Mauritania,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.03,,70.0,46.05,22.77,0.3,1022.7,0.45,6,44.3,70.0,21.0079,10.9408
Mauritania,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,73.94,46.98,20.47,0.24,1021.2,0.27,6,46.05,73.94,21.0079,10.9408
Mauritania,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0003,0.07,rain,78.27,54.0,24.46,0.25,1019.0,0.46,7,46.67,78.27,21.0079,10.9408
Mauritania,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.03,rain,78.81,56.9,34.88,0.35,1019.4,0.82,5,54.0,78.81,21.0079,10.9408
Mauritania,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.07,rain,82.5,54.75,31.99,0.29,1016.6,0.85,5,56.9,82.5,21.0079,10.9408
Mauritania,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,rain,77.68,47.49,31.95,0.29,1013.9,0.54,5,57.29,77.68,21.0079,10.9408
