Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Mauritius,,12/31/2019,Light rain in the morning.,rain,0.21,0.0096,0.027000000000000003,0.77,rain,86.66,75.32,78.35,0.91,1006.3,0.51,10,76.95,86.66,-20.2,57.5
Mauritius,,1/1/2020,Humid and mostly cloudy throughout the day.,rain,0.24,0.003,0.0066,0.4,rain,86.51,75.52,76.13,0.88,1011.5,0.71,7,75.32,86.51,-20.2,57.5
Mauritius,,1/2/2020,Rain in the morning and overnight.,rain,0.27,0.0041,0.0155,0.62,rain,85.14,74.29,75.63,0.87,1014.6,1.0,6,75.52,85.14,-20.2,57.5
Mauritius,,1/3/2020,"Rain until afternoon, starting again overnight.",rain,0.3,0.0278,0.1223,0.91,rain,83.36,74.77,75.59,0.93,1013.3,0.98,6,74.29,83.36,-20.2,57.5
Mauritius,,1/4/2020,Rain and humid throughout the day.,rain,0.33,0.0244,0.1198,0.96,rain,82.56,73.78,75.5,0.94,1010.6,1.0,6,74.27,82.56,-20.2,57.5
Mauritius,,1/5/2020,"Light rain until afternoon, starting again overnight.",rain,0.36,0.0287,0.1911,0.96,rain,84.58,76.29,76.61,0.94,1010.9,0.96,6,73.78,84.58,-20.2,57.5
Mauritius,,1/6/2020,"Light rain until afternoon, starting again overnight.",rain,0.39,0.011000000000000001,0.0393,0.89,rain,85.41,76.22,76.82,0.89,1012.2,0.82,9,76.29,85.41,-20.2,57.5
Mauritius,,1/7/2020,Possible light rain in the morning and afternoon.,rain,0.43,0.0211,0.0584,0.82,rain,86.59,74.82,77.61,0.92,1012.0,0.81,7,76.22,86.59,-20.2,57.5
Mauritius,,1/8/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.46,0.0005,0.003,0.15,rain,86.39,71.94,72.78,0.81,1012.0,0.8,7,74.5,86.39,-20.2,57.5
Mauritius,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0007,0.0029,0.11,rain,85.6,71.31,69.45,0.75,1012.2,0.41,10,71.94,85.6,-20.2,57.5
Mauritius,,1/10/2020,Humid throughout the day.,clear-day,0.53,0.0013,0.0065,0.21,rain,86.32,76.3,71.82,0.79,1011.8,0.18,13,71.22,86.32,-20.2,57.5
Mauritius,,1/11/2020,Humid throughout the day.,rain,0.57,0.0005,0.0017,0.29,rain,87.6,75.16,72.71,0.78,1012.1,0.07,13,76.08,87.6,-20.2,57.5
Mauritius,,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.61,0.0036,0.0076,0.52,rain,86.44,75.35,75.26,0.86,1012.4,0.43,8,75.16,86.44,-20.2,57.5
Mauritius,,1/13/2020,Possible light rain in the afternoon and evening.,rain,0.64,0.0108,0.0424,0.69,rain,88.53,76.7,76.98,0.86,1013.3,0.57,8,75.35,88.53,-20.2,57.5
Mauritius,,1/14/2020,Humid and partly cloudy throughout the day.,rain,0.68,0.0012,0.0042,0.42,rain,88.84,76.98,76.55,0.84,1014.4,0.54,9,76.7,88.84,-20.2,57.5
Mauritius,,1/15/2020,Humid and mostly cloudy throughout the day.,rain,0.72,0.0028,0.0118,0.6,rain,87.27,77.71,76.7,0.86,1014.0,0.6,9,76.98,87.27,-20.2,57.5
Mauritius,,1/16/2020,Humid and mostly cloudy throughout the day.,rain,0.76,0.0018,0.0103,0.36,rain,87.34,76.35,75.39,0.82,1012.9,0.77,7,77.71,87.34,-20.2,57.5
Mauritius,,1/17/2020,Humid and mostly cloudy throughout the day.,rain,0.79,0.0006,0.0029,0.28,rain,88.76,77.11,75.89,0.82,1011.6,0.85,9,76.35,88.76,-20.2,57.5
Mauritius,,1/18/2020,Possible drizzle in the afternoon.,rain,0.83,0.0024,0.0102,0.63,rain,88.51,77.24,76.74,0.85,1010.3,0.94,6,77.11,88.51,-20.2,57.5
Mauritius,,1/19/2020,Possible drizzle in the morning.,rain,0.86,0.0025,0.0102,0.62,rain,88.58,78.53,77.01,0.84,1008.2,0.91,8,77.24,88.58,-20.2,57.5
Mauritius,,1/20/2020,Light rain starting in the afternoon.,rain,0.89,0.0129,0.069,0.82,rain,85.91,76.25,77.53,0.9,1006.0,1.0,6,77.62,85.91,-20.2,57.5
Mauritius,,1/21/2020,Light rain and humid throughout the day.,rain,0.93,0.0405,0.0921,0.96,rain,81.08,77.27,77.48,0.97,1004.9,1.0,6,76.25,81.08,-20.2,57.5
Mauritius,,1/22/2020,Light rain in the evening and overnight.,rain,0.96,0.0072,0.040999999999999995,0.77,rain,86.5,77.28,78.97,0.93,1005.4,0.92,7,77.27,86.5,-20.2,57.5
