Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Mayotte,,12/31/2019,"Light rain until afternoon, starting again overnight.",rain,0.21,0.0204,0.0502,0.95,rain,83.84,79.64,74.93,0.81,1009.5,0.99,6,79.29,83.84,-12.8275,45.1662
Mayotte,,1/1/2020,Possible drizzle in the morning.,rain,0.24,0.0044,0.0135,0.67,rain,84.31,79.75,74.8,0.79,1010.5,0.99,6,79.64,84.31,-12.8275,45.1662
Mayotte,,1/2/2020,Humid and overcast throughout the day.,rain,0.27,0.003,0.01,0.42,rain,84.0,78.48,73.88,0.78,1012.8,0.96,7,79.63,84.0,-12.8275,45.1662
Mayotte,,1/3/2020,Humid and mostly cloudy throughout the day.,rain,0.3,0.0022,0.0174,0.32,rain,84.45,78.05,73.29,0.77,1011.7,0.9,8,78.5,84.45,-12.8275,45.1662
Mayotte,,1/4/2020,Possible light rain in the afternoon.,rain,0.33,0.0061,0.032,0.52,rain,83.02,78.03,72.32,0.77,1009.8,0.94,7,78.05,83.02,-12.8275,45.1662
Mayotte,,1/5/2020,Humid and mostly cloudy throughout the day.,rain,0.36,0.0071,0.0259,0.48,rain,84.67,78.04,72.66,0.76,1009.9,0.81,10,78.44,84.67,-12.8275,45.1662
Mayotte,,1/6/2020,Humid and mostly cloudy throughout the day.,rain,0.39,0.0037,0.0128,0.59,rain,83.13,77.49,73.34,0.79,1011.2,0.7,8,78.04,83.13,-12.8275,45.1662
Mayotte,,1/7/2020,Possible light rain in the morning.,rain,0.43,0.0088,0.0376,0.7,rain,83.17,77.51,73.37,0.8,1011.5,0.69,9,77.49,83.17,-12.8275,45.1662
Mayotte,,1/8/2020,Humid and partly cloudy throughout the day.,rain,0.46,0.0033,0.0155,0.41,rain,83.39,78.3,72.28,0.76,1010.5,0.56,9,77.51,83.39,-12.8275,45.1662
Mayotte,,1/9/2020,Possible light rain in the morning and afternoon.,rain,0.5,0.0136,0.0653,0.78,rain,83.06,78.87,71.89,0.74,1010.5,0.86,6,78.3,83.06,-12.8275,45.1662
Mayotte,,1/10/2020,Possible drizzle in the evening.,rain,0.53,0.0034,0.0122,0.67,rain,83.76,77.11,71.39,0.73,1010.8,0.6,8,78.87,83.76,-12.8275,45.1662
Mayotte,,1/11/2020,Possible drizzle in the morning and afternoon.,rain,0.57,0.0055,0.0167,0.85,rain,83.3,76.6,71.08,0.74,1010.8,0.75,9,77.11,83.3,-12.8275,45.1662
Mayotte,,1/12/2020,Light rain and humid throughout the day.,rain,0.61,0.0153,0.0455,0.93,rain,82.42,77.89,73.01,0.81,1010.2,0.81,8,76.57,82.42,-12.8275,45.1662
Mayotte,,1/13/2020,Light rain until evening.,rain,0.65,0.0163,0.0478,0.96,rain,82.37,77.9,73.52,0.81,1010.3,0.72,7,77.89,82.37,-12.8275,45.1662
Mayotte,,1/14/2020,"Possible drizzle until afternoon, starting again overnight.",rain,0.68,0.0042,0.0148,0.78,rain,83.53,78.16,72.77,0.78,1011.1,0.55,10,77.9,83.53,-12.8275,45.1662
Mayotte,,1/15/2020,Light rain and humid throughout the day.,rain,0.72,0.0047,0.0299,0.92,rain,82.52,76.7,72.94,0.79,1010.6,0.68,8,78.16,82.52,-12.8275,45.1662
Mayotte,,1/16/2020,Light rain and humid throughout the day.,rain,0.76,0.0238,0.0472,0.97,rain,81.96,78.71,74.36,0.84,1009.3,0.84,8,76.7,81.96,-12.8275,45.1662
Mayotte,,1/17/2020,Light rain until evening.,rain,0.79,0.0195,0.0505,0.94,rain,83.24,79.89,75.56,0.84,1008.4,0.96,7,78.85,83.24,-12.8275,45.1662
Mayotte,,1/18/2020,Light rain starting in the afternoon.,rain,0.83,0.0149,0.0512,0.84,rain,83.76,79.43,74.96,0.82,1008.2,0.98,6,79.87,83.76,-12.8275,45.1662
Mayotte,,1/19/2020,Light rain in the morning and afternoon.,rain,0.86,0.0162,0.033,0.91,rain,83.78,80.0,75.93,0.83,1007.1,0.97,6,79.43,83.78,-12.8275,45.1662
Mayotte,,1/20/2020,Possible drizzle in the evening.,rain,0.9,0.0104,0.0296,0.61,rain,85.06,80.11,75.71,0.81,1006.0,0.97,6,80.0,85.06,-12.8275,45.1662
Mayotte,,1/21/2020,Rain throughout the day.,rain,0.93,0.0599,0.2068,0.92,rain,82.71,77.41,75.4,0.85,1005.8,0.99,6,77.38,82.71,-12.8275,45.1662
Mayotte,,1/22/2020,Rain and humid throughout the day.,rain,0.96,0.0407,0.1127,0.96,rain,81.36,76.85,74.08,0.85,1008.1,0.99,6,77.29,81.36,-12.8275,45.1662
Mayotte,,1/23/2020,Light rain and humid throughout the day.,rain,1.0,0.019,0.0429,0.9,rain,81.51,76.81,74.39,0.87,1010.5,0.84,9,76.81,81.51,-12.8275,45.1662
Mayotte,,1/24/2020,Light rain and humid throughout the day.,rain,0.03,0.0098,0.0409,0.94,rain,81.63,75.42,73.6,0.84,1011.7,0.79,9,75.42,81.63,-12.8275,45.1662
Mayotte,,1/25/2020,Light rain in the morning and afternoon.,rain,0.06,0.0149,0.0295,0.93,rain,82.74,76.81,72.06,0.79,1013.0,0.96,6,75.76,82.74,-12.8275,45.1662
Mayotte,,1/26/2020,Humid and mostly cloudy throughout the day.,rain,0.09,0.0003,0.002,0.29,rain,83.44,78.06,71.63,0.75,1012.0,0.61,8,76.81,83.44,-12.8275,45.1662
Mayotte,,1/27/2020,Possible light rain overnight.,rain,0.12,0.0023,0.0124,0.49,rain,83.78,78.99,73.45,0.79,1010.9,0.62,6,78.06,83.78,-12.8275,45.1662
Mayotte,,1/28/2020,Possible light rain in the afternoon and evening.,rain,0.15,0.0117,0.0617,0.78,rain,84.31,78.88,74.29,0.8,1011.4,0.79,8,78.99,84.31,-12.8275,45.1662
Mayotte,,1/29/2020,"Light rain until afternoon, starting again overnight.",rain,0.18,0.0177,0.0751,0.87,rain,83.78,77.66,74.52,0.81,1011.4,0.87,7,78.88,83.78,-12.8275,45.1662
Mayotte,,1/30/2020,Rain in the morning and afternoon.,rain,0.21,0.0349,0.1296,0.93,rain,82.6,77.99,74.2,0.83,1010.6,0.94,6,77.66,82.6,-12.8275,45.1662
Mayotte,,1/31/2020,Humid and mostly cloudy throughout the day.,rain,0.24,0.0048,0.0178,0.43,rain,82.69,77.14,72.74,0.78,1011.3,0.72,9,77.99,82.69,-12.8275,45.1662
Mayotte,,2/1/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0002,0.0006,0.18,rain,83.58,78.26,72.66,0.77,1012.4,0.65,12,77.14,83.58,-12.8275,45.1662
Mayotte,,2/2/2020,Possible light rain in the morning and overnight.,rain,0.3,0.008,0.0491,0.67,rain,83.45,77.14,73.38,0.8,1011.7,0.91,6,77.92,83.45,-12.8275,45.1662
