Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Mexico,,12/31/2019,Possible light rain overnight.,partly-cloudy-day,0.19,0.0004,0.0055,0.21,rain,67.94,47.64,39.6,0.62,1016.8,0.58,5,40.21,67.94,23.6345,-102.5528
Mexico,,1/1/2020,Possible light rain in the morning and overnight.,rain,0.22,0.0089,0.0407,0.87,rain,66.09,45.67,46.19,0.72,1012.0,0.92,5,47.64,66.09,23.6345,-102.5528
Mexico,,1/2/2020,Possible light rain in the morning.,rain,0.25,0.0089,0.0437,0.6,rain,58.99,32.59,37.65,0.63,1009.7,0.46,6,42.71,58.99,23.6345,-102.5528
Mexico,,1/3/2020,Clear throughout the day.,clear-day,0.28,0.0001,0.0003,0.05,rain,60.07,27.6,28.54,0.57,1019.4,0.0,6,32.59,60.07,23.6345,-102.5528
Mexico,,1/4/2020,Clear throughout the day.,clear-day,0.31,0.0002,0.0004,0.08,rain,57.99,29.18,20.21,0.48,1030.3,0.03,6,27.6,57.99,23.6345,-102.5528
Mexico,,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.07,rain,65.04,31.8,19.57,0.39,1028.3,0.06,7,29.18,65.04,23.6345,-102.5528
Mexico,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0001,0.0002,0.04,rain,71.56,39.92,17.2,0.33,1022.8,0.34,6,31.8,71.56,23.6345,-102.5528
Mexico,,1/7/2020,Clear throughout the day.,partly-cloudy-day,0.41,0.0008,0.0046,0.07,rain,67.25,33.59,25.63,0.38,1023.7,0.36,7,39.92,67.25,23.6345,-102.5528
Mexico,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0002,0.05,rain,74.48,41.7,29.98,0.49,1021.3,0.34,6,34.62,74.48,23.6345,-102.5528
Mexico,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.48,0.0001,0.0002,0.07,rain,74.63,43.99,35.15,0.48,1017.6,0.62,5,41.68,74.63,23.6345,-102.5528
Mexico,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.0001,0.0002,0.06,rain,73.32,33.26,31.5,0.43,1015.3,0.56,5,45.17,73.32,23.6345,-102.5528
Mexico,,1/11/2020,Clear throughout the day.,clear-day,0.55,0.0001,0.0003,0.04,rain,68.6,34.88,15.58,0.33,1020.4,0.11,7,33.11,68.6,23.6345,-102.5528
Mexico,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.59,0.0001,0.0003,0.07,rain,75.67,43.82,23.94,0.39,1019.4,0.58,6,34.88,75.67,23.6345,-102.5528
Mexico,,1/13/2020,Overcast throughout the day.,partly-cloudy-day,0.62,0.0001,0.0002,0.04,rain,76.22,42.22,31.63,0.41,1019.5,0.75,5,43.7,76.22,23.6345,-102.5528
Mexico,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.66,0.0,0.0002,0.02,,75.88,43.13,38.22,0.53,1019.3,0.57,6,42.22,75.88,23.6345,-102.5528
Mexico,,1/15/2020,Overcast throughout the day.,cloudy,0.7,0.0001,0.0002,0.06,rain,75.77,44.61,37.47,0.51,1017.8,0.92,5,43.13,75.77,23.6345,-102.5528
Mexico,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.73,0.0003,0.001,0.09,rain,72.21,48.11,42.39,0.62,1018.7,0.55,7,44.61,72.21,23.6345,-102.5528
Mexico,,1/17/2020,Overcast throughout the day.,rain,0.77,0.0082,0.0348,0.34,rain,72.34,48.14,47.64,0.73,1018.8,0.89,5,48.11,72.34,23.6345,-102.5528
