Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Monaco,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.1,rain,56.85,48.91,36.57,0.55,1030.6,0.11,1,49.71,56.85,43.7333,7.4167
Monaco,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.1,rain,56.5,48.17,40.61,0.66,1031.8,0.51,1,48.91,56.5,43.7333,7.4167
Monaco,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0003,0.02,rain,56.57,49.07,41.06,0.68,1027.5,1.0,1,48.17,56.57,43.7333,7.4167
Monaco,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0001,0.0003,0.11,rain,59.12,51.79,38.35,0.57,1024.0,0.17,1,49.07,59.12,43.7333,7.4167
Monaco,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.07,rain,59.98,48.34,38.11,0.55,1026.0,0.01,1,50.79,59.98,43.7333,7.4167
Monaco,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0001,0.0004,0.05,rain,55.71,46.56,40.1,0.64,1030.0,0.18,1,49.17,55.71,43.7333,7.4167
Monaco,,1/6/2020,Overcast throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.12,rain,55.97,47.88,41.45,0.72,1025.6,0.72,1,46.85,55.97,43.7333,7.4167
Monaco,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.05,,59.47,47.79,33.79,0.49,1029.3,0.07,1,47.64,59.47,43.7333,7.4167
Monaco,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.02,,56.93,45.62,33.84,0.52,1027.8,0.12,1,47.76,56.93,43.7333,7.4167
Monaco,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.13,rain,56.89,49.7,34.79,0.55,1024.1,0.38,1,45.73,56.89,43.7333,7.4167
Monaco,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.07,rain,59.9,49.7,38.68,0.58,1027.1,0.05,1,49.7,59.9,43.7333,7.4167
Monaco,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.08,rain,57.58,46.49,33.22,0.48,1027.6,0.03,2,49.7,57.58,43.7333,7.4167
Monaco,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0003,0.0014,0.12,rain,55.07,46.22,39.74,0.67,1025.2,0.71,1,46.49,55.07,43.7333,7.4167
Monaco,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0002,0.0011,0.11,rain,56.85,47.87,39.15,0.66,1025.0,0.73,1,46.22,56.85,43.7333,7.4167
Monaco,,1/14/2020,Overcast throughout the day.,rain,0.69,0.0029,0.0095,0.41,rain,57.38,47.66,43.37,0.75,1027.0,0.87,1,47.87,57.38,43.7333,7.4167
Monaco,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0007,0.0016,0.18,rain,56.78,47.66,42.65,0.73,1028.8,0.7,1,47.66,56.78,43.7333,7.4167
Monaco,,1/16/2020,Light rain starting in the afternoon.,rain,0.76,0.0137,0.0647,0.91,rain,55.15,47.21,42.48,0.73,1025.2,0.49,1,47.66,55.15,43.7333,7.4167
Monaco,,1/17/2020,Partly cloudy throughout the day.,rain,0.8,0.0014,0.0184,0.65,rain,57.03,44.9,41.28,0.71,1021.9,0.4,1,47.04,57.03,43.7333,7.4167
Monaco,,1/18/2020,Overcast throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.02,,56.33,46.73,30.58,0.49,1024.3,0.85,1,44.9,56.33,43.7333,7.4167
Monaco,,1/19/2020,Overcast throughout the day.,cloudy,0.87,0.0,0.0002,0.03,,54.66,48.24,24.26,0.37,1033.8,0.95,1,46.73,54.66,43.7333,7.4167
Monaco,,1/20/2020,Overcast throughout the day.,cloudy,0.9,0.0001,0.0006,0.15,rain,59.26,50.26,24.69,0.34,1036.1,0.96,1,48.24,59.26,43.7333,7.4167
Monaco,,1/21/2020,Overcast throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.03,,61.8,50.52,34.27,0.47,1031.2,0.77,1,50.26,61.8,43.7333,7.4167
Monaco,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.08,rain,59.46,50.03,42.12,0.64,1027.6,0.46,1,50.52,59.46,43.7333,7.4167
Monaco,,1/23/2020,Light rain starting in the afternoon.,rain,1.0,0.0089,0.0466,0.85,rain,57.56,48.66,38.98,0.6,1024.4,0.86,1,49.45,57.56,43.7333,7.4167
Monaco,,1/24/2020,Partly cloudy throughout the day.,rain,0.03,0.0026,0.0327,0.59,rain,57.0,48.19,42.76,0.72,1022.1,0.7,2,48.66,57.0,43.7333,7.4167
Monaco,,1/25/2020,Mostly cloudy throughout the day.,rain,0.06,0.0005,0.0033,0.32,rain,56.92,48.27,44.38,0.77,1020.8,0.9,1,48.19,56.92,43.7333,7.4167
Monaco,,1/26/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0001,0.0004,0.18,rain,56.03,47.93,41.97,0.7,1018.7,0.61,2,48.27,56.03,43.7333,7.4167
Monaco,,1/27/2020,Windy in the afternoon and evening.,wind,0.12,0.0002,0.0026,0.19,rain,61.59,51.59,39.29,0.59,1011.0,0.77,1,47.93,61.59,43.7333,7.4167
Monaco,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.08,rain,62.17,50.78,35.29,0.47,1012.0,0.66,2,51.59,62.17,43.7333,7.4167
Monaco,,1/29/2020,Overcast throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.06,rain,57.21,49.76,37.25,0.56,1018.5,0.74,2,50.45,57.21,43.7333,7.4167
Monaco,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.07,rain,58.89,49.74,44.3,0.72,1018.6,0.12,2,49.76,58.89,43.7333,7.4167
Monaco,,1/31/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.12,rain,60.75,52.32,46.42,0.75,1018.3,0.36,2,49.74,60.75,43.7333,7.4167
Monaco,,2/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0,0.0002,0.08,,58.42,51.54,44.69,0.69,1019.0,0.44,2,52.32,58.42,43.7333,7.4167
Monaco,,2/2/2020,Overcast throughout the day.,partly-cloudy-day,0.31,0.0001,0.0003,0.1,rain,62.62,54.22,48.33,0.75,1018.3,0.81,2,51.54,62.62,43.7333,7.4167
Monaco,,2/3/2020,Windy in the morning.,wind,0.34,0.0005,0.0031,0.1,rain,65.21,47.71,33.21,0.4,1011.8,0.15,2,50.24,65.21,43.7333,7.4167
Monaco,,2/4/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0003,0.06,rain,60.26,47.98,21.36,0.29,1021.7,0.0,2,47.71,60.26,43.7333,7.4167
Monaco,,2/5/2020,Overcast throughout the day.,partly-cloudy-day,0.41,0.0,0.0003,0.02,,56.1,44.69,28.31,0.42,1028.4,0.67,2,47.98,56.1,43.7333,7.4167
Monaco,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.04,rain,56.87,47.43,25.55,0.4,1026.5,0.08,2,44.69,56.87,43.7333,7.4167
