Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Mongolia,,12/31/2019,Clear throughout the day.,clear-day,0.2,0.0001,0.0002,0.04,snow,22.08,9.19,-5.01,0.46,1032.4,0.07,1,5.94,22.08,46.8625,103.8467
Mongolia,,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.05,snow,26.36,8.65,-1.5,0.47,1034.4,0.23,1,9.19,26.36,46.8625,103.8467
Mongolia,,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,28.47,11.66,-3.76,0.41,1032.8,0.0,1,8.65,28.47,46.8625,103.8467
Mongolia,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.29,0.0002,0.0009,0.04,snow,29.46,9.75,3.29,0.52,1028.7,0.37,1,11.66,29.46,46.8625,103.8467
Mongolia,,1/4/2020,Clear throughout the day.,partly-cloudy-day,0.32,0.0002,0.0013,0.1,snow,19.05,4.19,3.5,0.67,1029.6,0.38,1,6.18,19.05,46.8625,103.8467
Mongolia,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.35,0.0,0.0002,0.01,,21.32,-0.52,-0.95,0.61,1036.0,0.48,1,4.19,21.32,46.8625,103.8467
Mongolia,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.07,snow,18.09,-3.28,-4.35,0.62,1035.6,0.09,1,-0.52,18.09,46.8625,103.8467
Mongolia,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.42,0.0,0.0002,0.04,,14.75,-3.0,-5.0,0.68,1031.7,0.53,1,-3.26,14.75,46.8625,103.8467
Mongolia,,1/8/2020,Clear throughout the day.,clear-day,0.45,0.0,0.0001,0.02,,12.94,-4.66,-9.7,0.55,1033.6,0.01,1,-3.0,12.94,46.8625,103.8467
Mongolia,,1/9/2020,Foggy overnight.,partly-cloudy-day,0.49,0.0002,0.0036,0.06,snow,16.4,0.76,-8.2,0.56,1037.2,0.42,1,-4.66,16.4,46.8625,103.8467
Mongolia,,1/10/2020,Foggy in the morning and afternoon.,cloudy,0.53,0.0014,0.0056,0.14,snow,6.85,-7.85,-3.51,0.74,1035.7,0.94,1,-3.13,6.85,46.8625,103.8467
Mongolia,,1/11/2020,Clear throughout the day.,clear-day,0.56,0.0001,0.0003,0.03,snow,10.95,-4.33,-9.96,0.64,1035.7,0.03,1,-7.85,10.95,46.8625,103.8467
Mongolia,,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0001,0.0002,0.02,snow,18.93,-2.65,-9.8,0.56,1028.9,0.21,1,-6.53,18.93,46.8625,103.8467
Mongolia,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0,0.0,,20.95,0.08,-10.54,0.47,1027.8,0.07,1,-2.65,20.95,46.8625,103.8467
Mongolia,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.02,,21.72,1.67,-6.1,0.53,1033.0,0.21,1,-0.04,21.72,46.8625,103.8467
Mongolia,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.71,0.0001,0.0002,0.03,snow,19.75,3.93,-2.95,0.59,1031.3,0.36,1,1.67,19.75,46.8625,103.8467
Mongolia,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.75,0.0001,0.0004,0.04,snow,19.57,0.71,-3.06,0.58,1028.0,0.68,1,3.93,19.57,46.8625,103.8467
Mongolia,,1/17/2020,Windy overnight.,clear-day,0.79,0.0001,0.0002,0.04,snow,20.6,5.36,-9.5,0.43,1024.0,0.23,1,0.71,20.6,46.8625,103.8467
Mongolia,,1/18/2020,Windy in the morning.,wind,0.82,0.0,0.0001,0.01,,17.07,3.82,-5.73,0.5,1025.4,0.16,1,4.66,17.07,46.8625,103.8467
Mongolia,,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.86,0.0,0.0,0.0,,27.37,2.83,-1.07,0.53,1016.2,0.56,1,3.82,27.37,46.8625,103.8467
Mongolia,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.89,0.0001,0.0002,0.06,snow,20.64,2.18,-1.94,0.6,1021.8,0.47,1,2.83,20.64,46.8625,103.8467
Mongolia,,1/21/2020,Clear throughout the day.,clear-day,0.92,0.0,0.0001,0.01,,21.58,-1.52,-4.12,0.56,1023.2,0.29,1,2.18,21.58,46.8625,103.8467
Mongolia,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.02,snow,22.21,1.84,-5.31,0.55,1033.3,0.12,1,-1.52,22.21,46.8625,103.8467
Mongolia,,1/23/2020,Clear throughout the day.,clear-day,0.99,0.0,0.0002,0.02,,28.87,6.42,-5.27,0.47,1032.5,0.17,1,1.84,28.87,46.8625,103.8467
Mongolia,,1/24/2020,Clear throughout the day.,clear-day,0.02,0.0,0.0002,0.01,,30.0,10.21,-2.25,0.46,1028.3,0.0,1,6.42,30.0,46.8625,103.8467
Mongolia,,1/25/2020,Clear throughout the day.,clear-day,0.05,0.0001,0.0003,0.01,snow,34.58,8.6,-2.28,0.38,1025.6,0.0,1,10.21,34.58,46.8625,103.8467
Mongolia,,1/26/2020,Clear throughout the day.,clear-day,0.08,0.0001,0.0004,0.01,snow,28.33,2.21,-1.57,0.47,1027.1,0.0,1,7.56,28.33,46.8625,103.8467
Mongolia,,1/27/2020,Clear throughout the day.,clear-day,0.11,0.0,0.0003,0.01,,22.26,3.13,-1.8,0.58,1030.8,0.11,1,2.21,22.26,46.8625,103.8467
Mongolia,,1/28/2020,Clear throughout the day.,clear-day,0.14,0.0002,0.0003,0.04,snow,28.33,4.87,0.55,0.59,1028.9,0.04,1,3.13,28.33,46.8625,103.8467
Mongolia,,1/29/2020,Foggy overnight.,clear-day,0.17,0.0001,0.0003,0.06,snow,19.51,-5.03,-2.17,0.57,1026.5,0.21,1,2.63,19.51,46.8625,103.8467
Mongolia,,1/30/2020,Clear throughout the day.,clear-day,0.2,0.0001,0.0005,0.05,snow,9.09,-8.82,-15.07,0.48,1035.9,0.18,1,-5.25,9.09,46.8625,103.8467
Mongolia,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.04,snow,6.12,-10.2,-16.82,0.5,1037.1,0.46,1,-8.82,6.12,46.8625,103.8467
Mongolia,,2/1/2020,Clear throughout the day.,clear-day,0.26,0.0001,0.0003,0.01,snow,19.36,-0.82,-13.46,0.46,1034.1,0.2,1,-10.2,19.36,46.8625,103.8467
Mongolia,,2/2/2020,Clear throughout the day.,clear-day,0.3,0.0,0.0002,0.01,,18.25,-1.68,-7.66,0.53,1029.8,0.05,1,-0.82,18.25,46.8625,103.8467
Mongolia,,2/3/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.01,snow,26.36,1.05,-6.37,0.5,1031.5,0.0,1,-1.68,26.36,46.8625,103.8467
Mongolia,,2/4/2020,Clear throughout the day.,clear-day,0.36,0.0001,0.0003,0.02,snow,27.39,4.12,-5.7,0.47,1028.8,0.31,2,1.05,27.39,46.8625,103.8467
Mongolia,,2/5/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0003,0.02,snow,21.6,2.76,-0.79,0.59,1032.3,0.09,2,4.12,21.6,46.8625,103.8467
Mongolia,,2/6/2020,Clear throughout the day.,clear-day,0.43,0.0001,0.0003,0.03,snow,31.54,9.7,-1.11,0.51,1032.4,0.0,2,2.76,31.54,46.8625,103.8467
Mongolia,,2/7/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0003,0.02,,34.45,16.26,4.11,0.51,1029.8,0.06,2,9.7,34.45,46.8625,103.8467
Mongolia,,2/8/2020,Clear throughout the day.,clear-day,0.51,0.0001,0.0003,0.02,snow,45.22,21.26,4.63,0.38,1018.4,0.16,2,16.26,45.22,46.8625,103.8467
Mongolia,,2/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.55,0.0002,0.0004,0.02,snow,47.71,21.97,2.25,0.29,1008.5,0.47,2,21.26,47.71,46.8625,103.8467
Mongolia,,2/10/2020,Clear throughout the day.,clear-day,0.59,0.0001,0.0002,0.02,snow,48.49,14.33,5.55,0.32,1009.2,0.26,2,21.97,48.49,46.8625,103.8467
