Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Montenegro,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.1,rain,45.49,28.76,24.44,0.61,1029.0,0.11,1,31.44,45.49,42.5,19.3
Montenegro,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.09,rain,46.5,33.14,17.75,0.48,1031.5,0.01,1,28.76,46.5,42.5,19.3
Montenegro,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,rain,51.16,35.4,18.98,0.43,1026.9,0.09,1,33.14,51.16,42.5,19.3
Montenegro,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.14,rain,50.96,35.87,22.28,0.49,1022.4,0.54,1,35.4,50.96,42.5,19.3
Montenegro,,1/4/2020,Windy in the evening.,wind,0.33,0.0003,0.0006,0.1,rain,41.3,26.89,24.18,0.61,1021.9,0.39,1,30.15,41.3,42.5,19.3
Montenegro,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,40.81,27.25,14.4,0.48,1026.2,0.01,1,26.53,40.81,42.5,19.3
Montenegro,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.1,snow,43.93,31.1,11.98,0.4,1026.3,0.0,1,27.24,43.93,42.5,19.3
Montenegro,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,47.05,32.85,14.06,0.39,1029.0,0.0,1,31.06,47.05,42.5,19.3
Montenegro,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,49.1,32.36,22.69,0.52,1028.2,0.05,1,32.85,49.1,42.5,19.3
Montenegro,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.06,rain,49.48,35.85,23.79,0.53,1024.9,0.01,2,32.54,49.48,42.5,19.3
Montenegro,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.05,rain,50.24,34.02,30.37,0.64,1025.4,0.82,1,35.85,50.24,42.5,19.3
Montenegro,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.12,rain,48.82,38.13,31.96,0.71,1026.9,0.19,1,34.02,48.82,42.5,19.3
Montenegro,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.08,rain,53.02,36.34,35.5,0.77,1027.1,0.07,2,36.55,53.02,42.5,19.3
Montenegro,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0001,0.01,,51.68,36.78,36.22,0.8,1026.4,0.13,2,36.34,51.68,42.5,19.3
Montenegro,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,53.21,37.8,31.58,0.63,1027.3,0.0,2,36.78,53.21,42.5,19.3
Montenegro,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.06,,56.72,35.2,25.93,0.49,1026.1,0.03,2,37.8,56.72,42.5,19.3
Montenegro,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.05,rain,52.21,37.04,30.26,0.62,1025.6,0.02,2,35.2,52.21,42.5,19.3
Montenegro,,1/17/2020,Possible light rain overnight.,partly-cloudy-day,0.8,0.0001,0.0011,0.15,rain,50.26,37.89,31.53,0.67,1023.1,0.59,1,37.04,50.26,42.5,19.3
Montenegro,,1/18/2020,Possible drizzle in the morning.,rain,0.83,0.0037,0.0181,0.7,rain,48.87,30.87,36.07,0.83,1024.0,0.72,1,34.52,48.87,42.5,19.3
Montenegro,,1/19/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.02,,45.58,31.84,26.25,0.66,1037.2,0.14,2,30.87,45.58,42.5,19.3
Montenegro,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.06,rain,49.31,35.17,23.53,0.54,1039.7,0.04,2,31.84,49.31,42.5,19.3
Montenegro,,1/21/2020,Partly cloudy throughout the day.,clear-day,0.93,0.0,0.0001,0.03,,49.52,35.82,22.94,0.5,1032.6,0.28,2,35.17,49.52,42.5,19.3
Montenegro,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.03,rain,51.39,35.54,22.2,0.46,1029.9,0.01,2,35.82,51.39,42.5,19.3
