Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Namibia,,12/31/2019,Overcast throughout the day.,rain,0.21,0.0065,0.0181,0.47,rain,91.85,67.59,57.88,0.5,1009.5,0.97,6,70.45,91.85,-22.9576,18.4904
Namibia,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.003,0.0152,0.19,rain,92.45,69.22,60.0,0.55,1010.4,0.69,10,67.59,92.45,-22.9576,18.4904
Namibia,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0016,0.0177,0.15,rain,96.26,70.52,55.84,0.45,1010.4,0.68,12,69.22,96.26,-22.9576,18.4904
Namibia,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0044,0.0204,0.24,rain,94.75,69.93,58.3,0.51,1009.9,0.6,9,70.52,94.75,-22.9576,18.4904
Namibia,,1/4/2020,Overcast throughout the day.,cloudy,0.33,0.0015,0.005,0.16,rain,90.55,68.21,53.74,0.43,1009.4,0.93,6,69.93,90.55,-22.9576,18.4904
Namibia,,1/5/2020,Overcast throughout the day.,rain,0.36,0.0097,0.0541,0.37,rain,83.47,64.21,57.64,0.55,1008.9,0.96,6,68.21,83.47,-22.9576,18.4904
Namibia,,1/6/2020,Mostly cloudy throughout the day.,rain,0.39,0.0089,0.0317,0.41,rain,85.07,67.53,61.42,0.66,1007.2,0.88,7,64.21,85.07,-22.9576,18.4904
Namibia,,1/7/2020,Clear throughout the day.,partly-cloudy-day,0.43,0.0008,0.0287,0.14,rain,91.11,64.9,49.22,0.4,1008.5,0.49,15,67.53,91.11,-22.9576,18.4904
Namibia,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.02,,90.34,66.25,38.54,0.26,1012.2,0.1,15,64.9,90.34,-22.9576,18.4904
Namibia,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0003,0.0011,0.06,rain,94.74,69.42,38.58,0.23,1010.9,0.18,13,66.25,94.74,-22.9576,18.4904
