Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Nepal,,12/31/2019,Overcast throughout the day.,cloudy,0.2,0.0002,0.0012,0.05,rain,71.88,51.63,31.45,0.39,1024.8,0.98,3,47.83,71.88,28.1667,84.25
Nepal,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.23,0.0022,0.0084,0.22,rain,75.03,51.18,41.5,0.51,1024.2,0.84,3,51.81,75.03,28.1667,84.25
Nepal,,1/2/2020,Light rain starting in the morning.,rain,0.26,0.0099,0.0302,0.78,rain,59.73,47.24,46.8,0.74,1021.1,0.8,3,50.44,59.73,28.1667,84.25
Nepal,,1/3/2020,Possible light rain in the evening.,rain,0.29,0.0091,0.0345,0.47,rain,67.28,46.06,46.22,0.73,1018.3,0.42,4,47.24,67.28,28.1667,84.25
Nepal,,1/4/2020,Clear throughout the day.,clear-day,0.32,0.0009,0.0038,0.24,rain,67.31,46.49,43.56,0.69,1018.3,0.3,4,46.06,67.31,28.1667,84.25
Nepal,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0001,0.0004,0.03,rain,70.7,47.05,40.16,0.55,1020.1,0.64,4,48.3,70.7,28.1667,84.25
Nepal,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.39,0.0004,0.0025,0.08,rain,71.05,51.21,46.87,0.72,1018.8,0.67,4,47.05,71.05,28.1667,84.25
Nepal,,1/7/2020,Mostly cloudy throughout the day.,rain,0.42,0.0061,0.0168,0.37,rain,69.94,52.4,48.07,0.7,1017.3,0.88,4,51.1,69.94,28.1667,84.25
Nepal,,1/8/2020,Mostly cloudy throughout the day.,rain,0.46,0.0039,0.0137,0.51,rain,70.05,48.69,48.23,0.7,1017.7,0.74,4,52.05,70.05,28.1667,84.25
Nepal,,1/9/2020,Clear throughout the day.,clear-day,0.49,0.0001,0.0003,0.08,rain,70.68,48.48,42.78,0.61,1019.3,0.2,5,48.73,70.68,28.1667,84.25
Nepal,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.07,rain,71.85,50.35,44.54,0.62,1020.5,0.08,5,48.62,71.85,28.1667,84.25
Nepal,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.05,rain,74.81,51.18,47.22,0.66,1017.9,0.13,5,50.35,74.81,28.1667,84.25
Nepal,,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0001,0.0003,0.06,rain,76.06,52.32,47.8,0.63,1015.3,0.0,5,50.92,76.06,28.1667,84.25
