Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Netherlands,Aruba,12/31/2019,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.19,0.0001,0.0004,0.1,rain,85.95,78.33,73.46,0.75,1012.4,0.56,6,79.05,85.95,12.5186,-70.0358
Netherlands,Aruba,1/1/2020,Humid throughout the day.,clear-day,0.22,0.0002,0.0004,0.12,rain,86.18,78.02,72.53,0.74,1013.0,0.27,8,78.31,86.18,12.5186,-70.0358
Netherlands,Aruba,1/2/2020,Humid and partly cloudy throughout the day.,clear-day,0.25,0.0001,0.0004,0.11,rain,85.45,78.07,72.46,0.74,1013.8,0.31,8,78.02,85.45,12.5186,-70.0358
Netherlands,Aruba,1/3/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0003,0.0011,0.17,rain,85.2,78.16,73.11,0.76,1015.0,0.37,7,78.07,85.2,12.5186,-70.0358
Netherlands,Aruba,1/4/2020,Humid throughout the day.,clear-day,0.31,0.0002,0.0004,0.15,rain,85.95,77.39,72.43,0.74,1015.3,0.11,9,78.16,85.95,12.5186,-70.0358
Netherlands,Aruba,1/5/2020,Humid throughout the day.,rain,0.34,0.0015,0.0042,0.31,rain,85.16,76.02,73.23,0.77,1014.7,0.24,8,77.39,85.16,12.5186,-70.0358
Netherlands,Aruba,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.37,0.0039,0.0091,0.42,rain,83.79,77.23,73.25,0.81,1013.1,0.3,8,76.02,83.79,12.5186,-70.0358
Netherlands,Aruba,1/7/2020,Humid throughout the day.,rain,0.4,0.0024,0.0209,0.3,rain,85.09,78.16,73.98,0.79,1013.0,0.2,8,77.23,85.09,12.5186,-70.0358
Netherlands,Aruba,1/8/2020,Humid throughout the day.,rain,0.44,0.0031,0.0085,0.32,rain,85.84,77.18,73.51,0.77,1014.6,0.25,8,78.16,85.84,12.5186,-70.0358
Netherlands,Aruba,1/9/2020,Humid and partly cloudy throughout the day.,clear-day,0.47,0.0005,0.0018,0.17,rain,85.14,78.16,72.01,0.74,1015.2,0.31,8,77.18,85.14,12.5186,-70.0358
Netherlands,Aruba,1/10/2020,Windy and humid throughout the day.,rain,0.51,0.0097,0.0332,0.48,rain,84.83,78.03,72.55,0.76,1013.6,0.41,7,78.18,84.83,12.5186,-70.0358
Netherlands,Aruba,1/11/2020,Windy in the morning and afternoon.,wind,0.55,0.0013,0.0092,0.24,rain,85.18,78.21,71.7,0.73,1014.2,0.18,8,78.03,85.18,12.5186,-70.0358
Netherlands,Aruba,1/12/2020,Windy in the afternoon.,clear-day,0.58,0.001,0.0074,0.2,rain,85.4,76.79,72.53,0.75,1014.8,0.26,8,78.21,85.4,12.5186,-70.0358
Netherlands,Aruba,1/13/2020,Possible drizzle in the morning.,rain,0.62,0.0057,0.0148,0.47,rain,84.04,76.32,72.19,0.77,1014.0,0.4,8,76.79,84.04,12.5186,-70.0358
Netherlands,Aruba,1/14/2020,Possible drizzle in the morning.,rain,0.66,0.0053,0.012,0.53,rain,83.9,76.27,71.45,0.76,1012.9,0.33,8,76.32,83.9,12.5186,-70.0358
Netherlands,Aruba,1/15/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0008,0.0031,0.22,rain,84.43,77.87,73.29,0.79,1011.8,0.36,7,76.27,84.43,12.5186,-70.0358
Netherlands,Aruba,1/16/2020,Possible light rain in the morning.,rain,0.73,0.005,0.0161,0.48,rain,84.89,77.43,74.3,0.79,1013.1,0.25,8,77.87,84.89,12.5186,-70.0358
Netherlands,Aruba,1/17/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.77,0.0004,0.0013,0.16,rain,84.59,77.37,73.38,0.78,1013.8,0.38,8,77.43,84.59,12.5186,-70.0358
Netherlands,Aruba,1/18/2020,Windy in the afternoon.,partly-cloudy-day,0.8,0.0008,0.0031,0.22,rain,84.79,77.26,72.71,0.77,1013.8,0.37,8,77.37,84.79,12.5186,-70.0358
Netherlands,Aruba,1/19/2020,Windy in the evening.,partly-cloudy-day,0.84,0.0001,0.0005,0.11,rain,85.19,77.69,72.63,0.76,1013.1,0.38,8,77.26,85.19,12.5186,-70.0358
Netherlands,Aruba,1/20/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0003,0.001,0.14,rain,84.68,77.96,73.86,0.79,1012.3,0.37,8,77.69,84.68,12.5186,-70.0358
Netherlands,Aruba,1/21/2020,Humid and partly cloudy throughout the day.,rain,0.91,0.0022,0.0107,0.32,rain,84.98,77.75,74.04,0.8,1011.7,0.52,8,77.96,84.98,12.5186,-70.0358
Netherlands,Aruba,1/22/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0002,0.0003,0.14,rain,83.96,76.24,73.56,0.79,1011.6,0.58,6,77.75,83.96,12.5186,-70.0358
Netherlands,Aruba,1/23/2020,Humid throughout the day.,clear-day,0.97,0.0004,0.0017,0.19,rain,84.52,76.2,72.62,0.79,1011.8,0.27,9,76.24,84.52,12.5186,-70.0358
Netherlands,Aruba,1/24/2020,Humid throughout the day.,clear-day,0.0,0.0002,0.0004,0.11,rain,84.85,76.53,71.87,0.76,1013.2,0.24,8,76.2,84.85,12.5186,-70.0358
Netherlands,Aruba,1/25/2020,Humid throughout the day.,clear-day,0.04,0.0001,0.0004,0.11,rain,84.94,77.0,72.08,0.76,1014.3,0.24,10,76.53,84.94,12.5186,-70.0358
Netherlands,Aruba,1/26/2020,Humid and partly cloudy throughout the day.,rain,0.07,0.0007,0.002,0.27,rain,83.72,77.1,74.25,0.82,1014.3,0.38,8,77.0,83.72,12.5186,-70.0358
Netherlands,Aruba,1/27/2020,Humid throughout the day.,clear-day,0.1,0.0002,0.0007,0.16,rain,84.63,77.15,73.73,0.79,1013.9,0.21,10,77.1,84.63,12.5186,-70.0358
Netherlands,Aruba,1/28/2020,Humid throughout the day.,clear-day,0.13,0.0003,0.0009,0.17,rain,84.95,77.83,73.42,0.78,1013.5,0.24,9,77.15,84.95,12.5186,-70.0358
Netherlands,Aruba,1/29/2020,Humid throughout the day.,clear-day,0.16,0.0002,0.0004,0.14,rain,85.25,77.23,72.74,0.76,1013.9,0.22,9,77.83,85.25,12.5186,-70.0358
Netherlands,Aruba,1/30/2020,Humid throughout the day.,clear-day,0.19,0.0002,0.0004,0.12,rain,85.62,78.41,73.02,0.77,1013.8,0.17,9,77.23,85.62,12.5186,-70.0358
Netherlands,Aruba,1/31/2020,Humid throughout the day.,clear-day,0.22,0.0002,0.0006,0.12,rain,85.79,79.35,75.0,0.8,1014.0,0.24,10,78.41,85.79,12.5186,-70.0358
Netherlands,Aruba,2/1/2020,Humid and partly cloudy throughout the day.,clear-day,0.25,0.0002,0.0005,0.14,rain,85.48,78.76,74.88,0.79,1013.8,0.31,8,79.35,85.48,12.5186,-70.0358
