Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
New Zealand,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0001,0.0003,0.05,rain,64.17,59.9,57.3,0.86,1015.1,0.36,8,58.52,64.17,-40.9006,174.886
New Zealand,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.22,0.0008,0.0023,0.15,rain,64.4,61.06,59.92,0.91,1010.3,0.86,5,59.9,65.64,-40.9006,174.886
New Zealand,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.25,0.0002,0.001,0.07,rain,67.11,56.56,58.13,0.82,1003.0,0.37,10,60.58,67.11,-40.9006,174.886
New Zealand,,1/3/2020,Partly cloudy throughout the day.,rain,0.28,0.0011,0.004,0.34,rain,63.97,53.16,50.24,0.71,1005.3,0.38,9,56.56,63.97,-40.9006,174.886
New Zealand,,1/4/2020,Possible drizzle in the evening.,rain,0.32,0.0022,0.015,0.38,rain,61.65,58.78,53.14,0.82,1005.9,0.86,5,53.2,65.68,-40.9006,174.886
New Zealand,,1/5/2020,Windy until evening.,wind,0.35,0.0001,0.0006,0.05,rain,64.27,55.96,49.67,0.65,999.9,0.36,11,58.71,65.39,-40.9006,174.886
New Zealand,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.38,0.0003,0.0024,0.16,rain,63.89,54.76,46.96,0.63,1008.1,0.37,10,55.96,63.89,-40.9006,174.886
New Zealand,,1/7/2020,Mostly cloudy throughout the day.,cloudy,0.41,0.0001,0.0005,0.11,rain,63.05,56.44,46.29,0.63,1015.9,0.88,6,54.76,63.05,-40.9006,174.886
New Zealand,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.45,0.0002,0.0007,0.11,rain,64.66,59.67,52.02,0.73,1016.0,0.44,8,56.44,64.66,-40.9006,174.886
New Zealand,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.48,0.0001,0.0005,0.03,rain,65.15,57.1,54.29,0.76,1018.0,0.63,7,59.54,65.15,-40.9006,174.886
New Zealand,,1/10/2020,Overcast throughout the day.,cloudy,0.52,0.0002,0.0004,0.07,rain,63.25,60.67,54.27,0.8,1017.5,0.99,5,57.1,63.25,-40.9006,174.886
New Zealand,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.56,0.001,0.0034,0.18,rain,65.1,61.41,58.61,0.87,1015.2,0.75,7,60.67,65.1,-40.9006,174.886
New Zealand,,1/12/2020,Rain in the morning and afternoon.,rain,0.59,0.0235,0.1095,0.9,rain,63.81,56.63,57.59,0.86,1016.7,0.88,5,58.76,64.36,-40.9006,174.886
New Zealand,,1/13/2020,Clear throughout the day.,clear-day,0.63,0.0,0.0002,0.02,,65.18,52.44,48.74,0.66,1023.4,0.13,11,56.55,65.18,-40.9006,174.886
New Zealand,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.67,0.0,0.0003,0.02,,65.87,54.93,47.71,0.66,1022.7,0.39,8,52.44,65.87,-40.9006,174.886
New Zealand,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.71,0.0,0.0002,0.04,,67.62,53.92,50.2,0.68,1022.3,0.36,10,54.93,67.62,-40.9006,174.886
New Zealand,,1/16/2020,Clear throughout the day.,clear-day,0.74,0.0001,0.0005,0.04,rain,68.26,53.32,51.78,0.71,1020.8,0.04,13,53.92,68.26,-40.9006,174.886
New Zealand,,1/17/2020,Clear throughout the day.,clear-day,0.78,0.0,0.0002,0.07,,68.39,58.68,53.11,0.75,1018.9,0.19,10,53.32,68.39,-40.9006,174.886
New Zealand,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.81,0.0001,0.0003,0.05,rain,70.93,59.65,58.74,0.82,1016.9,0.35,8,58.68,70.93,-40.9006,174.886
New Zealand,,1/19/2020,Partly cloudy throughout the day.,clear-day,0.85,0.0,0.0002,0.03,,70.43,58.62,59.39,0.82,1015.9,0.27,10,59.65,70.43,-40.9006,174.886
New Zealand,,1/20/2020,Clear throughout the day.,clear-day,0.88,0.0001,0.0003,0.08,rain,67.22,59.27,58.87,0.86,1015.7,0.18,11,58.62,67.22,-40.9006,174.886
New Zealand,,1/21/2020,Overcast throughout the day.,cloudy,0.92,0.0006,0.0018,0.15,rain,64.52,61.82,58.47,0.88,1015.6,0.89,6,59.27,64.52,-40.9006,174.886
New Zealand,,1/22/2020,Mostly cloudy throughout the day.,rain,0.95,0.0011,0.0027,0.25,rain,66.15,63.2,61.68,0.93,1015.4,0.89,6,61.82,66.15,-40.9006,174.886
New Zealand,,1/23/2020,Mostly cloudy throughout the day.,rain,0.98,0.0011,0.0039,0.28,rain,67.39,61.02,61.63,0.91,1017.3,0.68,8,61.7,67.39,-40.9006,174.886
New Zealand,,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.01,0.0001,0.0002,0.1,rain,67.82,62.3,60.33,0.88,1016.4,0.79,7,61.02,67.82,-40.9006,174.886
New Zealand,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.05,0.0004,0.0037,0.16,rain,68.44,63.97,62.58,0.91,1018.0,0.53,9,62.3,68.44,-40.9006,174.886
New Zealand,,1/26/2020,Overcast throughout the day.,rain,0.08,0.0015,0.0035,0.28,rain,66.45,63.54,63.65,0.95,1016.5,0.88,6,63.97,66.45,-40.9006,174.886
New Zealand,,1/27/2020,Overcast throughout the day.,rain,0.11,0.0013,0.0034,0.28,rain,68.18,63.72,64.22,0.95,1014.4,0.88,6,63.54,68.18,-40.9006,174.886
New Zealand,,1/28/2020,Windy in the evening and overnight.,rain,0.14,0.0012,0.0033,0.35,rain,67.82,64.81,63.36,0.92,1010.2,0.89,5,63.72,67.82,-40.9006,174.886
New Zealand,,1/29/2020,Mostly cloudy throughout the day.,rain,0.17,0.0022,0.013000000000000001,0.37,rain,68.89,63.07,61.54,0.86,1010.3,0.68,7,64.46,68.89,-40.9006,174.886
New Zealand,,1/30/2020,Windy in the afternoon.,partly-cloudy-day,0.2,0.0002,0.0005,0.08,rain,67.48,62.6,60.39,0.85,1013.3,0.64,6,63.07,67.48,-40.9006,174.886
New Zealand,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.08,rain,67.67,63.24,59.62,0.83,1015.9,0.42,9,62.6,67.67,-40.9006,174.886
New Zealand,,2/1/2020,Overcast throughout the day.,partly-cloudy-day,0.26,0.0007,0.0017,0.13,rain,66.94,64.52,62.62,0.91,1012.0,0.87,6,63.24,67.06,-40.9006,174.886
New Zealand,,2/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.29,0.0006,0.0017,0.13,rain,68.7,65.68,64.07,0.92,1011.1,0.66,9,64.52,68.7,-40.9006,174.886
New Zealand,,2/3/2020,Possible light rain in the evening and overnight.,rain,0.32,0.0055,0.0395,0.5,rain,72.1,61.46,64.78,0.91,1005.8,0.67,9,64.88,72.1,-40.9006,174.886
New Zealand,,2/4/2020,Clear throughout the day.,rain,0.36,0.0008,0.0089,0.32,rain,65.42,60.05,55.57,0.77,1012.8,0.23,9,61.01,65.42,-40.9006,174.886
