Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Nigeria,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.04,rain,95.07,58.95,31.59,0.19,1011.2,0.12,11,63.11,95.07,9.082,8.6753
Nigeria,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0004,0.04,rain,90.25,56.69,28.09,0.19,1013.1,0.16,9,58.95,90.25,9.082,8.6753
Nigeria,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0005,0.02,rain,90.55,57.43,32.36,0.24,1013.9,0.26,11,56.69,90.55,9.082,8.6753
Nigeria,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0004,0.07,rain,91.31,60.5,37.02,0.28,1013.4,0.27,10,57.43,91.31,9.082,8.6753
Nigeria,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.05,rain,93.26,63.94,40.25,0.3,1012.0,0.28,10,60.5,93.26,9.082,8.6753
Nigeria,,1/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,94.0,65.43,45.34,0.33,1011.0,0.63,6,63.94,94.0,9.082,8.6753
Nigeria,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.05,rain,96.24,67.82,46.93,0.33,1010.9,0.18,9,65.43,96.24,9.082,8.6753
Nigeria,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,97.29,67.52,44.36,0.28,1011.7,0.24,10,67.82,97.29,9.082,8.6753
Nigeria,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,98.66,65.46,39.32,0.23,1011.5,0.05,10,67.52,98.66,9.082,8.6753
Nigeria,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.02,rain,97.74,67.08,40.04,0.26,1012.1,0.4,9,65.46,97.74,9.082,8.6753
Nigeria,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.02,rain,95.78,67.42,45.03,0.3,1012.4,0.08,10,67.08,95.78,9.082,8.6753
Nigeria,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.02,rain,96.09,68.76,43.72,0.29,1011.9,0.31,10,67.42,96.09,9.082,8.6753
Nigeria,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.02,rain,99.35,69.29,39.01,0.22,1009.7,0.17,9,68.76,99.35,9.082,8.6753
Nigeria,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,99.27,69.87,38.35,0.21,1009.1,0.0,11,69.29,99.27,9.082,8.6753
