Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
North Macedonia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.06,snow,43.99,26.93,22.9,0.61,1029.5,0.17,1,28.04,43.99,41.6086,21.7453
North Macedonia,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.11,snow,42.76,23.58,21.82,0.63,1032.9,0.02,1,26.93,42.76,41.6086,21.7453
North Macedonia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,snow,44.19,25.33,16.54,0.53,1028.5,0.01,1,23.58,44.19,41.6086,21.7453
North Macedonia,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0001,0.0003,0.05,rain,47.98,36.46,14.69,0.42,1022.4,0.41,1,25.33,47.98,41.6086,21.7453
North Macedonia,,1/4/2020,Overcast throughout the day.,rain,0.33,0.0005,0.0027,0.3,rain,43.21,30.05,27.59,0.65,1019.9,0.9,1,32.75,43.21,41.6086,21.7453
North Macedonia,,1/5/2020,Clear throughout the day.,partly-cloudy-day,0.36,0.0,0.0001,0.01,,39.34,26.96,20.36,0.58,1025.6,0.37,1,30.05,39.34,41.6086,21.7453
North Macedonia,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.07,snow,40.56,24.08,16.76,0.53,1027.5,0.01,1,26.96,40.56,41.6086,21.7453
North Macedonia,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.01,,41.33,23.37,10.51,0.42,1031.5,0.0,1,24.08,41.33,41.6086,21.7453
North Macedonia,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0,0.0,,42.26,24.05,12.83,0.46,1030.6,0.11,2,23.37,42.26,41.6086,21.7453
North Macedonia,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.04,rain,47.41,30.09,18.72,0.53,1025.6,0.06,2,24.08,47.41,41.6086,21.7453
North Macedonia,,1/10/2020,Mostly cloudy throughout the day.,rain,0.54,0.0013,0.0075,0.33,rain,50.77,37.46,28.07,0.62,1025.9,0.65,1,30.09,50.77,41.6086,21.7453
North Macedonia,,1/11/2020,Light rain in the morning and afternoon.,rain,0.57,0.0067,0.018000000000000002,0.83,rain,39.8,31.89,34.12,0.84,1029.0,0.99,1,34.46,42.18,41.6086,21.7453
North Macedonia,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0006,0.1,rain,48.55,30.84,31.4,0.79,1029.4,0.55,2,31.89,48.55,41.6086,21.7453
North Macedonia,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0001,0.01,,44.31,30.39,29.88,0.76,1028.6,0.48,2,30.84,44.31,41.6086,21.7453
North Macedonia,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0002,0.02,,43.72,28.78,27.8,0.72,1030.8,0.46,2,30.39,43.72,41.6086,21.7453
North Macedonia,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.03,,46.2,24.98,24.8,0.65,1029.3,0.36,2,28.78,46.2,41.6086,21.7453
North Macedonia,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.03,rain,44.43,27.07,24.52,0.7,1029.4,0.16,2,24.98,44.43,41.6086,21.7453
North Macedonia,,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0,0.0002,0.04,,43.85,28.19,24.71,0.69,1027.1,0.5,2,27.07,43.85,41.6086,21.7453
North Macedonia,,1/18/2020,Overcast throughout the day.,partly-cloudy-day,0.83,0.0001,0.0003,0.04,snow,43.89,27.09,25.94,0.72,1027.4,0.86,1,28.19,43.89,41.6086,21.7453
North Macedonia,,1/19/2020,Partly cloudy throughout the day.,clear-day,0.87,0.0,0.0,0.0,,40.82,21.88,22.06,0.65,1040.4,0.24,1,26.86,40.82,41.6086,21.7453
North Macedonia,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.05,snow,39.79,24.42,16.45,0.57,1043.3,0.02,2,21.88,39.79,41.6086,21.7453
