Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Norway,,12/31/2019,Overcast throughout the day.,cloudy,0.21,0.0001,0.0002,0.08,snow,35.84,32.38,23.69,0.69,1015.8,0.88,0,29.45,35.84,60.472,8.4689
Norway,,1/1/2020,Windy starting in the afternoon.,wind,0.24,0.0001,0.0006,0.14,rain,39.14,27.91,27.32,0.71,1003.6,0.93,0,32.35,39.25,60.472,8.4689
Norway,,1/2/2020,Dangerously windy throughout the day.,rain,0.27,0.0029,0.0115,0.31,rain,30.31,19.05,21.34,0.72,993.6,0.29,0,21.34,38.77,60.472,8.4689
Norway,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0006,0.16,snow,24.69,14.17,11.3,0.66,1009.8,0.03,0,14.44,24.71,60.472,8.4689
Norway,,1/4/2020,Overcast throughout the day.,partly-cloudy-day,0.33,0.0021,0.0074,0.23,snow,38.66,33.33,21.93,0.79,1018.1,0.86,0,14.22,38.66,60.472,8.4689
Norway,,1/5/2020,Overcast throughout the day.,cloudy,0.36,0.0001,0.0007,0.17,rain,41.31,28.17,31.75,0.83,1010.9,0.89,0,33.95,41.31,60.472,8.4689
Norway,,1/6/2020,Possible light rain in the evening and overnight.,rain,0.4,0.0027,0.0243,0.47,rain,35.63,33.02,25.97,0.77,1004.2,0.8,0,28.09,40.69,60.472,8.4689
Norway,,1/7/2020,Possible light rain in the morning.,rain,0.43,0.006,0.0195,0.66,rain,36.08,23.48,26.53,0.77,996.6,0.41,0,28.78,41.75,60.472,8.4689
Norway,,1/8/2020,Overcast throughout the day.,wind,0.47,0.0043,0.021,0.14,snow,25.3,12.57,17.61,0.73,1006.9,0.66,0,21.43,30.58,60.472,8.4689
Norway,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0003,0.0035,0.04,snow,19.72,13.81,5.08,0.63,1016.0,0.57,0,12.54,21.95,60.472,8.4689
Norway,,1/10/2020,Possible light rain in the afternoon and evening.,rain,0.54,0.0048,0.0179,0.5,rain,41.71,28.3,24.17,0.71,1003.7,0.87,0,14.57,41.71,60.472,8.4689
Norway,,1/11/2020,Foggy in the morning.,rain,0.57,0.0021,0.0068,0.39,rain,30.36,21.42,21.36,0.74,1000.5,0.44,0,24.75,35.16,60.472,8.4689
Norway,,1/12/2020,Windy and foggy overnight.,partly-cloudy-day,0.61,0.0001,0.0011,0.06,snow,31.35,23.42,17.48,0.72,1004.3,0.45,0,21.42,31.35,60.472,8.4689
Norway,,1/13/2020,Dangerously windy in the morning.,snow,0.65,0.0045,0.023,0.38,snow,34.96,25.69,23.56,0.76,987.9,0.67,0,24.48,34.96,60.472,8.4689
Norway,,1/14/2020,"Foggy until morning, starting again in the evening.",snow,0.69,0.0038,0.0308,0.38,snow,34.58,29.23,23.05,0.77,988.3,0.57,0,25.5,34.58,60.472,8.4689
Norway,,1/15/2020,Windy in the morning.,wind,0.72,0.0005,0.0044,0.17,snow,37.48,23.26,24.27,0.74,1005.2,0.41,0,23.26,37.48,60.472,8.4689
Norway,,1/16/2020,"Foggy until morning, starting again in the evening.",snow,0.76,0.0036,0.0132,0.46,snow,41.07,26.83,29.63,0.84,1007.2,1.0,0,25.46,41.07,60.472,8.4689
Norway,,1/17/2020,Foggy in the morning.,snow,0.8,0.0054,0.0322,0.33,snow,33.75,23.05,24.05,0.81,1005.6,0.74,0,26.83,33.75,60.472,8.4689
Norway,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0006,0.0036,0.09,snow,25.57,24.58,17.72,0.74,1028.5,0.41,0,21.29,28.98,60.472,8.4689
Norway,,1/19/2020,Dangerously windy in the evening and overnight.,wind,0.87,0.0005,0.0032,0.23,snow,43.59,33.49,32.09,0.81,1028.6,0.93,0,28.04,43.59,60.472,8.4689
Norway,,1/20/2020,Windy in the morning and overnight.,rain,0.9,0.0026,0.0169,0.36,rain,36.26,24.66,25.83,0.73,1021.6,0.32,0,29.27,41.23,60.472,8.4689
Norway,,1/21/2020,Windy in the morning.,wind,0.93,0.0001,0.0005,0.03,snow,27.86,23.66,16.61,0.66,1027.5,0.34,0,23.59,31.27,60.472,8.4689
Norway,,1/22/2020,Windy overnight.,partly-cloudy-day,0.97,0.0002,0.001,0.12,snow,38.93,29.39,28.43,0.77,1016.7,0.69,0,26.51,38.93,60.472,8.4689
Norway,,1/23/2020,Windy in the morning and afternoon.,wind,1.0,0.0001,0.0003,0.09,rain,30.97,26.06,22.23,0.72,1007.4,0.19,0,27.23,35.8,60.472,8.4689
Norway,,1/24/2020,Overcast throughout the day.,cloudy,0.03,0.0001,0.0003,0.08,snow,36.59,28.35,23.86,0.74,1007.4,0.91,0,26.06,39.06,60.472,8.4689
Norway,,1/25/2020,Overcast throughout the day.,cloudy,0.06,0.0001,0.0003,0.2,rain,36.74,28.15,25.44,0.78,1004.0,0.96,0,28.15,36.74,60.472,8.4689
Norway,,1/26/2020,Possible light rain in the morning and afternoon.,rain,0.09,0.0052,0.0271,0.54,rain,36.74,14.8,27.23,0.81,995.9,0.98,0,26.97,36.82,60.472,8.4689
Norway,,1/27/2020,Foggy throughout the day.,snow,0.12,0.0029,0.0112,0.26,snow,23.76,22.77,15.61,0.81,991.1,0.97,0,13.63,26.64,60.472,8.4689
Norway,,1/28/2020,Foggy in the morning and afternoon.,snow,0.15,0.0073,0.0172,0.31,snow,31.0,10.22,20.51,0.83,989.0,0.94,0,17.02,31.0,60.472,8.4689
Norway,,1/29/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.18,0.0041,0.0205,0.18,snow,24.35,15.38,10.44,0.75,993.6,0.48,0,10.22,24.35,60.472,8.4689
Norway,,1/30/2020,Foggy in the morning and overnight.,partly-cloudy-day,0.21,0.0021,0.0117,0.21,snow,33.41,27.45,18.12,0.8,989.4,0.82,0,15.38,33.41,60.472,8.4689
Norway,,1/31/2020,Clear throughout the day.,snow,0.24,0.0018,0.0141,0.31,snow,38.68,21.25,27.42,0.79,979.9,0.5,0,24.54,38.68,60.472,8.4689
Norway,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0002,0.07,,28.1,6.59,13.79,0.71,994.2,0.09,0,13.68,28.1,60.472,8.4689
Norway,,2/2/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.31,0.0047,0.0262,0.23,snow,19.75,10.86,5.07,0.71,1000.7,0.63,0,6.59,19.75,60.472,8.4689
Norway,,2/3/2020,Foggy in the morning.,partly-cloudy-day,0.34,0.0008,0.0063,0.19,snow,24.54,15.0,8.63,0.73,1008.5,0.52,0,10.44,24.54,60.472,8.4689
Norway,,2/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.37,0.0001,0.0004,0.22,snow,38.71,30.37,19.51,0.74,1018.4,0.48,0,15.0,38.71,60.472,8.4689
Norway,,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.41,0.0001,0.0003,0.05,snow,42.13,24.55,28.99,0.79,1020.2,0.48,0,30.37,42.13,60.472,8.4689
Norway,,2/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.04,rain,39.49,16.03,20.23,0.7,1023.8,0.36,0,22.86,39.49,60.472,8.4689
Norway,,2/7/2020,Foggy in the afternoon.,partly-cloudy-day,0.48,0.0005,0.0016,0.23,snow,37.09,24.82,20.56,0.8,1010.7,0.6,0,16.03,37.09,60.472,8.4689
Norway,,2/8/2020,Possible drizzle in the afternoon.,snow,0.52,0.0046,0.0155,0.49,snow,36.96,30.45,26.5,0.78,976.7,0.87,1,24.82,36.96,60.472,8.4689
Norway,,2/9/2020,Overcast throughout the day.,rain,0.56,0.0003,0.001,0.27,rain,31.81,19.87,23.22,0.74,960.2,0.82,0,23.29,36.49,60.472,8.4689
Norway,,2/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.6,0.0001,0.0002,0.05,snow,32.08,21.64,17.75,0.73,970.6,0.55,0,19.87,32.08,60.472,8.4689
Norway,,2/11/2020,Clear throughout the day.,partly-cloudy-day,0.64,0.0001,0.0003,0.13,snow,32.04,17.15,17.13,0.71,982.2,0.41,1,20.59,32.04,60.472,8.4689
Norway,,2/12/2020,Clear throughout the day.,partly-cloudy-day,0.67,0.0001,0.0004,0.08,snow,26.59,10.24,11.42,0.7,1000.9,0.48,1,14.19,26.59,60.472,8.4689
Norway,,2/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.71,0.0004,0.0031,0.09,snow,28.04,19.2,10.98,0.74,1011.2,0.61,1,10.24,28.04,60.472,8.4689
Norway,,2/14/2020,Possible light rain and dangerously windy overnight.,snow,0.75,0.0029,0.0161,0.34,snow,32.56,28.55,23.57,0.79,1001.6,0.81,1,24.01,34.55,60.472,8.4689
Norway,,2/15/2020,Light rain in the morning and afternoon.,rain,0.78,0.0105,0.0317,0.77,rain,38.2,27.19,26.7,0.75,974.7,0.75,1,28.13,38.41,60.472,8.4689
Norway,,2/16/2020,Possible light rain in the afternoon and evening.,rain,0.81,0.0087,0.0287,0.55,rain,40.29,28.75,26.5,0.74,975.8,0.44,0,27.19,40.29,60.472,8.4689
Norway,,2/17/2020,Clear throughout the day.,rain,0.85,0.0007,0.0022,0.33,rain,35.27,17.05,23.61,0.74,990.9,0.16,0,24.69,35.27,60.472,8.4689
Norway,,2/18/2020,Clear throughout the day.,clear-day,0.88,0.0,0.0001,0.03,,33.13,12.07,15.68,0.76,1001.6,0.07,1,13.18,33.13,60.472,8.4689
Norway,,2/19/2020,Possible light snow (1–2 in.) in the afternoon and evening.,snow,0.91,0.0071,0.0248,0.56,snow,37.86,20.88,20.61,0.79,995.7,0.93,1,12.07,37.86,60.472,8.4689
Norway,,2/20/2020,Possible light rain in the evening and overnight.,rain,0.94,0.0044,0.0253,0.57,rain,39.36,32.13,23.47,0.75,991.7,0.46,1,20.88,39.36,60.472,8.4689
Norway,,2/21/2020,Possible light rain (with a chance of 1–2 in. of snow) in the morning.,rain,0.97,0.0169,0.0644,0.65,rain,34.21,22.32,25.44,0.76,979.9,0.75,1,27.63,37.72,60.472,8.4689
Norway,,2/22/2020,Clear throughout the day.,clear-day,0.01,0.0008,0.0132,0.2,snow,31.12,16.67,17.22,0.69,990.8,0.1,1,18.65,31.12,60.472,8.4689
