Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Oman,,12/31/2019,Partly cloudy throughout the day.,clear-day,0.21,0.0001,0.0002,0.01,rain,83.28,57.05,42.02,0.4,1014.8,0.31,6,57.34,83.28,21.0,57.0
Oman,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.04,rain,84.76,59.94,45.22,0.42,1017.7,0.01,7,57.05,84.76,21.0,57.0
Oman,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0002,0.01,,85.09,61.26,53.98,0.55,1018.8,0.0,7,59.94,85.09,21.0,57.0
Oman,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0004,0.08,rain,83.87,60.54,58.01,0.63,1017.3,0.0,7,61.26,83.87,21.0,57.0
Oman,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.05,rain,83.17,61.5,60.23,0.7,1014.5,0.03,7,60.54,83.17,21.0,57.0
Oman,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,82.9,64.55,59.77,0.67,1015.2,0.13,7,61.5,82.9,21.0,57.0
Oman,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.05,rain,82.83,55.56,44.82,0.42,1016.8,0.01,7,64.55,82.83,21.0,57.0
Oman,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.01,,81.71,60.24,47.85,0.47,1016.9,0.11,7,55.56,81.71,21.0,57.0
Oman,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.02,,82.22,60.14,57.57,0.65,1016.1,0.22,6,60.24,82.22,21.0,57.0
Oman,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0002,0.0019,0.04,rain,83.03,66.21,60.69,0.71,1013.5,0.22,7,59.63,83.03,21.0,57.0
Oman,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.53,0.0003,0.0018,0.08,rain,82.87,62.95,63.19,0.72,1011.5,0.78,5,66.11,82.87,21.0,57.0
Oman,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.07,rain,72.26,50.47,38.3,0.39,1017.5,0.48,7,59.77,72.26,21.0,57.0
Oman,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.02,rain,75.13,52.62,41.65,0.49,1018.4,0.04,7,50.47,75.13,21.0,57.0
Oman,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0,0.0,,75.08,51.29,42.41,0.5,1017.3,0.12,6,52.62,75.08,21.0,57.0
Oman,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.02,,73.02,52.09,38.71,0.44,1018.1,0.06,6,51.31,73.02,21.0,57.0
Oman,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.03,rain,76.89,50.28,43.58,0.51,1021.3,0.02,7,52.0,76.89,21.0,57.0
Oman,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.04,rain,77.96,53.77,42.07,0.47,1020.3,0.05,7,50.28,77.96,21.0,57.0
Oman,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0001,0.0002,0.04,rain,81.41,54.69,44.51,0.52,1018.9,0.21,7,53.77,81.41,21.0,57.0
Oman,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,80.62,56.52,52.11,0.61,1018.1,0.01,7,54.69,80.62,21.0,57.0
Oman,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0002,0.03,rain,82.5,57.27,53.15,0.61,1017.5,0.0,7,56.52,82.5,21.0,57.0
Oman,,1/20/2020,Clear throughout the day.,clear-day,0.89,0.0001,0.0002,0.05,rain,84.59,56.51,48.39,0.49,1016.2,0.0,7,57.27,84.59,21.0,57.0
