Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Pakistan,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0002,0.04,rain,55.54,31.73,21.48,0.46,1021.6,0.7,2,32.46,55.54,30.3753,69.3451
Pakistan,,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.06,rain,54.9,32.9,24.78,0.54,1023.2,0.28,3,31.73,54.9,30.3753,69.3451
Pakistan,,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0001,0.01,,56.82,31.64,27.57,0.57,1020.4,0.22,4,32.9,56.82,30.3753,69.3451
Pakistan,,1/3/2020,Clear throughout the day.,clear-day,0.29,0.0002,0.0004,0.09,rain,58.14,38.57,25.42,0.51,1017.4,0.3,4,31.64,58.14,30.3753,69.3451
Pakistan,,1/4/2020,Light rain throughout the day.,rain,0.33,0.0111,0.0501,0.85,rain,46.36,39.71,34.04,0.74,1017.6,0.93,3,38.57,46.36,30.3753,69.3451
Pakistan,,1/5/2020,Light rain in the morning and afternoon.,rain,0.36,0.0225,0.0568,0.95,rain,46.57,35.89,38.07,0.84,1019.2,0.99,3,39.15,46.57,30.3753,69.3451
Pakistan,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0002,0.0016,0.14,rain,53.18,30.65,32.58,0.69,1018.3,0.29,4,35.89,53.18,30.3753,69.3451
Pakistan,,1/7/2020,Clear throughout the day.,clear-day,0.42,0.0,0.0002,0.03,,52.83,24.9,14.27,0.39,1017.6,0.01,4,30.65,52.83,30.3753,69.3451
Pakistan,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.01,,55.71,23.94,9.41,0.33,1021.0,0.0,4,24.9,55.71,30.3753,69.3451
Pakistan,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.49,0.0001,0.0003,0.02,rain,54.01,37.12,18.52,0.46,1021.8,0.48,4,23.94,54.01,30.3753,69.3451
Pakistan,,1/10/2020,Possible light rain in the evening.,rain,0.53,0.0043,0.0174,0.47,rain,54.76,36.55,25.21,0.52,1020.5,0.99,3,37.03,54.76,30.3753,69.3451
Pakistan,,1/11/2020,Light rain starting in the afternoon.,rain,0.57,0.0138,0.0517,0.8,rain,47.44,34.27,33.36,0.78,1019.0,0.99,3,36.24,47.44,30.3753,69.3451
Pakistan,,1/12/2020,Light rain in the morning.,rain,0.61,0.0056,0.031,0.71,rain,47.4,27.15,28.79,0.7,1012.4,0.59,3,32.94,47.4,30.3753,69.3451
Pakistan,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0,0.0,,46.96,24.99,23.83,0.62,1018.4,0.22,3,27.15,46.96,30.3753,69.3451
Pakistan,,1/14/2020,Partly cloudy throughout the day.,clear-day,0.68,0.0,0.0001,0.03,,48.62,25.07,23.61,0.62,1020.2,0.31,3,24.99,48.62,30.3753,69.3451
Pakistan,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.02,rain,51.72,22.32,17.19,0.46,1020.0,0.05,4,25.07,51.72,30.3753,69.3451
Pakistan,,1/16/2020,Clear throughout the day.,clear-day,0.75,0.0001,0.0004,0.01,snow,53.0,24.58,11.39,0.39,1019.4,0.14,4,22.32,53.0,30.3753,69.3451
Pakistan,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0001,0.0002,0.01,snow,52.01,25.03,11.8,0.38,1021.8,0.0,4,24.58,52.01,30.3753,69.3451
Pakistan,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.82,0.0,0.0,0.0,,53.7,32.95,14.54,0.39,1021.9,0.46,4,25.03,53.7,30.3753,69.3451
Pakistan,,1/19/2020,Overcast throughout the day.,partly-cloudy-day,0.86,0.001,0.0053,0.06,rain,52.88,37.39,25.93,0.55,1019.1,0.81,3,32.95,52.88,30.3753,69.3451
Pakistan,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0006,0.0033,0.12,rain,54.2,33.37,32.93,0.66,1019.5,0.61,4,37.39,54.2,30.3753,69.3451
Pakistan,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0002,0.0011,0.06,rain,55.9,29.92,29.99,0.63,1024.2,0.13,5,33.37,55.9,30.3753,69.3451
Pakistan,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.01,rain,59.71,33.33,20.53,0.44,1022.9,0.24,5,29.92,59.71,30.3753,69.3451
Pakistan,,1/23/2020,Clear throughout the day.,clear-day,0.99,0.0,0.0002,0.03,,60.18,38.26,30.89,0.58,1018.8,0.26,5,33.33,60.18,30.3753,69.3451
Pakistan,,1/24/2020,Clear throughout the day.,clear-day,0.02,0.0002,0.001,0.07,rain,62.98,34.23,36.71,0.64,1016.3,0.22,5,38.26,62.98,30.3753,69.3451
Pakistan,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0022,0.0126,0.12,rain,61.96,40.27,31.65,0.59,1015.5,0.12,5,34.23,61.96,30.3753,69.3451
Pakistan,,1/26/2020,Possible light rain in the morning.,rain,0.09,0.011000000000000001,0.0328,0.63,rain,55.56,32.21,33.95,0.66,1012.8,0.88,3,40.27,55.56,30.3753,69.3451
Pakistan,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0004,0.03,,54.36,29.6,25.18,0.55,1012.3,0.13,5,32.21,54.36,30.3753,69.3451
Pakistan,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0002,0.0003,0.02,rain,53.26,26.82,17.52,0.44,1017.5,0.0,5,29.6,53.26,30.3753,69.3451
Pakistan,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.01,rain,54.96,32.42,20.4,0.5,1020.3,0.0,5,26.82,54.96,30.3753,69.3451
Pakistan,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.01,rain,54.7,26.49,20.05,0.46,1015.9,0.07,5,32.42,54.7,30.3753,69.3451
Pakistan,,1/31/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.01,rain,58.82,29.03,11.46,0.34,1019.8,0.0,5,26.49,58.82,30.3753,69.3451
Pakistan,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.02,rain,58.44,31.86,21.57,0.47,1020.7,0.0,5,29.03,58.44,30.3753,69.3451
Pakistan,,2/2/2020,Possible light rain overnight.,rain,0.3,0.003,0.051,0.31,rain,58.12,34.28,30.27,0.6,1017.8,0.03,5,31.86,58.12,30.3753,69.3451
Pakistan,,2/3/2020,Clear throughout the day.,rain,0.33,0.0044,0.043,0.61,rain,56.63,30.93,18.02,0.47,1017.3,0.41,5,34.28,56.63,30.3753,69.3451
Pakistan,,2/4/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0004,0.04,rain,54.56,28.68,25.37,0.54,1020.0,0.0,6,30.93,54.56,30.3753,69.3451
Pakistan,,2/5/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0003,0.01,rain,62.75,27.42,9.29,0.36,1016.6,0.0,5,28.68,62.75,30.3753,69.3451
Pakistan,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.03,rain,61.49,29.14,3.9,0.23,1020.3,0.0,6,27.42,61.49,30.3753,69.3451
Pakistan,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.0,0.0003,0.01,,64.45,33.62,12.19,0.31,1021.6,0.0,6,29.14,64.45,30.3753,69.3451
Pakistan,,2/8/2020,Overcast throughout the day.,partly-cloudy-day,0.51,0.0001,0.0003,0.01,rain,62.78,37.4,24.49,0.45,1021.2,0.75,4,33.62,62.78,30.3753,69.3451
Pakistan,,2/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.55,0.0001,0.0004,0.02,rain,64.42,41.84,31.46,0.53,1018.9,0.79,5,37.4,64.42,30.3753,69.3451
Pakistan,,2/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.59,0.0002,0.0011,0.09,rain,65.85,44.46,33.0,0.5,1018.8,0.79,6,41.84,65.85,30.3753,69.3451
Pakistan,,2/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.63,0.0001,0.0002,0.04,rain,65.77,44.61,33.5,0.49,1020.4,0.66,4,44.46,65.77,30.3753,69.3451
Pakistan,,2/12/2020,Clear throughout the day.,partly-cloudy-day,0.67,0.0002,0.0009,0.09,rain,63.59,33.36,24.82,0.4,1019.5,0.35,6,44.61,63.59,30.3753,69.3451
Pakistan,,2/13/2020,Clear throughout the day.,clear-day,0.7,0.0001,0.0003,0.01,rain,71.08,35.26,-2.38,0.15,1018.2,0.0,6,33.36,71.08,30.3753,69.3451
Pakistan,,2/14/2020,Clear throughout the day.,clear-day,0.74,0.0001,0.0003,0.01,rain,75.63,34.29,0.49,0.14,1017.0,0.07,6,35.26,75.63,30.3753,69.3451
Pakistan,,2/15/2020,Clear throughout the day.,clear-day,0.77,0.0001,0.0003,0.02,rain,74.71,34.62,-7.3,0.1,1019.0,0.13,6,34.29,74.71,30.3753,69.3451
Pakistan,,2/16/2020,Clear throughout the day.,clear-day,0.81,0.0001,0.0003,0.03,rain,72.51,37.25,-5.79,0.1,1020.1,0.05,6,34.62,72.51,30.3753,69.3451
Pakistan,,2/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.84,0.0002,0.0004,0.07,rain,76.89,42.6,2.46,0.14,1016.2,0.68,5,37.25,76.89,30.3753,69.3451
Pakistan,,2/18/2020,Clear throughout the day.,clear-day,0.87,0.0001,0.0004,0.04,rain,66.33,35.63,13.35,0.24,1011.2,0.27,6,42.6,66.33,30.3753,69.3451
Pakistan,,2/19/2020,Clear throughout the day.,clear-day,0.91,0.0001,0.0004,0.04,rain,65.23,35.73,20.77,0.37,1015.3,0.0,6,35.63,65.23,30.3753,69.3451
Pakistan,,2/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0001,0.0003,0.04,rain,67.19,43.05,33.58,0.57,1018.9,0.43,5,35.73,67.19,30.3753,69.3451
Pakistan,,2/21/2020,Clear throughout the day.,clear-day,0.97,0.0009,0.0031,0.05,rain,70.31,43.08,37.92,0.57,1021.0,0.06,7,43.05,70.31,30.3753,69.3451
Pakistan,,2/22/2020,Clear throughout the day.,clear-day,0.0,0.0003,0.0015,0.05,rain,71.54,45.18,37.06,0.54,1018.6,0.08,7,43.08,71.54,30.3753,69.3451
Pakistan,,2/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0009,0.006999999999999999,0.03,rain,73.31,43.18,34.96,0.5,1015.1,0.47,6,45.18,73.31,30.3753,69.3451
Pakistan,,2/24/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.02,rain,76.59,44.02,24.82,0.37,1013.8,0.03,7,43.18,76.59,30.3753,69.3451
Pakistan,,2/25/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0003,0.02,rain,79.22,49.58,23.69,0.29,1013.6,0.3,7,44.02,79.22,30.3753,69.3451
Pakistan,,2/26/2020,Clear throughout the day.,clear-day,0.12,0.0005,0.0035,0.02,rain,79.09,50.27,36.57,0.4,1012.1,0.3,7,49.58,79.09,30.3753,69.3451
Pakistan,,2/27/2020,Possible light rain in the evening.,rain,0.15,0.0115,0.0495,0.42,rain,72.64,44.0,42.81,0.6,1011.1,0.2,8,49.9,72.64,30.3753,69.3451
Pakistan,,2/28/2020,Clear throughout the day.,clear-day,0.18,0.0,0.0003,0.01,,69.31,45.3,36.45,0.56,1012.5,0.02,7,44.0,69.31,30.3753,69.3451
Pakistan,,2/29/2020,Clear throughout the day.,clear-day,0.21,0.0004,0.0028,0.05,rain,69.99,45.91,39.34,0.6,1015.1,0.0,8,45.3,69.99,30.3753,69.3451
Pakistan,,3/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0002,0.03,rain,74.18,48.23,36.47,0.52,1013.8,0.02,8,45.91,74.18,30.3753,69.3451
Pakistan,,3/2/2020,Possible light rain overnight.,clear-day,0.28,0.0012,0.0102,0.1,rain,69.64,49.17,41.77,0.58,1011.4,0.06,8,48.23,69.64,30.3753,69.3451
Pakistan,,3/3/2020,Possible light rain in the morning.,rain,0.31,0.0136,0.0409,0.58,rain,63.35,45.5,42.24,0.64,1009.4,0.49,7,49.17,63.35,30.3753,69.3451
Pakistan,,3/4/2020,Rain throughout the day.,rain,0.35,0.0424,0.1103,0.82,rain,52.73,39.76,39.65,0.78,1009.8,0.68,5,40.15,52.73,30.3753,69.3451
Pakistan,,3/5/2020,Mostly cloudy throughout the day.,rain,0.38,0.0112,0.0742,0.59,rain,56.03,38.25,40.57,0.77,1009.9,0.67,5,39.76,56.03,30.3753,69.3451
Pakistan,,3/6/2020,Clear throughout the day.,clear-day,0.42,0.0,0.0003,0.01,,60.8,39.99,34.65,0.58,1012.9,0.0,8,38.25,60.8,30.3753,69.3451
