Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Panama,,12/31/2019,Rain in the morning and afternoon.,rain,0.19,0.0266,0.2082,0.93,rain,70.94,62.95,66.26,1.0,1012.2,0.78,8,63.56,70.94,8.538,-80.7821
Panama,,1/1/2020,Possible drizzle in the morning.,rain,0.22,0.0056,0.0143,0.64,rain,72.1,62.66,65.82,0.98,1011.9,0.58,9,62.95,72.1,8.538,-80.7821
Panama,,1/2/2020,Possible drizzle in the morning.,rain,0.25,0.0038,0.0107,0.59,rain,76.5,61.92,65.59,0.94,1012.0,0.63,7,62.66,76.5,8.538,-80.7821
Panama,,1/3/2020,Mostly cloudy throughout the day.,rain,0.28,0.0047,0.017,0.38,rain,74.74,62.28,65.96,0.96,1013.3,0.67,7,61.92,74.74,8.538,-80.7821
Panama,,1/4/2020,Possible light rain overnight.,rain,0.31,0.0017,0.0101,0.26,rain,75.64,63.1,64.9,0.92,1014.7,0.49,9,62.29,75.64,8.538,-80.7821
Panama,,1/5/2020,Possible light rain in the morning.,rain,0.34,0.0096,0.0323,0.6,rain,73.47,62.89,65.56,0.96,1015.9,0.77,7,63.1,73.47,8.538,-80.7821
Panama,,1/6/2020,Mostly cloudy throughout the day.,rain,0.37,0.0071,0.0194,0.41,rain,72.54,62.63,65.81,0.96,1013.8,0.63,8,62.89,72.54,8.538,-80.7821
Panama,,1/7/2020,Partly cloudy throughout the day.,rain,0.4,0.0096,0.0234,0.47,rain,74.1,63.87,65.64,0.95,1013.0,0.38,9,62.63,74.1,8.538,-80.7821
Panama,,1/8/2020,Possible light rain in the morning.,rain,0.44,0.0148,0.0252,0.57,rain,73.61,64.44,66.71,0.97,1013.1,0.43,9,63.87,73.61,8.538,-80.7821
Panama,,1/9/2020,Possible light rain in the morning.,rain,0.47,0.01,0.0269,0.55,rain,74.86,64.09,67.21,0.97,1011.7,0.43,9,64.41,74.86,8.538,-80.7821
Panama,,1/10/2020,Partly cloudy throughout the day.,rain,0.51,0.0084,0.0215,0.4,rain,74.22,63.99,66.22,0.95,1009.6,0.5,9,63.18,74.22,8.538,-80.7821
