Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Paraguay,,12/31/2019,Humid and mostly cloudy throughout the day.,rain,0.18,0.0136,0.0626,0.47,rain,97.51,74.11,73.04,0.67,1007.7,0.86,6,77.32,97.51,-23.4425,-58.4438
Paraguay,,1/1/2020,Humid and partly cloudy throughout the day.,rain,0.21,0.0041,0.0302,0.35,rain,96.49,74.29,72.58,0.7,1007.6,0.45,13,74.11,96.49,-23.4425,-58.4438
Paraguay,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.09,rain,95.14,73.03,67.02,0.58,1008.7,0.02,14,74.29,95.14,-23.4425,-58.4438
Paraguay,,1/3/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0004,0.04,rain,91.54,70.54,67.95,0.61,1009.8,0.29,11,73.03,91.54,-23.4425,-58.4438
Paraguay,,1/4/2020,Humid throughout the day.,clear-day,0.31,0.0002,0.0003,0.07,rain,97.31,72.94,64.36,0.54,1008.0,0.01,14,70.54,97.31,-23.4425,-58.4438
Paraguay,,1/5/2020,Humid throughout the day.,clear-day,0.34,0.0028,0.0257,0.14,rain,101.27,75.8,64.81,0.54,1003.5,0.0,14,72.94,101.27,-23.4425,-58.4438
Paraguay,,1/6/2020,Possible light rain in the evening and overnight.,rain,0.37,0.0119,0.0941,0.54,rain,98.24,73.99,67.67,0.54,1002.1,0.41,12,75.8,98.24,-23.4425,-58.4438
Paraguay,,1/7/2020,Rain in the morning and afternoon.,rain,0.4,0.0332,0.1399,0.95,rain,88.78,73.94,72.96,0.79,1006.1,0.84,8,73.99,88.78,-23.4425,-58.4438
Paraguay,,1/8/2020,Humid and mostly cloudy throughout the day.,rain,0.44,0.0021,0.0091,0.38,rain,90.77,76.84,75.56,0.8,1006.1,0.82,9,73.94,90.77,-23.4425,-58.4438
Paraguay,,1/9/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0004,0.0032,0.2,rain,94.73,78.9,74.47,0.7,1006.6,0.67,12,76.84,94.73,-23.4425,-58.4438
