Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Peru,,12/31/2019,Light rain starting in the afternoon.,rain,0.19,0.0166,0.0605,0.74,rain,90.8,73.94,75.07,0.83,1007.7,0.8,7,73.61,90.8,-9.19,-75.0152
Peru,,1/1/2020,Rain and humid throughout the day.,rain,0.22,0.0383,0.0951,0.97,rain,84.6,70.39,75.94,0.96,1008.7,0.9,6,71.39,84.6,-9.19,-75.0152
Peru,,1/2/2020,"Light rain until afternoon, starting again overnight.",rain,0.25,0.0333,0.1391,0.94,rain,84.4,71.05,72.62,0.92,1010.7,0.84,7,70.39,84.4,-9.19,-75.0152
Peru,,1/3/2020,"Light rain until afternoon, starting again overnight.",rain,0.28,0.0096,0.0248,0.77,rain,87.46,71.41,73.66,0.87,1012.5,0.72,10,71.05,87.46,-9.19,-75.0152
Peru,,1/4/2020,Light rain in the morning and afternoon.,rain,0.31,0.022000000000000002,0.0644,0.89,rain,88.94,74.33,74.39,0.86,1010.9,0.91,7,71.41,88.94,-9.19,-75.0152
Peru,,1/5/2020,Light rain and humid throughout the day.,rain,0.34,0.0194,0.068,0.8,rain,86.69,71.89,75.36,0.89,1009.2,0.92,9,74.31,86.69,-9.19,-75.0152
Peru,,1/6/2020,Possible light rain in the morning.,rain,0.37,0.0123,0.0641,0.74,rain,91.39,72.66,72.78,0.82,1007.9,0.85,7,71.89,91.39,-9.19,-75.0152
Peru,,1/7/2020,Light rain in the morning and afternoon.,rain,0.4,0.0107,0.043,0.81,rain,84.68,72.25,74.59,0.9,1009.4,0.93,7,72.66,84.68,-9.19,-75.0152
Peru,,1/8/2020,Humid and mostly cloudy throughout the day.,rain,0.44,0.0034,0.0152,0.56,rain,91.4,72.41,72.31,0.79,1010.5,0.83,8,72.26,91.4,-9.19,-75.0152
Peru,,1/9/2020,Humid and partly cloudy throughout the day.,rain,0.47,0.0023,0.0153,0.28,rain,95.1,73.6,70.68,0.7,1010.4,0.5,9,72.41,95.1,-9.19,-75.0152
Peru,,1/10/2020,Humid and partly cloudy throughout the day.,rain,0.51,0.0046,0.0223,0.47,rain,93.69,73.01,71.53,0.73,1010.3,0.5,9,73.6,93.69,-9.19,-75.0152
Peru,,1/11/2020,Humid throughout the day.,rain,0.55,0.0025,0.0117,0.47,rain,92.45,73.49,71.17,0.72,1010.8,0.2,13,73.01,92.45,-9.19,-75.0152
Peru,,1/12/2020,Humid throughout the day.,rain,0.58,0.0008,0.0038,0.46,rain,93.67,71.45,70.41,0.68,1011.5,0.13,14,73.49,93.67,-9.19,-75.0152
Peru,,1/13/2020,Humid and mostly cloudy throughout the day.,rain,0.62,0.0022,0.0142,0.38,rain,90.22,72.01,69.91,0.72,1011.1,0.61,8,71.45,90.22,-9.19,-75.0152
Peru,,1/14/2020,Possible light rain in the evening and overnight.,rain,0.66,0.0042,0.0344,0.63,rain,87.73,72.29,68.73,0.71,1010.8,0.77,6,72.01,87.73,-9.19,-75.0152
