Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Philippines,,12/31/2019,Humid and partly cloudy throughout the day.,rain,0.2,0.0014,0.0049,0.34,rain,85.15,78.9,75.0,0.8,1015.1,0.48,7,78.04,85.15,13.0,122.0
Philippines,,1/1/2020,Possible light rain in the evening and overnight.,rain,0.23,0.0071,0.027000000000000003,0.49,rain,83.12,76.84,75.36,0.84,1015.4,0.57,5,78.13,83.12,13.0,122.0
Philippines,,1/2/2020,Possible drizzle in the morning.,rain,0.26,0.0053,0.0295,0.66,rain,84.36,76.8,73.38,0.79,1014.5,0.83,5,76.84,84.36,13.0,122.0
Philippines,,1/3/2020,Humid throughout the day.,rain,0.29,0.0049,0.0227,0.55,rain,83.25,77.03,73.95,0.83,1012.8,0.26,8,76.8,83.25,13.0,122.0
Philippines,,1/4/2020,Windy in the morning.,rain,0.32,0.0027,0.0132,0.55,rain,81.64,76.94,73.49,0.83,1013.3,0.6,9,77.03,81.64,13.0,122.0
Philippines,,1/5/2020,Possible drizzle overnight.,rain,0.35,0.0028,0.0083,0.58,rain,83.4,77.62,74.14,0.82,1013.2,0.7,6,76.94,83.4,13.0,122.0
Philippines,,1/6/2020,Light rain and humid throughout the day.,rain,0.39,0.0382,0.0892,0.94,rain,81.79,76.77,75.19,0.87,1012.6,0.74,6,76.77,81.79,13.0,122.0
Philippines,,1/7/2020,Possible light rain in the evening.,rain,0.42,0.0053,0.0273,0.59,rain,82.65,77.12,74.98,0.85,1012.3,0.92,5,76.93,82.65,13.0,122.0
Philippines,,1/8/2020,Humid and mostly cloudy throughout the day.,rain,0.45,0.001,0.0041,0.33,rain,83.38,76.63,73.34,0.8,1012.1,0.75,5,77.15,83.38,13.0,122.0
Philippines,,1/9/2020,Humid and partly cloudy throughout the day.,clear-day,0.49,0.0005,0.0025,0.2,rain,83.17,77.24,72.58,0.78,1010.5,0.3,7,76.63,83.17,13.0,122.0
Philippines,,1/10/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.53,0.0006,0.0037,0.2,rain,83.11,77.6,71.65,0.76,1010.0,0.35,7,77.24,83.11,13.0,122.0
Philippines,,1/11/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.56,0.0005,0.0034,0.24,rain,82.62,75.89,72.36,0.78,1009.8,0.74,8,76.0,82.62,13.0,122.0
Philippines,,1/12/2020,Humid and overcast throughout the day.,rain,0.6,0.0019,0.0094,0.29,rain,82.32,77.28,73.33,0.82,1009.8,0.96,5,75.97,82.32,13.0,122.0
Philippines,,1/13/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.64,0.0009,0.0082,0.19,rain,83.21,77.09,73.67,0.82,1011.5,0.6,7,77.28,83.21,13.0,122.0
Philippines,,1/14/2020,Humid and partly cloudy throughout the day.,rain,0.68,0.0008,0.0068,0.36,rain,83.83,77.43,74.12,0.82,1012.7,0.34,8,76.96,83.83,13.0,122.0
Philippines,,1/15/2020,"Light rain until morning, starting again in the evening.",rain,0.71,0.0044,0.0296,0.63,rain,82.81,77.47,75.68,0.86,1012.0,0.65,6,77.43,82.81,13.0,122.0
Philippines,,1/16/2020,"Possible light rain until morning, starting again in the evening.",rain,0.75,0.0072,0.0503,0.83,rain,82.96,77.52,75.2,0.83,1012.2,0.19,9,77.47,82.96,13.0,122.0
Philippines,,1/17/2020,Possible light rain in the afternoon and evening.,rain,0.79,0.0082,0.0555,0.63,rain,82.31,77.66,75.84,0.87,1012.4,0.57,8,77.52,82.31,13.0,122.0
Philippines,,1/18/2020,Humid and overcast throughout the day.,rain,0.82,0.0014,0.0043,0.51,rain,82.58,77.59,73.21,0.79,1013.8,0.88,6,77.66,82.58,13.0,122.0
Philippines,,1/19/2020,Humid and partly cloudy throughout the day.,rain,0.86,0.001,0.0039,0.33,rain,83.25,76.42,71.95,0.76,1015.6,0.66,8,77.55,83.25,13.0,122.0
Philippines,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0002,0.0019,0.2,rain,82.58,75.37,68.68,0.7,1017.3,0.35,7,76.42,82.58,13.0,122.0
Philippines,,1/21/2020,Humid throughout the day.,clear-day,0.92,0.0003,0.0018,0.09,rain,83.11,75.73,70.05,0.74,1016.5,0.23,9,75.37,83.11,13.0,122.0
Philippines,,1/22/2020,Humid throughout the day.,clear-day,0.96,0.0003,0.0012,0.1,rain,83.5,77.11,70.28,0.74,1014.8,0.26,9,75.73,83.5,13.0,122.0
Philippines,,1/23/2020,Light rain and humid throughout the day.,rain,0.99,0.0078,0.0348,0.78,rain,83.33,76.71,74.94,0.85,1013.1,0.78,5,77.11,83.33,13.0,122.0
Philippines,,1/24/2020,Light rain and humid throughout the day.,rain,0.02,0.0191,0.0609,0.96,rain,82.0,77.46,75.51,0.87,1011.9,0.71,6,76.71,82.0,13.0,122.0
Philippines,,1/25/2020,Possible light rain in the morning and overnight.,rain,0.05,0.0023,0.0191,0.6,rain,82.69,77.05,75.59,0.86,1010.8,0.43,9,77.46,82.69,13.0,122.0
