Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Poland,,12/31/2019,Foggy in the morning.,partly-cloudy-day,0.21,0.0001,0.0006,0.21,rain,37.76,28.48,30.42,0.83,1030.9,0.76,0,31.98,38.43,51.9194,19.1451
Poland,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.09,rain,40.16,26.78,21.06,0.63,1027.6,0.61,0,28.48,40.16,51.9194,19.1451
Poland,,1/2/2020,Drizzle overnight.,clear-day,0.27,0.0,0.0015,0.12,,41.08,36.35,24.13,0.66,1020.0,0.16,0,26.78,41.08,51.9194,19.1451
Poland,,1/3/2020,Light rain until evening.,rain,0.3,0.0094,0.0353,0.9,rain,39.52,31.5,33.91,0.86,1014.3,0.88,0,34.36,41.41,51.9194,19.1451
Poland,,1/4/2020,Clear throughout the day.,rain,0.33,0.0001,0.0021,0.32,rain,36.84,26.37,25.87,0.77,1028.3,0.2,0,26.37,36.84,51.9194,19.1451
Poland,,1/5/2020,Overcast throughout the day.,cloudy,0.36,0.0005,0.0028,0.18,snow,35.19,27.56,27.89,0.84,1029.6,0.92,0,26.26,35.19,51.9194,19.1451
Poland,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.001,0.07,snow,35.53,30.28,25.77,0.79,1025.8,0.6,0,27.56,35.53,51.9194,19.1451
Poland,,1/7/2020,Possible drizzle in the evening.,rain,0.43,0.0025,0.0156,0.56,rain,39.59,38.4,31.77,0.83,1025.5,0.8,1,32.07,40.26,51.9194,19.1451
Poland,,1/8/2020,Light rain throughout the day.,rain,0.47,0.0066,0.0266,0.9,rain,45.05,41.58,38.68,0.89,1020.7,1.0,1,39.6,45.05,51.9194,19.1451
Poland,,1/9/2020,Possible drizzle in the morning and overnight.,rain,0.5,0.002,0.0062,0.77,rain,46.55,42.11,40.26,0.86,1015.3,0.98,1,41.96,46.55,51.9194,19.1451
Poland,,1/10/2020,Possible drizzle in the morning.,rain,0.54,0.003,0.0133,0.55,rain,43.51,33.92,36.54,0.83,1026.0,0.9,0,35.88,45.08,51.9194,19.1451
