Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Portugal,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.07,rain,60.41,35.05,39.14,0.81,1031.9,0.36,2,36.16,60.41,39.3999,-8.2245
Portugal,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.09,rain,58.12,39.86,39.93,0.86,1031.6,0.59,2,35.05,58.12,39.3999,-8.2245
Portugal,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0003,0.03,rain,62.37,40.42,43.71,0.84,1033.5,0.65,2,39.86,62.37,39.3999,-8.2245
Portugal,,1/4/2020,Clear throughout the day.,clear-day,0.3,0.0001,0.0003,0.07,rain,61.93,36.13,41.42,0.8,1033.4,0.0,2,40.42,61.93,39.3999,-8.2245
Portugal,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,59.9,33.91,37.38,0.76,1030.3,0.0,2,36.13,59.9,39.3999,-8.2245
Portugal,,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,60.71,32.89,36.82,0.76,1030.0,0.05,2,33.91,60.71,39.3999,-8.2245
Portugal,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.09,rain,60.37,30.86,36.55,0.77,1032.2,0.34,2,32.92,60.37,39.3999,-8.2245
Portugal,,1/8/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,61.2,43.11,33.28,0.69,1030.5,0.13,2,30.86,61.2,39.3999,-8.2245
Portugal,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0001,0.0006,0.05,rain,63.98,38.05,45.48,0.82,1029.2,0.57,2,43.09,63.98,39.3999,-8.2245
Portugal,,1/10/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.03,rain,61.36,34.95,35.88,0.69,1030.3,0.05,2,37.12,61.36,39.3999,-8.2245
Portugal,,1/11/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.03,rain,60.57,31.14,33.53,0.67,1031.7,0.0,2,34.95,60.57,39.3999,-8.2245
Portugal,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0001,0.0003,0.04,rain,58.71,32.59,32.97,0.71,1031.6,0.15,2,31.14,58.71,39.3999,-8.2245
Portugal,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0015,0.03,rain,57.41,44.22,36.57,0.78,1026.9,0.82,2,32.59,57.41,39.3999,-8.2245
Portugal,,1/14/2020,Light rain starting in the afternoon.,rain,0.65,0.0054,0.018000000000000002,0.73,rain,54.67,50.98,44.71,0.85,1021.2,0.92,2,44.22,54.67,39.3999,-8.2245
Portugal,,1/15/2020,Light rain in the morning and afternoon.,rain,0.69,0.0171,0.0514,0.98,rain,62.13,50.86,52.34,0.9,1020.9,0.87,2,51.04,62.13,39.3999,-8.2245
Portugal,,1/16/2020,Light rain in the afternoon and evening.,rain,0.72,0.0174,0.0775,0.86,rain,64.69,45.74,50.62,0.84,1023.3,0.81,2,50.86,64.69,39.3999,-8.2245
Portugal,,1/17/2020,Light rain overnight.,rain,0.76,0.0005,0.0114,0.37,rain,61.79,51.18,47.16,0.84,1031.3,0.61,2,45.74,61.79,39.3999,-8.2245
Portugal,,1/18/2020,Rain in the morning.,rain,0.8,0.0261,0.142,0.9,rain,62.27,46.68,52.89,0.91,1026.7,0.82,2,49.68,62.27,39.3999,-8.2245
