Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Puerto Rico,,12/31/2019,Rain until evening.,rain,0.19,0.0358,0.3462,0.94,rain,74.6,63.43,66.44,0.98,1015.2,0.5,7,62.97,74.6,18.2,-66.5
Puerto Rico,,1/1/2020,Mostly cloudy throughout the day.,rain,0.22,0.0021,0.0101,0.58,rain,72.44,63.78,66.44,1.0,1015.6,0.52,5,63.43,72.44,18.2,-66.5
Puerto Rico,,1/2/2020,Rain in the evening and overnight.,rain,0.25,0.0035,0.0208,0.54,rain,74.35,64.09,66.38,0.97,1016.7,0.63,6,63.78,74.35,18.2,-66.5
Puerto Rico,,1/3/2020,Light rain until evening.,rain,0.28,0.0241,0.1001,0.84,rain,71.83,62.13,66.39,1.0,1018.4,0.71,5,63.4,71.83,18.2,-66.5
Puerto Rico,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.31,0.0009,0.006,0.2,rain,72.05,60.49,63.8,0.95,1018.7,0.43,5,61.31,72.05,18.2,-66.5
Puerto Rico,,1/5/2020,Possible light rain throughout the day.,rain,0.34,0.0035,0.0343,0.59,rain,73.44,61.44,63.65,0.95,1017.0,0.45,6,60.49,73.44,18.2,-66.5
Puerto Rico,,1/6/2020,Light rain until evening.,rain,0.37,0.0168,0.0797,0.86,rain,72.64,60.41,64.74,0.98,1016.1,0.69,5,61.44,72.64,18.2,-66.5
Puerto Rico,,1/7/2020,Possible drizzle in the morning.,rain,0.4,0.001,0.0071,0.66,rain,74.51,60.8,62.78,0.91,1017.3,0.28,7,60.41,74.51,18.2,-66.5
Puerto Rico,,1/8/2020,Possible light rain in the morning and afternoon.,rain,0.44,0.0041,0.0171,0.63,rain,73.11,61.86,65.01,0.98,1019.2,0.34,6,60.8,73.11,18.2,-66.5
Puerto Rico,,1/9/2020,Rain throughout the day.,rain,0.47,0.01,0.1217,0.75,rain,73.29,62.02,64.88,0.96,1020.5,0.49,6,61.86,73.29,18.2,-66.5
Puerto Rico,,1/10/2020,Light rain starting in the afternoon.,rain,0.51,0.0052,0.0177,0.68,rain,71.44,61.76,63.53,0.92,1020.5,0.47,6,62.2,71.44,18.2,-66.5
Puerto Rico,,1/11/2020,Partly cloudy throughout the day.,rain,0.55,0.0033,0.0162,0.65,rain,70.22,62.82,62.86,0.91,1020.4,0.35,6,61.75,70.22,18.2,-66.5
Puerto Rico,,1/12/2020,Rain in the afternoon and evening.,rain,0.58,0.0149,0.1604,0.81,rain,72.42,61.84,64.12,0.93,1020.6,0.53,6,62.82,72.42,18.2,-66.5
Puerto Rico,,1/13/2020,Light rain starting in the afternoon.,rain,0.62,0.0037,0.0171,0.67,rain,72.06,60.18,62.63,0.92,1020.5,0.52,6,61.84,72.06,18.2,-66.5
Puerto Rico,,1/14/2020,Light rain until evening.,rain,0.66,0.0074,0.0502,0.93,rain,71.28,60.9,62.11,0.91,1018.6,0.49,6,60.18,71.28,18.2,-66.5
Puerto Rico,,1/15/2020,Possible drizzle throughout the day.,rain,0.69,0.0033,0.0073,0.88,rain,71.33,59.58,63.32,0.95,1017.5,0.52,5,60.89,71.33,18.2,-66.5
Puerto Rico,,1/16/2020,Possible drizzle in the evening and overnight.,rain,0.73,0.0016,0.0134,0.45,rain,73.51,59.73,61.32,0.89,1018.8,0.27,7,59.58,73.51,18.2,-66.5
