Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Qatar,,12/31/2019,Clear throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.05,rain,77.38,59.24,55.4,0.66,1015.2,0.52,5,59.01,77.38,25.3548,51.1839
Qatar,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.07,rain,78.93,60.72,54.28,0.65,1018.3,0.81,4,59.24,78.93,25.3548,51.1839
Qatar,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,86.33,66.63,56.2,0.62,1017.1,0.14,5,60.72,86.33,25.3548,51.1839
Qatar,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0004,0.09,rain,89.14,64.86,45.14,0.36,1013.1,0.01,6,66.63,89.14,25.3548,51.1839
Qatar,,1/4/2020,Mostly cloudy throughout the day.,rain,0.33,0.0018,0.0122,0.42,rain,72.09,57.91,58.34,0.76,1013.8,0.73,4,60.39,72.09,25.3548,51.1839
Qatar,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0001,0.0003,0.04,rain,72.21,56.4,51.31,0.65,1018.7,0.31,5,58.29,72.21,25.3548,51.1839
Qatar,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.08,rain,72.94,52.73,52.0,0.68,1020.6,0.16,5,56.4,72.94,25.3548,51.1839
Qatar,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,74.82,59.51,49.19,0.63,1018.2,0.24,5,52.73,74.82,25.3548,51.1839
Qatar,,1/8/2020,Light rain in the evening and overnight.,rain,0.46,0.0038,0.0265,0.65,rain,72.74,59.75,54.85,0.7,1014.7,0.73,4,59.5,72.74,25.3548,51.1839
Qatar,,1/9/2020,Drizzle in the morning.,rain,0.5,0.0046,0.0125,0.84,rain,70.49,58.55,62.31,0.89,1010.2,0.86,4,60.8,70.49,25.3548,51.1839
Qatar,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0002,0.0012,0.18,rain,66.66,55.54,47.54,0.62,1013.0,0.02,5,57.77,66.66,25.3548,51.1839
Qatar,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.04,rain,65.8,50.15,42.07,0.53,1020.5,0.0,5,53.61,65.8,25.3548,51.1839
Qatar,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.04,rain,69.0,46.87,37.76,0.5,1020.3,0.05,5,48.85,69.0,25.3548,51.1839
Qatar,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0001,0.01,,69.81,55.2,37.84,0.47,1019.0,0.03,5,46.87,69.81,25.3548,51.1839
