Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Republic of the Congo,,12/31/2019,Humid and overcast throughout the day.,rain,0.21,0.0023,0.0151,0.31,rain,90.78,70.84,70.54,0.76,1008.9,0.96,6,72.16,90.78,-1.44,15.556
Republic of the Congo,,1/1/2020,Possible light rain in the evening.,rain,0.24,0.0148,0.1004,0.45,rain,90.66,71.23,70.2,0.77,1009.6,0.98,6,70.84,90.66,-1.44,15.556
Republic of the Congo,,1/2/2020,Humid and overcast throughout the day.,rain,0.27,0.0044,0.0207,0.44,rain,90.4,67.8,66.1,0.71,1011.0,0.97,6,71.23,90.4,-1.44,15.556
Republic of the Congo,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.11,rain,90.49,70.39,61.55,0.59,1011.2,0.86,6,67.8,90.49,-1.44,15.556
Republic of the Congo,,1/4/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0002,0.11,rain,90.97,72.09,68.29,0.71,1011.1,0.68,9,70.39,90.97,-1.44,15.556
Republic of the Congo,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0003,0.003,0.06,rain,93.93,70.83,67.66,0.66,1009.4,0.58,12,72.09,93.93,-1.44,15.556
Republic of the Congo,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0006,0.0054,0.13,rain,92.37,71.18,65.1,0.6,1009.3,0.87,7,70.83,92.37,-1.44,15.556
Republic of the Congo,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0004,0.0019,0.13,rain,93.42,72.31,67.14,0.63,1010.1,0.74,9,71.18,93.42,-1.44,15.556
Republic of the Congo,,1/8/2020,Possible light rain and humid throughout the day.,rain,0.47,0.0138,0.0374,0.84,rain,81.68,67.88,71.73,0.86,1011.6,0.87,6,72.17,81.68,-1.44,15.556
Republic of the Congo,,1/9/2020,Rain in the morning.,rain,0.5,0.0202,0.1023,0.83,rain,77.98,67.84,69.36,0.92,1013.6,0.82,6,68.14,77.98,-1.44,15.556
Republic of the Congo,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0007,0.0055,0.15,rain,89.5,67.96,68.06,0.76,1012.9,0.86,7,67.84,89.5,-1.44,15.556
Republic of the Congo,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0009,0.0061,0.22,rain,91.28,69.54,67.11,0.7,1011.9,0.57,10,67.96,91.28,-1.44,15.556
Republic of the Congo,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0007,0.0045,0.17,rain,94.1,70.04,67.56,0.66,1010.2,0.39,10,69.54,94.1,-1.44,15.556
Republic of the Congo,,1/13/2020,Partly cloudy throughout the day.,clear-day,0.65,0.0003,0.0016,0.08,rain,95.47,73.21,68.0,0.64,1008.6,0.3,10,70.04,95.47,-1.44,15.556
Republic of the Congo,,1/14/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.69,0.001,0.0051,0.19,rain,95.5,72.99,69.46,0.65,1008.6,0.54,10,73.21,95.5,-1.44,15.556
Republic of the Congo,,1/15/2020,Humid and mostly cloudy throughout the day.,rain,0.72,0.0048,0.0393,0.42,rain,93.39,71.16,70.66,0.7,1009.5,0.8,7,72.99,93.39,-1.44,15.556
Republic of the Congo,,1/16/2020,Possible light rain in the afternoon and evening.,rain,0.76,0.0141,0.0645,0.79,rain,91.02,71.87,71.94,0.84,1010.7,0.77,11,71.16,91.02,-1.44,15.556
