Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Reunion,,12/31/2019,Foggy overnight.,rain,0.21,0.0075,0.021,0.53,rain,72.84,60.83,65.29,0.99,1006.1,0.32,12,61.82,72.84,-21.1151,55.5364
Reunion,,1/1/2020,Foggy in the morning and afternoon.,rain,0.24,0.0101,0.0236,0.55,rain,69.45,61.69,64.55,1.0,1011.2,0.85,7,60.83,69.45,-21.1151,55.5364
Reunion,,1/2/2020,Possible light rain starting in the afternoon.,rain,0.27,0.013999999999999999,0.0493,0.65,rain,67.92,59.13,62.19,0.96,1014.1,0.88,6,59.9,67.92,-21.1151,55.5364
Reunion,,1/3/2020,Rain throughout the day.,rain,0.3,0.0401,0.1355,0.87,rain,63.58,60.11,61.3,1.0,1012.6,1.0,6,59.09,63.58,-21.1151,55.5364
Reunion,,1/4/2020,Light rain throughout the day.,rain,0.33,0.0332,0.0795,0.87,rain,66.36,59.54,61.66,1.0,1010.3,1.0,6,59.56,66.36,-21.1151,55.5364
Reunion,,1/5/2020,Possible light rain in the morning and afternoon.,rain,0.36,0.0079,0.024,0.77,rain,68.53,61.06,64.78,1.0,1010.9,0.89,8,62.6,68.53,-21.1151,55.5364
Reunion,,1/6/2020,Possible light rain in the afternoon.,rain,0.39,0.0074,0.0273,0.54,rain,70.8,61.79,65.17,1.0,1012.2,0.78,8,61.06,70.8,-21.1151,55.5364
Reunion,,1/7/2020,Possible drizzle in the morning.,rain,0.43,0.0055,0.0121,0.56,rain,72.04,60.24,64.6,0.98,1012.6,0.9,7,61.4,72.04,-21.1151,55.5364
Reunion,,1/8/2020,Mostly cloudy throughout the day.,rain,0.46,0.0016,0.0096,0.42,rain,71.48,57.45,62.43,0.96,1012.5,0.74,8,60.07,71.48,-21.1151,55.5364
Reunion,,1/9/2020,Foggy in the afternoon and evening.,rain,0.5,0.001,0.0029,0.25,rain,69.68,58.48,59.2,0.9,1012.3,0.41,13,57.64,69.68,-21.1151,55.5364
Reunion,,1/10/2020,Possible light rain in the afternoon and evening.,rain,0.53,0.0143,0.053,0.62,rain,70.58,59.91,62.28,0.96,1012.1,0.48,10,58.48,70.58,-21.1151,55.5364
Reunion,,1/11/2020,Possible light rain in the afternoon.,rain,0.57,0.0103,0.0442,0.59,rain,71.03,59.52,64.14,0.99,1012.0,0.37,11,59.91,71.03,-21.1151,55.5364
Reunion,,1/12/2020,Mostly cloudy throughout the day.,rain,0.61,0.006,0.0164,0.56,rain,72.33,60.49,63.12,0.94,1012.5,0.62,7,59.52,72.33,-21.1151,55.5364
Reunion,,1/13/2020,Possible light rain in the evening.,rain,0.64,0.0051,0.0217,0.51,rain,74.26,62.6,63.65,0.93,1013.3,0.75,7,60.49,74.26,-21.1151,55.5364
Reunion,,1/14/2020,Mostly cloudy throughout the day.,rain,0.68,0.0057,0.0305,0.49,rain,74.81,62.51,65.73,0.96,1014.7,0.6,9,62.6,74.81,-21.1151,55.5364
Reunion,,1/15/2020,Possible light rain starting in the afternoon.,rain,0.72,0.0098,0.0247,0.66,rain,73.55,62.05,65.98,0.98,1014.4,0.59,9,62.51,73.55,-21.1151,55.5364
Reunion,,1/16/2020,Rain until evening.,rain,0.76,0.0279,0.1217,0.84,rain,70.13,62.73,64.91,1.0,1012.6,0.93,7,62.05,70.13,-21.1151,55.5364
