Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Romania,,12/31/2019,Possible light snow (1–2 in.) in the afternoon.,snow,0.21,0.0044,0.0119,0.45,snow,31.83,24.1,22.77,0.83,1030.0,0.93,1,21.37,31.83,45.9432,24.9668
Romania,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0002,0.0011,0.18,snow,36.41,16.65,21.52,0.79,1033.2,0.75,1,21.64,36.41,45.9432,24.9668
Romania,,1/2/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0,0.0,0.0,,34.45,16.23,15.47,0.7,1028.5,0.24,1,16.65,34.45,45.9432,24.9668
Romania,,1/3/2020,Foggy overnight.,partly-cloudy-day,0.3,0.0007,0.0055,0.14,snow,35.25,26.38,16.48,0.7,1021.0,0.54,1,16.23,35.25,45.9432,24.9668
Romania,,1/4/2020,Possible light snow (1–3 in.) in the morning.,snow,0.33,0.0111,0.0271,0.64,snow,29.42,17.4,23.74,0.86,1020.7,1.0,1,23.79,29.42,45.9432,24.9668
Romania,,1/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.36,0.0012,0.0043,0.16,snow,28.01,12.45,16.31,0.8,1030.7,0.69,1,16.4,28.01,45.9432,24.9668
Romania,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.09,snow,27.87,13.17,10.24,0.69,1031.0,0.0,1,12.46,27.87,45.9432,24.9668
Romania,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.01,,29.01,12.88,9.81,0.66,1033.5,0.04,1,13.16,29.01,45.9432,24.9668
Romania,,1/8/2020,Overcast throughout the day.,partly-cloudy-day,0.46,0.0,0.0,0.0,,30.06,20.55,11.4,0.66,1031.3,0.57,1,12.88,30.06,45.9432,24.9668
Romania,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.05,snow,39.06,21.46,22.67,0.79,1024.6,0.6,1,20.55,39.06,45.9432,24.9668
Romania,,1/10/2020,Clear throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.05,snow,37.4,23.18,22.87,0.82,1026.6,0.33,1,21.46,37.4,45.9432,24.9668
Romania,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0002,0.0009,0.09,snow,37.83,24.45,24.63,0.82,1031.2,0.42,1,23.69,37.83,45.9432,24.9668
Romania,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,snow,36.64,22.82,21.47,0.81,1029.6,0.41,1,19.34,36.64,45.9432,24.9668
Romania,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0001,0.0003,0.01,snow,34.08,18.79,19.34,0.72,1028.2,0.49,1,22.82,34.08,45.9432,24.9668
Romania,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.01,,34.02,18.94,18.67,0.74,1032.0,0.34,1,18.79,34.02,45.9432,24.9668
Romania,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.02,snow,37.35,18.68,16.4,0.66,1031.9,0.32,1,19.45,37.35,45.9432,24.9668
