Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Russia,,12/31/2019,Foggy throughout the day.,fog,0.2,0.002,0.0055,0.18,snow,9.01,8.02,-2.79,0.74,1016.3,0.99,0,-4.51,15.07,60.0,90.0
Russia,,1/1/2020,Foggy throughout the day.,snow,0.23,0.006,0.0145,0.44,snow,22.55,17.09,15.62,0.85,1010.1,1.0,0,15.69,22.55,60.0,90.0
Russia,,1/2/2020,Possible light snow (2–4 in.) until evening.,snow,0.26,0.0092,0.0187,0.69,snow,30.04,3.08,20.86,0.88,1008.4,1.0,0,17.09,30.04,60.0,90.0
Russia,,1/3/2020,Foggy starting in the afternoon.,partly-cloudy-day,0.29,0.0008,0.0034,0.22,snow,16.39,15.4,7.56,0.81,1014.4,0.76,0,2.45,20.47,60.0,90.0
Russia,,1/4/2020,Foggy throughout the day.,snow,0.32,0.0029,0.0072,0.25,snow,25.41,19.57,16.89,0.82,1014.1,1.0,0,15.83,25.41,60.0,90.0
Russia,,1/5/2020,Foggy throughout the day.,fog,0.35,0.0008,0.0018,0.12,snow,22.32,17.31,15.97,0.81,1018.3,0.99,0,18.32,24.38,60.0,90.0
Russia,,1/6/2020,Foggy throughout the day.,fog,0.39,0.0016,0.0032,0.1,snow,21.42,13.29,13.42,0.79,1021.4,0.97,0,16.61,21.42,60.0,90.0
Russia,,1/7/2020,Foggy throughout the day.,snow,0.42,0.002,0.0042,0.35,snow,16.7,4.33,11.34,0.86,1026.6,0.94,0,11.4,17.55,60.0,90.0
Russia,,1/8/2020,Overcast throughout the day.,cloudy,0.46,0.0003,0.0008,0.15,snow,9.45,0.62,2.09,0.79,1029.9,0.95,0,2.68,11.52,60.0,90.0
Russia,,1/9/2020,Foggy overnight.,cloudy,0.49,0.0003,0.0009,0.07,snow,8.49,-1.14,-3.87,0.7,1031.0,0.92,0,0.62,8.49,60.0,90.0
Russia,,1/10/2020,Foggy throughout the day.,fog,0.53,0.0006,0.002,0.12,snow,5.1,-0.03,-6.83,0.66,1028.0,0.99,0,-1.25,5.1,60.0,90.0
Russia,,1/11/2020,Foggy throughout the day.,snow,0.57,0.0014,0.0052,0.27,snow,6.07,3.47,-4.17,0.69,1021.1,1.0,0,-0.16,6.07,60.0,90.0
Russia,,1/12/2020,Foggy throughout the day.,snow,0.6,0.0035,0.006,0.3,snow,10.76,4.64,-0.89,0.72,1014.5,0.97,0,3.32,10.76,60.0,90.0
Russia,,1/13/2020,Foggy throughout the day.,snow,0.64,0.0036,0.0129,0.39,snow,14.99,14.0,5.06,0.81,1013.7,0.96,0,4.63,17.0,60.0,90.0
Russia,,1/14/2020,Foggy throughout the day.,snow,0.68,0.0061,0.013999999999999999,0.46,snow,17.34,14.09,11.16,0.81,1015.6,0.98,0,14.09,18.11,60.0,90.0
Russia,,1/15/2020,Foggy throughout the day.,snow,0.71,0.0045,0.0098,0.51,snow,18.83,14.59,12.96,0.84,1015.7,0.94,0,15.3,18.83,60.0,90.0
Russia,,1/16/2020,Foggy throughout the day.,snow,0.75,0.0044,0.0142,0.33,snow,18.95,17.37,11.32,0.77,1005.5,0.99,0,14.57,19.08,60.0,90.0
