Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Rwanda,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0004,0.0027,0.07,rain,81.5,56.67,57.21,0.69,1009.1,0.77,11,56.57,81.5,-1.9403,29.8739
Rwanda,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0003,0.0009,0.17,rain,83.13,57.98,55.81,0.64,1009.0,0.77,7,56.67,83.13,-1.9403,29.8739
Rwanda,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0008,0.003,0.19,rain,83.36,60.03,56.12,0.64,1010.2,0.94,6,57.98,83.36,-1.9403,29.8739
Rwanda,,1/3/2020,Overcast throughout the day.,rain,0.3,0.0036,0.0124,0.46,rain,79.86,54.38,58.21,0.74,1010.0,0.89,7,58.58,79.86,-1.9403,29.8739
Rwanda,,1/4/2020,Possible light rain in the afternoon and evening.,rain,0.33,0.0095,0.0349,0.59,rain,80.03,56.7,57.41,0.76,1011.7,0.54,9,54.19,80.03,-1.9403,29.8739
Rwanda,,1/5/2020,Overcast throughout the day.,rain,0.36,0.0027,0.0126,0.3,rain,77.49,57.24,58.07,0.76,1012.5,0.94,7,56.7,77.49,-1.9403,29.8739
Rwanda,,1/6/2020,Mostly cloudy throughout the day.,rain,0.39,0.0044,0.0192,0.33,rain,79.65,56.57,58.89,0.78,1012.2,0.82,9,57.24,79.65,-1.9403,29.8739
Rwanda,,1/7/2020,Possible light rain in the morning and afternoon.,rain,0.43,0.0058,0.0318,0.61,rain,73.18,57.25,59.21,0.85,1013.0,0.79,7,56.57,73.18,-1.9403,29.8739
Rwanda,,1/8/2020,Possible light rain in the afternoon and evening.,rain,0.46,0.0174,0.0678,0.6,rain,77.3,56.45,59.1,0.78,1012.3,0.79,9,57.25,77.3,-1.9403,29.8739
Rwanda,,1/9/2020,Possible light rain in the afternoon and evening.,rain,0.5,0.0096,0.0312,0.59,rain,77.63,53.84,59.21,0.8,1011.7,0.72,8,55.22,77.63,-1.9403,29.8739
Rwanda,,1/10/2020,Possible light rain in the afternoon and evening.,rain,0.54,0.0106,0.0465,0.66,rain,78.26,55.27,58.44,0.83,1012.4,0.43,13,53.84,78.26,-1.9403,29.8739
Rwanda,,1/11/2020,Possible light rain starting in the afternoon.,rain,0.57,0.0275,0.0686,0.8,rain,76.59,58.4,60.1,0.88,1013.0,0.68,11,55.27,76.59,-1.9403,29.8739
Rwanda,,1/12/2020,Possible drizzle in the morning.,rain,0.61,0.0073,0.0528,0.71,rain,76.53,57.51,60.56,0.84,1012.7,0.87,8,58.4,76.53,-1.9403,29.8739
Rwanda,,1/13/2020,Partly cloudy throughout the day.,rain,0.65,0.0039,0.0157,0.31,rain,80.11,56.95,59.27,0.75,1011.5,0.52,11,57.51,80.11,-1.9403,29.8739
Rwanda,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0018,0.0074,0.18,rain,81.55,56.64,57.99,0.71,1011.3,0.46,11,56.95,81.55,-1.9403,29.8739
Rwanda,,1/15/2020,Partly cloudy throughout the day.,rain,0.72,0.004,0.0139,0.27,rain,82.78,61.26,58.63,0.73,1011.7,0.52,11,56.64,82.78,-1.9403,29.8739
Rwanda,,1/16/2020,Overcast throughout the day.,rain,0.76,0.0112,0.0507,0.47,rain,78.35,60.55,61.56,0.8,1011.3,1.0,7,61.26,78.35,-1.9403,29.8739
Rwanda,,1/17/2020,Mostly cloudy throughout the day.,rain,0.79,0.0116,0.0427,0.46,rain,80.27,62.51,60.89,0.77,1011.7,0.92,9,60.55,80.27,-1.9403,29.8739
Rwanda,,1/18/2020,Overcast throughout the day.,rain,0.83,0.0075,0.0274,0.41,rain,75.96,59.93,62.03,0.83,1012.7,0.99,7,62.51,75.96,-1.9403,29.8739
Rwanda,,1/19/2020,Mostly cloudy throughout the day.,cloudy,0.86,0.0017,0.0091,0.19,rain,82.05,62.39,59.38,0.71,1011.5,0.9,7,59.93,82.05,-1.9403,29.8739
Rwanda,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.9,0.0017,0.006999999999999999,0.17,rain,83.23,61.53,59.1,0.67,1010.8,0.85,8,62.39,83.23,-1.9403,29.8739
Rwanda,,1/21/2020,Overcast throughout the day.,cloudy,0.93,0.0027,0.0118,0.2,rain,84.11,60.88,59.7,0.71,1010.5,0.94,8,61.53,84.11,-1.9403,29.8739
Rwanda,,1/22/2020,Possible light rain overnight.,rain,0.96,0.0073,0.0207,0.4,rain,78.52,61.87,60.82,0.78,1011.5,0.96,6,60.88,78.52,-1.9403,29.8739
Rwanda,,1/23/2020,Overcast throughout the day.,rain,1.0,0.009000000000000001,0.026000000000000002,0.59,rain,74.7,61.21,62.53,0.88,1013.1,0.92,7,61.87,74.7,-1.9403,29.8739
Rwanda,,1/24/2020,Overcast throughout the day.,rain,0.03,0.0008,0.0023,0.25,rain,78.26,61.21,59.33,0.73,1012.2,0.98,6,61.21,78.26,-1.9403,29.8739
Rwanda,,1/25/2020,Mostly cloudy throughout the day.,rain,0.06,0.0009,0.0044,0.26,rain,82.34,60.31,58.17,0.68,1011.2,0.89,10,61.21,82.34,-1.9403,29.8739
Rwanda,,1/26/2020,Overcast throughout the day.,rain,0.09,0.0044,0.0161,0.41,rain,79.9,60.56,59.73,0.77,1011.4,0.98,6,60.31,79.9,-1.9403,29.8739
Rwanda,,1/27/2020,Light rain throughout the day.,rain,0.12,0.0228,0.0596,0.83,rain,67.13,59.31,62.13,0.97,1013.2,0.96,6,60.56,67.13,-1.9403,29.8739
Rwanda,,1/28/2020,Possible light rain in the afternoon and evening.,rain,0.15,0.0128,0.0409,0.7,rain,71.97,59.09,62.23,0.95,1013.5,0.98,6,59.31,71.97,-1.9403,29.8739
