Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Saint Lucia,,12/31/2019,Clear throughout the day.,clear-day,0.19,0.0002,0.0011,0.13,rain,81.75,73.44,69.3,0.76,1013.6,0.15,8,74.24,81.75,13.9094,-60.9789
Saint Lucia,,1/1/2020,Clear throughout the day.,clear-day,0.22,0.0007,0.0024,0.24,rain,81.5,74.09,69.78,0.78,1014.0,0.2,8,73.44,81.5,13.9094,-60.9789
Saint Lucia,,1/2/2020,Possible drizzle in the morning.,rain,0.25,0.0035,0.0108,0.48,rain,80.75,72.67,69.53,0.79,1014.5,0.45,6,74.09,80.75,13.9094,-60.9789
Saint Lucia,,1/3/2020,Clear throughout the day.,rain,0.28,0.0028,0.0094,0.37,rain,79.1,72.8,69.42,0.8,1015.6,0.17,8,72.67,79.1,13.9094,-60.9789
Saint Lucia,,1/4/2020,Possible light rain in the evening.,rain,0.31,0.005,0.0221,0.45,rain,80.26,72.83,69.36,0.8,1015.5,0.29,7,72.8,80.26,13.9094,-60.9789
Saint Lucia,,1/5/2020,Possible drizzle in the morning.,rain,0.34,0.0052,0.0147,0.6,rain,80.46,73.71,70.2,0.83,1014.2,0.33,8,72.83,80.46,13.9094,-60.9789
Saint Lucia,,1/6/2020,Clear throughout the day.,rain,0.37,0.0022,0.0156,0.43,rain,80.62,73.37,70.1,0.81,1013.6,0.28,8,73.53,80.62,13.9094,-60.9789
Saint Lucia,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0004,0.0031,0.18,rain,80.83,73.49,68.3,0.75,1015.1,0.13,8,73.37,80.83,13.9094,-60.9789
Saint Lucia,,1/8/2020,Partly cloudy throughout the day.,rain,0.44,0.0013,0.0046,0.26,rain,80.46,73.56,69.55,0.79,1016.6,0.32,7,73.49,80.46,13.9094,-60.9789
Saint Lucia,,1/9/2020,Partly cloudy throughout the day.,rain,0.47,0.0046,0.0114,0.4,rain,80.66,74.19,70.15,0.81,1016.7,0.4,7,73.56,80.66,13.9094,-60.9789
Saint Lucia,,1/10/2020,Clear throughout the day.,rain,0.51,0.0013,0.0061,0.26,rain,80.21,73.52,68.56,0.76,1016.4,0.18,8,74.19,80.21,13.9094,-60.9789
Saint Lucia,,1/11/2020,Possible light rain overnight.,rain,0.55,0.005,0.0134,0.4,rain,79.33,73.26,69.76,0.82,1016.4,0.31,7,73.52,79.33,13.9094,-60.9789
Saint Lucia,,1/12/2020,Possible drizzle in the morning.,rain,0.58,0.0103,0.0215,0.73,rain,78.5,72.38,69.22,0.81,1016.7,0.38,7,73.26,78.5,13.9094,-60.9789
Saint Lucia,,1/13/2020,Possible light rain in the evening and overnight.,rain,0.62,0.0087,0.0172,0.69,rain,78.92,72.76,68.66,0.8,1015.7,0.43,8,72.38,78.92,13.9094,-60.9789
Saint Lucia,,1/14/2020,Possible light rain in the morning.,rain,0.66,0.0081,0.0197,0.75,rain,80.15,73.33,69.4,0.8,1014.5,0.34,8,72.76,80.15,13.9094,-60.9789
Saint Lucia,,1/15/2020,Partly cloudy throughout the day.,rain,0.69,0.0039,0.0099,0.47,rain,79.52,73.26,69.86,0.81,1014.2,0.35,7,73.33,79.52,13.9094,-60.9789
Saint Lucia,,1/16/2020,Clear throughout the day.,rain,0.73,0.0018,0.0078,0.35,rain,79.96,72.71,69.34,0.8,1015.6,0.23,8,73.26,79.96,13.9094,-60.9789
Saint Lucia,,1/17/2020,Clear throughout the day.,clear-day,0.77,0.0005,0.002,0.17,rain,80.37,72.51,69.34,0.8,1016.2,0.16,9,72.71,80.37,13.9094,-60.9789
