Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Saint Vincent and the Grenadines,,12/31/2019,Humid throughout the day.,clear-day,0.19,0.0003,0.0054,0.16,rain,83.8,77.4,72.31,0.76,1013.3,0.25,9,78.24,83.8,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/1/2020,Humid throughout the day.,clear-day,0.22,0.0006,0.0021,0.17,rain,83.29,78.08,72.33,0.76,1013.9,0.24,7,77.4,83.29,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/2/2020,Humid and partly cloudy throughout the day.,rain,0.25,0.002,0.0102,0.3,rain,83.47,77.62,72.04,0.76,1014.1,0.5,7,78.08,83.47,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/3/2020,Humid and partly cloudy throughout the day.,clear-day,0.28,0.0011,0.0043,0.21,rain,82.4,77.75,71.53,0.75,1015.4,0.29,7,77.62,82.4,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/4/2020,Humid throughout the day.,clear-day,0.31,0.0015,0.0046,0.24,rain,82.57,76.23,71.24,0.75,1015.5,0.27,8,77.75,82.57,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/5/2020,Possible light rain overnight.,rain,0.34,0.0033,0.0208,0.46,rain,82.61,76.77,71.72,0.77,1014.0,0.37,9,76.23,82.61,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/6/2020,Possible light rain in the morning.,rain,0.37,0.0089,0.0369,0.63,rain,83.13,77.8,73.35,0.8,1013.0,0.42,8,76.77,83.13,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/7/2020,Humid throughout the day.,clear-day,0.4,0.0001,0.0004,0.16,rain,82.91,77.67,71.68,0.75,1014.8,0.15,8,77.8,82.91,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/8/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0006,0.0015,0.23,rain,82.67,77.13,72.36,0.77,1016.3,0.34,8,77.67,82.67,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/9/2020,Windy overnight.,rain,0.47,0.0061,0.0237,0.43,rain,82.82,77.46,72.56,0.78,1016.0,0.47,7,77.13,82.82,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/10/2020,Windy and humid throughout the day.,rain,0.51,0.0011,0.0082,0.33,rain,83.55,77.95,71.08,0.74,1015.9,0.27,8,77.49,83.55,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/11/2020,Humid and partly cloudy throughout the day.,rain,0.55,0.0042,0.0152,0.4,rain,82.2,77.64,72.24,0.78,1015.9,0.32,8,77.95,82.2,12.9843,-61.2872
Saint Vincent and the Grenadines,,1/12/2020,Possible drizzle in the morning.,rain,0.58,0.0069,0.0196,0.63,rain,81.98,76.83,72.02,0.78,1016.2,0.37,7,77.64,81.98,12.9843,-61.2872
