Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
San Marino,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.07,rain,48.86,33.77,28.47,0.65,1030.9,0.07,1,33.81,48.86,43.9424,12.4578
San Marino,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.14,rain,48.68,33.55,33.09,0.78,1031.8,0.11,1,33.77,48.68,43.9424,12.4578
San Marino,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0,0.0003,0.02,,49.08,38.58,32.05,0.72,1027.9,0.46,1,33.55,49.08,43.9424,12.4578
San Marino,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.16,rain,50.65,35.7,38.92,0.86,1023.2,0.66,1,38.58,50.65,43.9424,12.4578
San Marino,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.08,rain,48.75,33.71,32.96,0.73,1027.6,0.01,1,35.7,48.75,43.9424,12.4578
San Marino,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,45.28,30.65,29.8,0.71,1031.2,0.23,1,33.62,45.28,43.9424,12.4578
San Marino,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.15,rain,42.39,31.02,30.93,0.83,1027.1,0.41,1,30.65,42.39,43.9424,12.4578
San Marino,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,45.54,33.49,30.32,0.77,1030.6,0.21,1,31.02,45.54,43.9424,12.4578
San Marino,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.02,,50.07,35.0,27.48,0.61,1028.2,0.06,1,33.49,50.07,43.9424,12.4578
San Marino,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.08,rain,52.69,34.63,35.95,0.81,1025.0,0.04,1,35.0,52.69,43.9424,12.4578
San Marino,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.08,rain,46.97,37.15,36.01,0.86,1027.2,0.09,1,34.63,46.97,43.9424,12.4578
San Marino,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.13,rain,47.49,33.4,35.4,0.83,1028.0,0.31,1,35.03,47.49,43.9424,12.4578
San Marino,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0,0.0002,0.03,,47.0,33.04,33.96,0.84,1026.3,0.44,1,33.49,47.0,43.9424,12.4578
San Marino,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,47.71,36.09,32.8,0.79,1026.2,0.47,1,33.04,47.71,43.9424,12.4578
San Marino,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.02,,48.87,36.03,35.8,0.84,1028.2,0.54,1,36.09,48.87,43.9424,12.4578
San Marino,,1/15/2020,Overcast throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.06,,48.33,34.75,36.5,0.86,1029.2,0.79,1,36.03,48.33,43.9424,12.4578
San Marino,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.07,rain,49.87,40.66,36.76,0.84,1025.8,0.63,1,34.75,49.87,43.9424,12.4578
San Marino,,1/17/2020,Light rain throughout the day.,rain,0.8,0.0137,0.0457,0.99,rain,43.23,38.17,39.77,0.93,1021.5,0.98,1,38.53,44.38,43.9424,12.4578
San Marino,,1/18/2020,Possible drizzle in the morning.,rain,0.83,0.0044,0.0246,0.83,rain,43.83,37.33,35.69,0.85,1026.7,0.95,1,38.17,43.83,43.9424,12.4578
San Marino,,1/19/2020,Possible drizzle in the morning.,rain,0.87,0.0014,0.006999999999999999,0.52,rain,40.99,36.27,33.45,0.81,1038.2,0.92,1,37.33,40.99,43.9424,12.4578
San Marino,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0009,0.15,rain,44.49,32.65,33.81,0.82,1041.1,0.67,1,34.38,44.49,43.9424,12.4578
San Marino,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.03,,48.53,35.15,34.73,0.85,1034.3,0.61,1,32.65,48.53,43.9424,12.4578
San Marino,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.07,rain,47.83,33.21,35.39,0.85,1030.7,0.03,2,35.15,47.83,43.9424,12.4578
San Marino,,1/23/2020,Drizzle in the evening and overnight.,rain,1.0,0.0014,0.0109,0.45,rain,46.8,38.78,35.7,0.88,1027.8,0.27,2,33.21,46.8,43.9424,12.4578
San Marino,,1/24/2020,Drizzle until evening.,rain,0.03,0.0057,0.0133,0.93,rain,45.29,38.39,40.63,0.96,1023.7,0.99,2,38.98,45.29,43.9424,12.4578
San Marino,,1/25/2020,Overcast throughout the day.,rain,0.06,0.0007,0.0073,0.48,rain,45.45,37.16,40.39,0.96,1020.9,0.98,1,38.39,45.45,43.9424,12.4578
San Marino,,1/26/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0002,0.0004,0.19,rain,51.18,42.42,39.91,0.89,1019.1,0.58,2,37.16,51.18,43.9424,12.4578
San Marino,,1/27/2020,Dangerously windy starting in the afternoon.,wind,0.12,0.0002,0.0007,0.13,rain,57.33,46.97,40.87,0.73,1009.5,0.81,1,42.7,57.33,43.9424,12.4578
San Marino,,1/28/2020,Windy in the morning.,wind,0.15,0.0001,0.0003,0.09,rain,55.39,40.2,39.07,0.69,1010.2,0.61,1,45.05,55.39,43.9424,12.4578
San Marino,,1/29/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.1,rain,56.59,43.85,38.85,0.75,1018.8,0.46,2,40.2,56.59,43.9424,12.4578
San Marino,,1/30/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0003,0.0006,0.1,rain,54.66,46.61,43.85,0.84,1019.3,0.81,2,44.12,54.66,43.9424,12.4578
San Marino,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0003,0.0006,0.14,rain,56.59,46.35,46.36,0.85,1018.6,0.81,2,46.61,56.59,43.9424,12.4578
San Marino,,2/1/2020,Overcast throughout the day.,partly-cloudy-day,0.27,0.0001,0.0004,0.08,rain,57.05,46.92,46.32,0.86,1018.9,0.83,2,46.35,57.05,43.9424,12.4578
San Marino,,2/2/2020,Overcast throughout the day.,cloudy,0.31,0.0001,0.0003,0.09,rain,56.6,47.26,47.11,0.88,1016.8,0.96,2,46.92,56.6,43.9424,12.4578
San Marino,,2/3/2020,Dangerously windy in the morning and afternoon.,wind,0.34,0.0006,0.0035,0.15,rain,60.42,37.94,37.39,0.62,1006.9,0.46,2,40.56,60.42,43.9424,12.4578
