Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Saudi Arabia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.03,rain,77.91,58.39,44.01,0.48,1014.8,0.16,6,52.35,77.91,24.0,45.0
Saudi Arabia,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,83.07,57.0,43.3,0.41,1015.0,0.64,4,58.39,83.07,24.0,45.0
Saudi Arabia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,86.09,59.11,44.9,0.42,1015.4,0.0,6,57.0,86.09,24.0,45.0
Saudi Arabia,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0018,0.0155,0.13,rain,80.79,58.5,49.41,0.5,1013.1,0.01,6,59.11,80.79,24.0,45.0
Saudi Arabia,,1/4/2020,Overcast throughout the day.,partly-cloudy-day,0.33,0.0016,0.0072,0.15,rain,66.67,42.5,40.66,0.48,1014.2,0.62,4,49.84,66.67,24.0,45.0
Saudi Arabia,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,64.75,44.63,31.16,0.47,1020.6,0.01,6,43.15,64.75,24.0,45.0
Saudi Arabia,,1/6/2020,Partly cloudy throughout the day.,clear-day,0.39,0.0003,0.0018,0.05,rain,68.75,50.71,39.99,0.56,1020.1,0.29,5,44.63,68.75,24.0,45.0
Saudi Arabia,,1/7/2020,Clear throughout the day.,partly-cloudy-day,0.43,0.0,0.0003,0.02,,73.14,55.48,45.42,0.56,1015.7,0.32,6,50.71,73.14,24.0,45.0
Saudi Arabia,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.46,0.0001,0.0005,0.05,rain,72.2,45.32,25.91,0.28,1013.7,0.53,5,53.16,72.2,24.0,45.0
Saudi Arabia,,1/9/2020,Partly cloudy throughout the day.,clear-day,0.5,0.0001,0.0003,0.01,rain,65.29,43.01,22.79,0.3,1012.2,0.3,5,45.32,65.29,24.0,45.0
Saudi Arabia,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.03,rain,58.06,38.53,27.29,0.44,1017.7,0.06,5,43.01,58.06,24.0,45.0
Saudi Arabia,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.03,rain,59.06,36.88,25.71,0.46,1025.0,0.04,6,38.53,59.06,24.0,45.0
Saudi Arabia,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0,0.0002,0.03,,67.77,41.18,16.95,0.3,1021.8,0.0,6,36.88,67.77,24.0,45.0
Saudi Arabia,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,64.04,36.41,20.0,0.29,1022.7,0.0,6,41.18,64.04,24.0,45.0
Saudi Arabia,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.02,,63.08,39.27,12.45,0.29,1025.9,0.02,6,36.41,63.08,24.0,45.0
Saudi Arabia,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.03,rain,69.84,47.04,18.16,0.27,1024.3,0.02,6,39.26,69.84,24.0,45.0
Saudi Arabia,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.03,rain,73.95,52.29,28.78,0.38,1018.9,0.1,6,47.04,73.95,24.0,45.0
Saudi Arabia,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.03,,79.97,57.06,21.9,0.2,1015.4,0.11,7,52.29,79.97,24.0,45.0
Saudi Arabia,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0,0.0,,76.91,50.2,39.56,0.39,1015.9,0.32,6,57.06,76.91,24.0,45.0
Saudi Arabia,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0,0.0002,0.03,,72.16,49.21,34.18,0.41,1020.2,0.08,6,50.2,72.16,24.0,45.0
Saudi Arabia,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0006,0.0039,0.05,rain,75.42,52.13,37.15,0.42,1015.8,0.29,6,49.21,75.42,24.0,45.0
Saudi Arabia,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0,0.0,,73.16,44.24,28.13,0.35,1014.7,0.19,6,49.91,73.16,24.0,45.0
Saudi Arabia,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.96,0.0001,0.0002,0.02,rain,60.27,39.47,24.79,0.37,1020.3,0.35,6,44.24,60.27,24.0,45.0
Saudi Arabia,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0,0.0,0.0,,66.83,44.08,22.35,0.32,1020.6,0.06,7,39.47,66.83,24.0,45.0
Saudi Arabia,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0,0.0002,0.02,,63.67,35.68,24.68,0.35,1021.4,0.0,7,44.08,63.67,24.0,45.0
Saudi Arabia,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.03,rain,57.77,32.3,19.98,0.39,1027.1,0.0,7,35.68,57.77,24.0,45.0
Saudi Arabia,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.04,rain,63.91,34.64,19.77,0.42,1026.4,0.0,7,32.3,63.91,24.0,45.0
Saudi Arabia,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0,0.0,,69.96,41.52,7.05,0.21,1022.1,0.02,7,34.64,69.96,24.0,45.0
Saudi Arabia,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.06,rain,75.44,46.42,17.43,0.22,1018.1,0.2,7,41.52,75.44,24.0,45.0
Saudi Arabia,,1/29/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.01,rain,69.85,42.06,25.8,0.31,1021.0,0.42,5,46.42,69.85,24.0,45.0
Saudi Arabia,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.08,rain,77.08,57.32,24.73,0.29,1017.5,0.27,8,42.06,77.08,24.0,45.0
Saudi Arabia,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0003,0.0014,0.1,rain,72.68,42.22,34.0,0.35,1016.5,0.44,6,51.26,72.68,24.0,45.0
Saudi Arabia,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.03,rain,70.25,42.01,17.5,0.25,1021.0,0.12,7,42.22,70.25,24.0,45.0
Saudi Arabia,,2/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0,0.0003,0.04,,69.29,45.9,9.58,0.16,1022.3,0.43,5,42.01,69.29,24.0,45.0
Saudi Arabia,,2/3/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.06,rain,74.49,53.67,26.69,0.28,1017.7,0.28,7,45.9,74.49,24.0,45.0
Saudi Arabia,,2/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0001,0.0003,0.05,rain,74.78,57.82,35.4,0.35,1016.9,0.35,5,53.67,74.78,24.0,45.0
Saudi Arabia,,2/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.41,0.0001,0.0003,0.03,rain,80.11,58.76,35.6,0.32,1018.1,0.45,5,57.82,80.11,24.0,45.0
Saudi Arabia,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.03,rain,85.58,59.57,34.7,0.27,1016.4,0.12,7,58.76,85.58,24.0,45.0
Saudi Arabia,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.0,0.0003,0.02,,84.87,54.67,45.44,0.4,1015.8,0.18,8,59.57,84.87,24.0,45.0
Saudi Arabia,,2/8/2020,Clear throughout the day.,clear-day,0.52,0.0001,0.0003,0.05,rain,79.93,48.35,27.0,0.23,1016.7,0.15,8,54.67,79.93,24.0,45.0
Saudi Arabia,,2/9/2020,Clear throughout the day.,clear-day,0.56,0.0001,0.0004,0.02,rain,70.44,40.02,27.99,0.32,1017.1,0.12,7,48.35,70.44,24.0,45.0
Saudi Arabia,,2/10/2020,Clear throughout the day.,clear-day,0.59,0.0,0.0002,0.03,,61.89,31.77,26.63,0.42,1020.7,0.06,7,40.02,61.89,24.0,45.0
Saudi Arabia,,2/11/2020,Clear throughout the day.,clear-day,0.63,0.0001,0.0004,0.03,rain,62.45,33.79,14.82,0.31,1027.1,0.0,7,31.77,62.45,24.0,45.0
Saudi Arabia,,2/12/2020,Clear throughout the day.,clear-day,0.67,0.0001,0.0004,0.02,rain,69.19,39.96,5.62,0.17,1027.3,0.01,7,33.79,69.19,24.0,45.0
Saudi Arabia,,2/13/2020,Clear throughout the day.,clear-day,0.71,0.0,0.0,0.0,,76.33,42.84,5.01,0.13,1023.4,0.0,8,39.96,76.33,24.0,45.0
Saudi Arabia,,2/14/2020,Clear throughout the day.,clear-day,0.74,0.0001,0.0003,0.02,rain,78.03,49.36,-2.89,0.09,1020.2,0.0,8,42.84,78.03,24.0,45.0
Saudi Arabia,,2/15/2020,Clear throughout the day.,clear-day,0.78,0.0001,0.0003,0.03,rain,82.54,57.94,0.06,0.07,1015.6,0.21,8,49.36,82.54,24.0,45.0
