Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Senegal,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.03,rain,92.51,65.42,4.58,0.06,1013.3,0.66,6,69.62,92.51,14.4974,-14.4524
Senegal,,1/2/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.02,rain,93.43,67.96,0.23,0.05,1013.8,0.66,5,65.42,93.43,14.4974,-14.4524
Senegal,,1/3/2020,Overcast throughout the day.,partly-cloudy-day,0.27,0.0001,0.0004,0.02,rain,91.13,64.74,1.29,0.05,1014.3,0.85,5,67.96,91.13,14.4974,-14.4524
Senegal,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.03,rain,90.61,61.58,0.76,0.06,1015.2,0.47,7,64.74,90.61,14.4974,-14.4524
Senegal,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.01,rain,90.99,58.33,2.7,0.07,1013.8,0.13,8,61.58,90.99,14.4974,-14.4524
Senegal,,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,89.18,58.58,5.44,0.08,1013.4,0.21,8,58.33,89.18,14.4974,-14.4524
Senegal,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0,0.0,0.0,,87.69,57.86,4.33,0.08,1013.1,0.73,7,58.58,87.69,14.4974,-14.4524
Senegal,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.01,,89.46,61.81,5.96,0.08,1013.6,0.57,7,57.86,89.46,14.4974,-14.4524
Senegal,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0,0.0,,91.36,60.43,1.89,0.06,1014.7,0.68,8,61.81,91.36,14.4974,-14.4524
Senegal,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.04,rain,93.24,63.22,1.66,0.06,1015.1,0.47,7,60.43,93.24,14.4974,-14.4524
Senegal,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.04,rain,94.87,65.94,7.91,0.07,1014.5,0.69,6,63.22,94.87,14.4974,-14.4524
Senegal,,1/12/2020,Clear throughout the day.,partly-cloudy-day,0.58,0.0001,0.0003,0.08,rain,95.75,64.92,1.59,0.05,1014.0,0.44,8,65.94,95.75,14.4974,-14.4524
Senegal,,1/13/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.03,rain,93.56,62.43,2.21,0.05,1013.1,0.02,9,64.92,93.56,14.4974,-14.4524
Senegal,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,92.83,61.89,11.53,0.09,1012.0,0.5,8,62.43,92.83,14.4974,-14.4524
Senegal,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.03,,92.6,64.92,-0.04,0.06,1013.4,0.72,6,61.89,92.6,14.4974,-14.4524
Senegal,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.05,rain,95.97,64.5,-6.65,0.04,1014.0,0.6,7,63.95,95.97,14.4974,-14.4524
Senegal,,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.05,rain,94.97,66.21,-3.13,0.04,1014.6,0.59,7,64.5,94.97,14.4974,-14.4524
Senegal,,1/18/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.02,,96.64,67.88,5.09,0.06,1013.6,0.26,9,66.21,96.64,14.4974,-14.4524
Senegal,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.01,,98.07,65.03,9.93,0.07,1012.1,0.41,9,67.88,98.07,14.4974,-14.4524
Senegal,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0,0.0002,0.02,,99.36,66.56,13.79,0.09,1009.6,0.43,8,65.03,99.36,14.4974,-14.4524
Senegal,,1/21/2020,Overcast throughout the day.,cloudy,0.9,0.0001,0.0002,0.05,rain,99.0,70.69,18.44,0.1,1010.5,0.97,5,66.56,99.0,14.4974,-14.4524
Senegal,,1/22/2020,Overcast throughout the day.,cloudy,0.93,0.0,0.0001,0.03,,97.3,75.52,19.29,0.1,1011.8,0.96,5,70.69,97.3,14.4974,-14.4524
Senegal,,1/23/2020,Overcast throughout the day.,cloudy,0.97,0.0002,0.0033,0.08,rain,97.72,75.58,27.2,0.12,1012.4,0.99,5,75.52,97.72,14.4974,-14.4524
Senegal,,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,1.0,0.0001,0.0006,0.07,rain,101.71,74.72,43.13,0.22,1012.0,0.8,7,75.58,101.71,14.4974,-14.4524
Senegal,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.05,rain,102.44,70.14,26.16,0.15,1012.2,0.76,7,74.72,102.44,14.4974,-14.4524
Senegal,,1/26/2020,Overcast throughout the day.,cloudy,0.06,0.0001,0.0004,0.03,rain,100.88,74.38,17.13,0.09,1012.9,0.93,5,70.14,100.88,14.4974,-14.4524
Senegal,,1/27/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0001,0.0004,0.05,rain,103.93,69.29,13.44,0.07,1011.3,0.69,6,74.38,103.93,14.4974,-14.4524
Senegal,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.12,0.0001,0.0002,0.04,rain,103.67,69.65,7.79,0.05,1010.8,0.58,6,69.29,103.67,14.4974,-14.4524
Senegal,,1/29/2020,Clear throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.07,rain,102.92,73.64,4.56,0.05,1012.1,0.47,8,69.65,102.92,14.4974,-14.4524
Senegal,,1/30/2020,Windy in the morning.,wind,0.18,0.0001,0.0003,0.08,rain,103.54,72.98,10.45,0.06,1013.4,0.14,9,73.64,103.54,14.4974,-14.4524
Senegal,,1/31/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.06,rain,103.33,69.8,8.92,0.06,1013.3,0.0,10,72.98,103.33,14.4974,-14.4524
