Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Serbia,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.14,snow,37.01,26.21,26.57,0.84,1033.3,0.66,1,24.13,37.01,44.0165,21.0059
Serbia,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.21,snow,38.74,20.28,25.56,0.83,1034.6,0.58,1,24.39,38.74,44.0165,21.0059
Serbia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0,0.0,,39.6,21.33,19.14,0.68,1028.9,0.0,1,20.28,39.6,44.0165,21.0059
Serbia,,1/3/2020,Light rain overnight.,partly-cloudy-day,0.3,0.0004,0.0024,0.22,snow,40.74,32.73,21.91,0.69,1024.5,0.65,1,21.33,40.74,44.0165,21.0059
Serbia,,1/4/2020,Light snow (< 1 in.) in the morning and afternoon.,rain,0.33,0.0051,0.0207,0.89,rain,35.61,25.22,28.51,0.83,1024.7,0.76,1,27.89,35.61,44.0165,21.0059
Serbia,,1/5/2020,Overcast throughout the day.,partly-cloudy-day,0.36,0.0002,0.0006,0.1,snow,33.81,22.26,21.57,0.76,1031.9,0.69,1,25.04,33.81,44.0165,21.0059
Serbia,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.08,snow,34.96,19.39,18.21,0.69,1030.9,0.03,1,22.26,34.96,44.0165,21.0059
Serbia,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0,0.0,,35.47,20.42,16.08,0.64,1034.0,0.0,1,19.39,35.47,44.0165,21.0059
Serbia,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0,0.0,,37.25,27.55,18.23,0.66,1030.5,0.05,1,20.42,37.25,44.0165,21.0059
Serbia,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.02,rain,47.56,25.9,21.97,0.62,1024.4,0.18,1,25.87,47.56,44.0165,21.0059
Serbia,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.04,rain,44.42,27.71,27.65,0.76,1028.7,0.7,1,25.9,44.42,44.0165,21.0059
Serbia,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0002,0.0007,0.15,snow,40.23,25.32,27.72,0.84,1031.1,0.37,1,27.23,40.23,44.0165,21.0059
Serbia,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.04,snow,43.76,27.93,26.49,0.8,1028.7,0.27,1,25.32,43.76,44.0165,21.0059
Serbia,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,47.89,28.44,28.31,0.77,1027.3,0.25,1,27.93,47.89,44.0165,21.0059
Serbia,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,47.92,26.56,28.76,0.76,1029.5,0.06,1,28.44,47.92,44.0165,21.0059
Serbia,,1/15/2020,Partly cloudy throughout the day.,clear-day,0.72,0.0,0.0002,0.05,,45.56,29.63,27.88,0.78,1030.8,0.22,1,26.56,45.56,44.0165,21.0059
Serbia,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0004,0.0012,0.05,rain,42.97,27.09,27.5,0.76,1029.8,0.17,2,29.63,42.97,44.0165,21.0059
Serbia,,1/17/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.03,,40.9,26.59,23.1,0.7,1026.1,0.3,2,27.0,40.9,44.0165,21.0059
Serbia,,1/18/2020,Foggy in the morning and overnight.,cloudy,0.83,0.0008,0.0025,0.19,snow,35.84,27.7,24.7,0.79,1029.8,0.96,1,26.59,35.84,44.0165,21.0059
Serbia,,1/19/2020,Foggy in the morning.,cloudy,0.87,0.0006,0.0018,0.16,snow,36.96,26.07,25.02,0.78,1043.3,0.89,1,27.7,36.96,44.0165,21.0059
Serbia,,1/20/2020,Overcast throughout the day.,partly-cloudy-day,0.9,0.0001,0.0005,0.05,snow,37.59,22.95,22.26,0.73,1044.6,0.69,1,25.57,37.59,44.0165,21.0059
Serbia,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.01,,43.07,27.79,19.28,0.65,1033.5,0.09,1,22.95,43.07,44.0165,21.0059
Serbia,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0002,0.0011,0.06,snow,40.11,22.66,23.43,0.73,1035.5,0.32,2,26.03,40.11,44.0165,21.0059
Serbia,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.02,snow,44.3,27.91,17.57,0.58,1030.3,0.03,2,22.66,44.3,44.0165,21.0059
Serbia,,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.04,rain,52.02,30.71,27.41,0.7,1026.0,0.49,2,27.91,52.02,44.0165,21.0059
Serbia,,1/25/2020,Possible light rain overnight.,partly-cloudy-day,0.06,0.0001,0.0003,0.07,rain,53.61,37.22,34.23,0.78,1022.6,0.53,2,30.71,53.61,44.0165,21.0059
Serbia,,1/26/2020,Light rain in the morning and afternoon.,rain,0.09,0.0182,0.0619,0.96,rain,42.21,31.64,36.29,0.92,1018.5,0.99,1,35.25,42.21,44.0165,21.0059
Serbia,,1/27/2020,Possible light rain overnight.,partly-cloudy-day,0.12,0.0,0.0003,0.07,,52.04,35.51,35.18,0.82,1013.3,0.71,1,31.64,52.04,44.0165,21.0059
Serbia,,1/28/2020,Light rain in the morning and afternoon.,rain,0.15,0.0089,0.0491,0.79,rain,49.49,29.89,35.56,0.81,1011.1,0.87,1,35.51,49.49,44.0165,21.0059
Serbia,,1/29/2020,Partly cloudy throughout the day.,rain,0.18,0.0003,0.0017,0.3,rain,46.18,27.65,29.39,0.78,1020.2,0.4,1,29.89,46.18,44.0165,21.0059
Serbia,,1/30/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0004,0.07,rain,57.4,39.33,28.67,0.63,1017.4,0.62,2,27.65,57.4,44.0165,21.0059
Serbia,,1/31/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.08,rain,63.51,41.18,39.29,0.72,1017.9,0.38,2,39.33,63.51,44.0165,21.0059
Serbia,,2/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0005,0.0036,0.24,rain,60.21,40.6,40.78,0.78,1017.7,0.56,2,41.18,60.21,44.0165,21.0059
Serbia,,2/2/2020,Overcast throughout the day.,rain,0.31,0.0013,0.0109,0.28,rain,59.19,40.67,41.23,0.75,1015.0,1.0,2,40.6,59.19,44.0165,21.0059
Serbia,,2/3/2020,Light rain starting in the afternoon.,rain,0.34,0.009000000000000001,0.0458,0.74,rain,61.18,32.91,40.71,0.8,1005.2,0.93,2,35.15,61.18,44.0165,21.0059
Serbia,,2/4/2020,Snow (5–8 in.) until evening.,snow,0.37,0.0483,0.0853,0.97,snow,35.53,26.16,29.87,0.87,1004.0,1.0,1,28.44,35.53,44.0165,21.0059
