Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Seychelles,,12/31/2019,Humid and partly cloudy throughout the day.,clear-day,0.21,0.0001,0.0004,0.14,rain,81.94,76.77,72.16,0.78,1010.8,0.24,13,76.93,81.94,-4.6796,55.492
Seychelles,,1/1/2020,Humid and partly cloudy throughout the day.,rain,0.24,0.0095,0.0774,0.4,rain,82.56,76.51,72.34,0.79,1011.8,0.39,9,76.77,82.56,-4.6796,55.492
Seychelles,,1/2/2020,Humid throughout the day.,rain,0.27,0.0036,0.0159,0.48,rain,81.51,76.58,71.66,0.78,1012.8,0.33,13,76.51,81.51,-4.6796,55.492
Seychelles,,1/3/2020,"Possible drizzle until afternoon, starting again overnight.",rain,0.3,0.0059,0.0157,0.74,rain,80.05,76.37,71.93,0.81,1011.8,0.7,8,76.58,80.05,-4.6796,55.492
Seychelles,,1/4/2020,Humid and mostly cloudy throughout the day.,rain,0.33,0.0023,0.0127,0.57,rain,80.8,76.65,71.84,0.8,1010.1,0.66,7,76.37,80.8,-4.6796,55.492
Seychelles,,1/5/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.36,0.0061,0.0291,0.74,rain,81.26,74.0,72.04,0.8,1011.0,0.71,8,76.51,81.26,-4.6796,55.492
Seychelles,,1/6/2020,Possible light rain in the morning and overnight.,rain,0.39,0.0136,0.0359,0.89,rain,81.41,76.43,71.96,0.81,1011.4,0.76,9,74.0,81.41,-4.6796,55.492
Seychelles,,1/7/2020,Light rain in the morning.,rain,0.43,0.0146,0.0585,0.83,rain,81.23,76.19,71.69,0.79,1011.2,0.79,7,76.43,81.23,-4.6796,55.492
Seychelles,,1/8/2020,"Light rain until morning, starting again in the evening.",rain,0.46,0.0105,0.0748,0.8,rain,81.12,75.89,72.16,0.81,1010.0,0.62,9,76.19,81.12,-4.6796,55.492
Seychelles,,1/9/2020,Light rain and humid throughout the day.,rain,0.5,0.0218,0.0744,0.96,rain,80.98,75.46,73.05,0.83,1009.6,0.6,8,75.89,80.98,-4.6796,55.492
Seychelles,,1/10/2020,Light rain in the morning and afternoon.,rain,0.53,0.0172,0.0368,0.96,rain,77.3,76.09,72.87,0.87,1010.3,0.82,7,75.46,79.47,-4.6796,55.492
Seychelles,,1/11/2020,Humid throughout the day.,rain,0.57,0.002,0.0099,0.32,rain,81.83,78.05,73.28,0.81,1010.8,0.44,13,76.68,81.83,-4.6796,55.492
Seychelles,,1/12/2020,Possible light rain starting in the afternoon.,rain,0.61,0.0051,0.0142,0.81,rain,81.6,76.47,73.47,0.82,1010.7,0.71,8,77.21,81.6,-4.6796,55.492
Seychelles,,1/13/2020,Light rain and humid throughout the day.,rain,0.64,0.0107,0.0293,0.94,rain,80.87,75.12,73.66,0.85,1010.7,0.77,8,76.32,80.87,-4.6796,55.492
