Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Singapore,,12/31/2019,Humid and partly cloudy throughout the day.,rain,0.2,0.0004,0.0017,0.3,rain,89.17,76.9,74.19,0.76,1012.7,0.63,9,77.7,89.17,1.2833,103.8333
Singapore,,1/1/2020,Possible light rain in the afternoon and evening.,rain,0.23,0.0051,0.0369,0.47,rain,86.72,78.13,75.94,0.84,1013.2,0.95,6,76.9,86.72,1.2833,103.8333
Singapore,,1/2/2020,Possible light rain in the afternoon.,rain,0.26,0.0045,0.0213,0.49,rain,87.99,77.13,76.05,0.82,1012.0,0.92,6,78.13,87.99,1.2833,103.8333
Singapore,,1/3/2020,Humid and overcast throughout the day.,rain,0.29,0.0013,0.0035,0.43,rain,87.72,76.7,75.23,0.8,1010.3,0.81,7,77.13,87.72,1.2833,103.8333
Singapore,,1/4/2020,Possible light rain overnight.,rain,0.32,0.0025,0.0344,0.35,rain,88.87,76.9,74.64,0.79,1010.6,0.54,9,76.7,88.87,1.2833,103.8333
Singapore,,1/5/2020,Possible light rain in the afternoon and evening.,rain,0.35,0.0126,0.0472,0.79,rain,88.16,76.14,74.55,0.8,1010.7,0.61,7,77.16,88.16,1.2833,103.8333
Singapore,,1/6/2020,Possible light rain until evening.,rain,0.39,0.005,0.0162,0.75,rain,85.62,77.07,74.84,0.84,1010.4,0.97,6,76.13,85.62,1.2833,103.8333
Singapore,,1/7/2020,Possible drizzle in the afternoon.,rain,0.42,0.0027,0.0137,0.59,rain,88.6,77.24,75.22,0.8,1009.6,0.97,6,77.13,88.6,1.2833,103.8333
Singapore,,1/8/2020,Possible drizzle and humid throughout the day.,rain,0.45,0.0048,0.0149,0.7,rain,88.61,77.18,75.28,0.81,1009.3,0.94,6,77.24,88.61,1.2833,103.8333
Singapore,,1/9/2020,Light rain until evening.,rain,0.49,0.0169,0.0495,0.92,rain,88.36,77.52,75.05,0.81,1009.3,0.95,6,77.18,88.36,1.2833,103.8333
Singapore,,1/10/2020,Possible drizzle in the morning and afternoon.,rain,0.53,0.0027,0.0084,0.73,rain,87.84,76.99,74.4,0.79,1010.0,0.97,6,77.52,87.84,1.2833,103.8333
Singapore,,1/11/2020,Humid and overcast throughout the day.,rain,0.56,0.0024,0.0121,0.53,rain,88.26,76.61,74.01,0.78,1009.8,0.96,6,76.99,88.26,1.2833,103.8333
Singapore,,1/12/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.6,0.0006,0.0033,0.21,rain,89.65,76.93,73.69,0.76,1009.1,0.71,8,76.61,89.65,1.2833,103.8333
Singapore,,1/13/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.0003,0.0021,0.07,rain,90.53,77.34,73.85,0.75,1009.8,0.7,8,76.93,90.53,1.2833,103.8333
Singapore,,1/14/2020,Humid and mostly cloudy throughout the day.,rain,0.68,0.0024,0.0081,0.58,rain,88.44,77.18,74.68,0.79,1010.3,0.82,7,77.34,88.44,1.2833,103.8333
Singapore,,1/15/2020,Possible light rain in the afternoon.,rain,0.71,0.0047,0.0321,0.71,rain,88.75,76.78,74.77,0.79,1010.8,0.89,6,77.18,88.75,1.2833,103.8333
Singapore,,1/16/2020,Humid and partly cloudy throughout the day.,rain,0.75,0.0003,0.0023,0.29,rain,90.32,77.26,74.21,0.76,1011.1,0.61,11,76.78,90.32,1.2833,103.8333
Singapore,,1/17/2020,Possible drizzle in the afternoon and evening.,rain,0.79,0.0044,0.0152,0.67,rain,89.4,77.45,75.63,0.81,1010.8,0.83,7,77.26,89.4,1.2833,103.8333
Singapore,,1/18/2020,Humid and mostly cloudy throughout the day.,rain,0.82,0.0026,0.0103,0.61,rain,89.62,77.86,75.81,0.81,1011.0,0.63,9,77.45,89.62,1.2833,103.8333
