Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Slovakia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.09,snow,35.11,21.02,20.63,0.76,1031.9,0.04,1,23.26,35.11,48.669,19.699
Slovakia,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,snow,36.91,20.59,4.02,0.39,1032.2,0.33,1,21.02,36.91,48.669,19.699
Slovakia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,snow,33.6,24.06,10.38,0.54,1027.9,0.2,1,20.59,33.6,48.669,19.699
Slovakia,,1/3/2020,Foggy in the evening.,snow,0.3,0.0027,0.0088,0.39,snow,32.54,22.95,24.43,0.89,1021.0,0.84,1,25.05,32.54,48.669,19.699
Slovakia,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0012,0.0072,0.23,snow,27.97,14.64,16.03,0.75,1026.9,0.22,1,17.43,27.97,48.669,19.699
Slovakia,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,29.33,15.08,9.2,0.64,1032.5,0.42,1,14.0,29.33,48.669,19.699
Slovakia,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.05,snow,28.46,17.1,10.82,0.67,1029.4,0.06,1,15.08,28.46,48.669,19.699
Slovakia,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0002,0.0017,0.03,snow,30.22,21.98,16.27,0.77,1032.0,0.17,1,17.08,30.22,48.669,19.699
Slovakia,,1/8/2020,Overcast throughout the day.,cloudy,0.47,0.0006,0.0031,0.15,snow,30.08,22.56,23.59,0.89,1028.6,0.98,1,22.67,30.08,48.669,19.699
Slovakia,,1/9/2020,Overcast throughout the day.,cloudy,0.5,0.0001,0.0004,0.05,snow,34.35,25.42,22.0,0.8,1023.5,0.95,1,22.56,34.35,48.669,19.699
Slovakia,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.08,snow,36.03,22.24,27.08,0.88,1028.1,0.52,1,24.47,36.03,48.669,19.699
Slovakia,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.07,snow,34.77,23.86,24.55,0.89,1030.4,0.31,1,22.24,34.77,48.669,19.699
Slovakia,,1/12/2020,Overcast throughout the day.,cloudy,0.61,0.0001,0.0003,0.04,snow,33.16,22.91,24.48,0.91,1027.4,0.94,1,22.89,33.16,48.669,19.699
Slovakia,,1/13/2020,Overcast throughout the day.,cloudy,0.65,0.0002,0.0009,0.06,snow,30.19,19.8,22.57,0.87,1026.2,0.9,1,22.91,30.19,48.669,19.699
Slovakia,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.01,,34.03,23.77,20.75,0.8,1029.0,0.27,1,19.8,34.03,48.669,19.699
Slovakia,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.04,,38.09,25.44,24.79,0.84,1030.8,0.42,1,23.77,38.09,48.669,19.699
