Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Slovenia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.11,snow,41.16,25.24,25.4,0.79,1035.2,0.08,1,25.33,41.16,46.1512,14.9955
Slovenia,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.11,rain,43.33,25.82,21.95,0.67,1033.3,0.0,1,25.24,43.33,46.1512,14.9955
Slovenia,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0001,0.0003,0.01,rain,43.9,28.07,22.64,0.65,1027.8,0.34,1,25.82,43.9,46.1512,14.9955
Slovenia,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0002,0.0009,0.19,rain,46.28,28.62,26.84,0.7,1025.2,0.73,1,28.07,46.28,46.1512,14.9955
Slovenia,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.11,rain,43.87,22.17,24.54,0.69,1030.9,0.19,1,26.48,43.87,46.1512,14.9955
Slovenia,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,37.65,22.35,18.29,0.65,1033.8,0.0,1,22.17,37.65,46.1512,14.9955
Slovenia,,1/6/2020,Partly cloudy throughout the day.,clear-day,0.4,0.0001,0.0002,0.07,snow,39.55,24.57,15.97,0.57,1029.6,0.14,1,22.35,39.55,46.1512,14.9955
Slovenia,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,40.88,29.21,20.38,0.64,1033.2,0.22,1,24.57,40.88,46.1512,14.9955
Slovenia,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0001,0.01,,46.4,30.42,21.86,0.58,1027.8,0.53,1,29.48,46.4,46.1512,14.9955
Slovenia,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.05,rain,47.68,29.03,29.68,0.77,1023.8,0.57,1,30.45,47.68,46.1512,14.9955
Slovenia,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.08,rain,46.89,26.29,30.19,0.79,1030.8,0.47,1,29.03,46.89,46.1512,14.9955
Slovenia,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.07,snow,42.73,26.61,27.38,0.8,1031.2,0.26,1,26.29,42.73,46.1512,14.9955
Slovenia,,1/12/2020,Overcast throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,rain,44.35,30.1,25.54,0.73,1027.4,0.85,1,26.61,44.35,46.1512,14.9955
Slovenia,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,48.51,30.27,29.28,0.76,1024.9,0.24,1,30.1,48.51,46.1512,14.9955
Slovenia,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,49.85,30.78,32.15,0.81,1026.9,0.13,1,30.27,49.85,46.1512,14.9955
Slovenia,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.05,,48.87,26.66,30.01,0.76,1031.0,0.75,1,30.78,48.87,46.1512,14.9955
Slovenia,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0007,0.07,rain,40.05,30.46,28.29,0.82,1027.9,0.81,1,26.66,40.05,46.1512,14.9955
Slovenia,,1/17/2020,Foggy in the afternoon and evening.,rain,0.8,0.0012,0.0035,0.35,rain,40.57,29.63,28.83,0.82,1025.7,1.0,1,30.46,40.57,46.1512,14.9955
Slovenia,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0001,0.0006,0.06,snow,45.2,29.47,28.42,0.76,1030.9,0.76,1,29.63,45.2,46.1512,14.9955
Slovenia,,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.0001,0.0004,0.08,snow,42.67,27.78,26.79,0.74,1044.1,0.82,1,29.47,42.67,46.1512,14.9955
Slovenia,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.05,rain,42.13,25.65,25.19,0.73,1043.9,0.23,1,27.78,42.13,46.1512,14.9955
Slovenia,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.01,,48.57,25.29,20.11,0.59,1033.8,0.17,1,25.65,48.57,46.1512,14.9955
Slovenia,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.04,snow,42.46,25.6,23.03,0.71,1035.4,0.09,1,25.29,42.46,46.1512,14.9955
Slovenia,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.02,rain,47.57,33.31,22.56,0.64,1028.2,0.13,1,25.6,47.57,46.1512,14.9955
Slovenia,,1/24/2020,Overcast throughout the day.,rain,0.03,0.0009,0.0077,0.25,rain,48.51,34.17,33.14,0.79,1024.0,0.96,1,33.31,48.51,46.1512,14.9955
Slovenia,,1/25/2020,Possible drizzle in the morning.,rain,0.06,0.0011,0.0054,0.49,rain,47.32,34.39,36.02,0.89,1021.7,0.79,1,34.17,47.32,46.1512,14.9955
Slovenia,,1/26/2020,Clear throughout the day.,rain,0.09,0.0002,0.0009,0.27,rain,48.36,35.11,35.2,0.85,1019.2,0.47,1,34.39,48.36,46.1512,14.9955
Slovenia,,1/27/2020,Rain starting in the afternoon.,rain,0.12,0.0259,0.1235,0.81,rain,51.97,35.48,40.32,0.86,1007.0,0.98,1,35.99,51.97,46.1512,14.9955
Slovenia,,1/28/2020,Mostly cloudy throughout the day.,rain,0.15,0.0041,0.0327,0.66,rain,49.67,28.45,34.9,0.83,1010.7,0.65,1,33.92,49.67,46.1512,14.9955
Slovenia,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.001,0.0084,0.24,rain,47.76,38.72,31.24,0.77,1019.5,0.29,2,28.45,47.76,46.1512,14.9955
Slovenia,,1/30/2020,Overcast throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.08,rain,54.7,38.74,37.17,0.76,1016.6,0.79,1,38.72,54.7,46.1512,14.9955
