Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Somalia,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0003,0.0021,0.11,rain,92.56,72.81,67.85,0.64,1011.4,0.4,6,72.9,92.56,5.1521,46.1996
Somalia,,1/1/2020,Partly cloudy throughout the day.,clear-day,0.24,0.0003,0.0014,0.13,rain,93.64,72.37,67.31,0.62,1012.4,0.29,7,72.81,93.64,5.1521,46.1996
Somalia,,1/2/2020,Overcast throughout the day.,partly-cloudy-day,0.27,0.0,0.0004,0.02,,93.79,69.4,64.97,0.58,1013.6,0.69,6,72.37,93.79,5.1521,46.1996
Somalia,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0003,0.0005,0.08,rain,94.06,70.35,62.82,0.56,1012.6,0.2,12,69.4,94.06,5.1521,46.1996
Somalia,,1/4/2020,Humid throughout the day.,partly-cloudy-day,0.33,0.0001,0.0003,0.09,rain,93.59,72.85,67.44,0.64,1010.8,0.34,10,70.2,93.59,5.1521,46.1996
Somalia,,1/5/2020,Humid and partly cloudy throughout the day.,clear-day,0.36,0.0,0.0,0.0,,93.72,74.61,68.64,0.64,1011.3,0.28,10,72.41,93.72,5.1521,46.1996
Somalia,,1/6/2020,Humid and overcast throughout the day.,partly-cloudy-day,0.39,0.0001,0.0002,0.08,rain,90.92,72.21,69.29,0.65,1012.3,0.78,7,74.61,90.92,5.1521,46.1996
Somalia,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.02,,93.11,70.18,63.83,0.58,1012.2,0.57,7,72.21,93.11,5.1521,46.1996
Somalia,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.46,0.0,0.0001,0.02,,92.64,67.48,60.76,0.55,1011.9,0.25,9,70.18,92.64,5.1521,46.1996
Somalia,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.05,rain,93.98,70.18,65.0,0.61,1011.1,0.28,10,67.48,93.98,5.1521,46.1996
Somalia,,1/10/2020,Humid throughout the day.,partly-cloudy-day,0.53,0.0001,0.0003,0.09,rain,95.44,74.4,67.03,0.61,1010.8,0.37,11,70.18,95.44,5.1521,46.1996
Somalia,,1/11/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0002,0.0007,0.11,rain,91.76,72.87,70.13,0.68,1012.0,0.77,6,74.4,91.76,5.1521,46.1996
