Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
South Africa,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.03,rain,99.62,64.5,37.49,0.31,1009.2,0.0,14,64.07,99.62,-30.5595,22.9375
South Africa,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.04,rain,101.12,64.25,28.25,0.22,1008.9,0.0,14,64.5,101.12,-30.5595,22.9375
South Africa,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,99.7,64.67,37.85,0.31,1010.4,0.03,14,64.25,99.7,-30.5595,22.9375
South Africa,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.08,rain,101.4,60.89,31.23,0.25,1008.6,0.0,14,64.67,101.4,-30.5595,22.9375
South Africa,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.05,rain,96.92,60.72,22.84,0.18,1007.7,0.14,14,60.89,96.92,-30.5595,22.9375
South Africa,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,97.0,68.0,32.17,0.24,1008.9,0.35,10,60.72,97.0,-30.5595,22.9375
South Africa,,1/6/2020,Possible light rain starting in the afternoon.,rain,0.39,0.0163,0.0692,0.7,rain,83.78,65.08,54.8,0.53,1009.7,0.86,7,68.0,83.78,-30.5595,22.9375
South Africa,,1/7/2020,Possible light rain in the evening.,rain,0.43,0.0137,0.0806,0.71,rain,84.52,62.12,60.75,0.67,1009.1,0.76,7,65.08,84.52,-30.5595,22.9375
South Africa,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.02,,86.97,61.41,45.58,0.45,1012.2,0.06,14,62.12,86.97,-30.5595,22.9375
South Africa,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.05,rain,91.19,64.03,44.47,0.42,1014.1,0.0,14,60.72,91.19,-30.5595,22.9375
South Africa,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0004,0.04,rain,96.85,66.07,41.76,0.34,1012.0,0.0,14,64.03,96.85,-30.5595,22.9375
South Africa,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.06,rain,99.56,67.55,44.29,0.34,1012.0,0.03,14,66.07,99.56,-30.5595,22.9375
South Africa,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0002,0.0007,0.05,rain,97.52,73.53,49.67,0.39,1011.8,0.26,14,67.55,97.52,-30.5595,22.9375
South Africa,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,97.63,70.58,48.87,0.32,1011.7,0.22,14,73.53,97.63,-30.5595,22.9375
South Africa,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,100.59,74.12,39.75,0.21,1012.9,0.09,14,70.58,100.59,-30.5595,22.9375
South Africa,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0024,0.0257,0.07,rain,104.27,81.07,38.74,0.18,1011.3,0.09,15,72.24,104.27,-30.5595,22.9375
South Africa,,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.76,0.0049,0.0189,0.2,rain,104.25,67.43,43.97,0.23,1006.2,0.34,14,75.68,104.25,-30.5595,22.9375
South Africa,,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.001,0.0068,0.16,rain,94.59,63.4,52.82,0.45,1006.2,0.58,11,67.43,94.59,-30.5595,22.9375
South Africa,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0001,0.0008,0.01,rain,91.91,64.35,49.68,0.45,1006.9,0.33,11,63.4,91.91,-30.5595,22.9375
South Africa,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0002,0.001,0.05,rain,92.93,58.51,38.2,0.36,1010.1,0.09,15,64.35,92.93,-30.5595,22.9375
South Africa,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0003,0.01,rain,94.57,58.8,27.16,0.22,1010.5,0.0,15,58.51,94.57,-30.5595,22.9375
South Africa,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0002,0.01,,92.55,58.65,38.55,0.38,1009.7,0.08,14,58.8,92.55,-30.5595,22.9375
South Africa,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.04,rain,93.36,63.24,38.57,0.38,1009.4,0.05,13,58.65,93.36,-30.5595,22.9375
South Africa,,1/23/2020,Partly cloudy throughout the day.,clear-day,1.0,0.0021,0.0088,0.07,rain,93.79,63.45,39.59,0.34,1009.0,0.3,10,63.24,93.79,-30.5595,22.9375
South Africa,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0004,0.05,rain,92.87,59.3,39.94,0.3,1009.3,0.02,13,63.45,92.87,-30.5595,22.9375
South Africa,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0004,0.04,rain,81.77,50.47,36.6,0.33,1011.8,0.0,14,59.3,81.77,-30.5595,22.9375
South Africa,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.05,rain,83.68,54.2,22.45,0.29,1018.6,0.09,13,50.47,83.68,-30.5595,22.9375
South Africa,,1/27/2020,Clear throughout the day.,partly-cloudy-day,0.12,0.0,0.0003,0.01,,93.28,61.27,13.19,0.13,1014.6,0.46,14,54.2,93.28,-30.5595,22.9375
South Africa,,1/28/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.03,rain,98.93,66.0,9.73,0.07,1012.3,0.41,12,61.27,98.93,-30.5595,22.9375
South Africa,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.03,rain,100.43,65.09,32.04,0.25,1013.4,0.0,14,66.0,100.43,-30.5595,22.9375
South Africa,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.04,rain,102.87,69.73,27.47,0.14,1011.7,0.15,14,65.09,102.87,-30.5595,22.9375
South Africa,,1/31/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0008,0.004,0.11,rain,98.49,67.76,46.85,0.31,1013.4,0.68,13,69.73,98.49,-30.5595,22.9375
South Africa,,2/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0026,0.0133,0.13,rain,97.43,68.37,50.01,0.41,1015.1,0.7,9,67.76,97.43,-30.5595,22.9375
South Africa,,2/2/2020,Clear throughout the day.,clear-day,0.3,0.0003,0.005,0.04,rain,100.2,71.11,45.52,0.31,1013.9,0.28,13,68.37,100.2,-30.5595,22.9375
South Africa,,2/3/2020,Overcast throughout the day.,partly-cloudy-day,0.34,0.0035,0.0182,0.19,rain,96.56,70.19,48.93,0.33,1011.9,0.84,6,71.11,96.56,-30.5595,22.9375
South Africa,,2/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0037,0.0346,0.18,rain,96.79,68.69,50.94,0.38,1009.5,0.62,13,70.19,96.79,-30.5595,22.9375
South Africa,,2/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.41,0.0039,0.0128,0.24,rain,89.85,62.54,54.92,0.48,1010.4,0.73,7,68.69,89.85,-30.5595,22.9375
South Africa,,2/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0014,0.0114,0.18,rain,88.54,63.1,56.39,0.57,1011.2,0.39,11,62.54,88.54,-30.5595,22.9375
South Africa,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.004,0.0265,0.22,rain,90.79,65.44,56.81,0.57,1010.3,0.28,13,63.1,90.79,-30.5595,22.9375
South Africa,,2/8/2020,Clear throughout the day.,clear-day,0.52,0.0011,0.0066,0.13,rain,86.33,63.52,56.41,0.55,1011.4,0.21,12,65.44,86.33,-30.5595,22.9375
South Africa,,2/9/2020,Clear throughout the day.,clear-day,0.56,0.0001,0.0004,0.05,rain,89.21,62.54,43.72,0.38,1014.7,0.0,13,63.52,89.21,-30.5595,22.9375
