Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Spain,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.08,rain,54.45,29.69,31.42,0.74,1032.8,0.24,2,29.53,54.45,40.0,-4.0
Spain,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.06,rain,54.64,31.36,31.14,0.74,1032.1,0.21,2,29.69,54.64,40.0,-4.0
Spain,,1/2/2020,Overcast throughout the day.,partly-cloudy-day,0.27,0.0001,0.0003,0.03,rain,49.88,31.79,33.52,0.84,1033.8,0.8,1,31.36,49.88,40.0,-4.0
Spain,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0001,0.0003,0.09,rain,57.03,28.16,32.19,0.72,1034.4,0.0,2,31.79,57.03,40.0,-4.0
Spain,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,54.47,28.52,28.98,0.71,1031.2,0.0,2,28.16,54.47,40.0,-4.0
Spain,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,56.3,28.38,27.13,0.63,1030.1,0.0,2,28.52,56.3,40.0,-4.0
Spain,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.07,rain,55.66,28.82,26.6,0.62,1032.7,0.06,2,28.37,55.66,40.0,-4.0
Spain,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,56.19,32.67,25.69,0.6,1031.0,0.21,2,28.82,56.19,40.0,-4.0
Spain,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.02,,57.58,35.47,34.68,0.75,1028.7,0.19,2,32.62,57.58,40.0,-4.0
Spain,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.04,rain,57.79,29.32,30.6,0.63,1029.3,0.29,2,35.12,57.79,40.0,-4.0
Spain,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.02,rain,54.87,26.09,27.41,0.67,1032.7,0.0,2,29.29,54.87,40.0,-4.0
Spain,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.04,rain,54.14,26.55,24.24,0.63,1032.3,0.15,2,26.09,54.14,40.0,-4.0
Spain,,1/12/2020,Overcast throughout the day.,cloudy,0.61,0.0001,0.0003,0.01,rain,51.99,24.69,26.36,0.7,1028.3,0.9,2,25.71,51.99,40.0,-4.0
Spain,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,50.95,34.25,28.15,0.75,1024.9,0.13,2,24.69,50.95,40.0,-4.0
Spain,,1/14/2020,Overcast throughout the day.,cloudy,0.69,0.0002,0.0006,0.09,rain,56.11,38.76,36.02,0.76,1025.4,0.92,2,34.25,56.11,40.0,-4.0
Spain,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0003,0.08,rain,65.12,44.92,37.69,0.69,1026.7,0.68,2,38.76,65.12,40.0,-4.0
Spain,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0008,0.0056,0.2,rain,58.43,41.06,40.71,0.73,1031.0,0.87,2,43.37,58.43,40.0,-4.0
Spain,,1/17/2020,"Light rain until morning, starting again in the evening.",rain,0.8,0.0093,0.0606,0.8,rain,53.58,41.08,42.31,0.84,1028.1,0.97,2,41.06,53.58,40.0,-4.0
Spain,,1/18/2020,Windy in the afternoon and evening.,rain,0.83,0.0027,0.0472,0.65,rain,55.9,35.71,28.57,0.55,1022.3,0.81,1,38.86,55.9,40.0,-4.0
Spain,,1/19/2020,Windy and overcast throughout the day.,wind,0.87,0.0008,0.0048,0.2,rain,49.6,39.55,18.05,0.39,1023.6,0.9,1,35.71,49.6,40.0,-4.0
Spain,,1/20/2020,Windy in the morning and afternoon.,rain,0.9,0.0018,0.0069,0.33,rain,52.08,40.79,31.9,0.61,1019.4,0.9,1,39.55,52.08,40.0,-4.0
Spain,,1/21/2020,Possible drizzle in the morning.,rain,0.93,0.0044,0.0145,0.51,rain,55.57,34.19,37.71,0.74,1018.6,0.83,1,40.79,55.57,40.0,-4.0
Spain,,1/22/2020,Possible light rain overnight.,rain,0.97,0.0008,0.0089,0.25,rain,55.21,40.59,35.91,0.76,1019.4,0.6,1,34.05,55.21,40.0,-4.0
Spain,,1/23/2020,Light rain in the morning and overnight.,rain,1.0,0.0085,0.0251,0.83,rain,54.8,42.8,39.24,0.79,1020.6,0.94,2,40.59,54.8,40.0,-4.0
Spain,,1/24/2020,Light rain throughout the day.,rain,0.03,0.0107,0.048,0.96,rain,51.22,39.87,41.82,0.85,1017.6,0.96,2,42.8,51.22,40.0,-4.0
Spain,,1/25/2020,Partly cloudy throughout the day.,rain,0.06,0.0002,0.0018,0.29,rain,55.14,34.8,39.42,0.83,1023.6,0.45,2,37.98,55.14,40.0,-4.0
Spain,,1/26/2020,Overcast throughout the day.,partly-cloudy-day,0.09,0.0002,0.0006,0.18,rain,56.68,48.64,38.05,0.79,1025.1,0.75,2,34.8,56.68,40.0,-4.0
Spain,,1/27/2020,Overcast throughout the day.,cloudy,0.12,0.0002,0.0007,0.22,rain,59.58,48.43,47.3,0.82,1023.4,1.0,2,49.51,59.58,40.0,-4.0
Spain,,1/28/2020,Overcast throughout the day.,cloudy,0.15,0.0001,0.0003,0.12,rain,60.77,45.17,45.99,0.8,1025.0,0.93,2,48.02,60.77,40.0,-4.0
Spain,,1/29/2020,Overcast throughout the day.,cloudy,0.18,0.0001,0.0003,0.07,rain,59.38,46.81,43.86,0.79,1025.1,0.96,2,45.17,59.38,40.0,-4.0
Spain,,1/30/2020,Overcast throughout the day.,cloudy,0.21,0.0001,0.0005,0.1,rain,62.45,52.61,48.03,0.83,1025.1,0.92,2,47.04,62.45,40.0,-4.0
Spain,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0002,0.0007,0.18,rain,64.51,45.41,50.6,0.82,1025.7,0.8,2,50.51,64.51,40.0,-4.0
Spain,,2/1/2020,Foggy in the morning.,partly-cloudy-day,0.27,0.0002,0.0006,0.12,rain,61.44,41.01,47.64,0.86,1030.1,0.67,3,45.41,61.44,40.0,-4.0
Spain,,2/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.31,0.0001,0.0003,0.05,rain,63.81,39.56,44.75,0.81,1031.0,0.48,3,41.01,63.81,40.0,-4.0
Spain,,2/3/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.06,rain,66.94,37.45,42.28,0.74,1030.1,0.1,3,39.56,66.94,40.0,-4.0
Spain,,2/4/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0003,0.03,rain,61.73,35.03,32.0,0.59,1028.1,0.0,3,37.45,61.73,40.0,-4.0
Spain,,2/5/2020,Clear throughout the day.,clear-day,0.41,0.0,0.0003,0.02,,59.0,39.37,38.88,0.78,1024.7,0.3,3,35.03,59.0,40.0,-4.0
Spain,,2/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.06,rain,59.1,37.87,40.36,0.77,1023.9,0.59,3,39.37,59.1,40.0,-4.0
Spain,,2/7/2020,Overcast throughout the day.,partly-cloudy-day,0.48,0.0001,0.0005,0.12,rain,57.23,36.44,41.0,0.84,1025.9,0.62,2,37.87,57.23,40.0,-4.0
Spain,,2/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.52,0.0001,0.0003,0.08,rain,59.48,41.21,40.65,0.82,1030.6,0.78,3,36.44,59.48,40.0,-4.0
Spain,,2/9/2020,Clear throughout the day.,clear-day,0.56,0.0002,0.0008,0.09,rain,63.42,40.7,44.42,0.83,1032.2,0.18,4,41.21,63.42,40.0,-4.0
