Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Sudan,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.04,rain,93.02,62.13,29.9,0.19,1011.1,0.48,7,60.6,93.02,12.8628,30.2176
Sudan,,1/1/2020,Partly cloudy throughout the day.,clear-day,0.24,0.0001,0.0004,0.05,rain,96.86,62.45,25.9,0.16,1010.7,0.3,8,62.13,96.86,12.8628,30.2176
Sudan,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0004,0.02,,87.7,56.33,18.02,0.12,1014.2,0.04,9,62.45,87.7,12.8628,30.2176
Sudan,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.06,rain,84.25,55.15,19.92,0.16,1014.9,0.44,10,56.33,84.25,12.8628,30.2176
Sudan,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0003,0.03,rain,80.77,52.97,19.73,0.17,1016.2,0.45,9,55.15,80.77,12.8628,30.2176
Sudan,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,84.47,57.6,10.96,0.11,1015.2,0.21,9,52.74,84.47,12.8628,30.2176
Sudan,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.0001,0.0002,0.06,rain,89.38,59.78,15.42,0.12,1014.7,0.59,7,57.6,89.38,12.8628,30.2176
Sudan,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.03,,86.02,54.19,11.1,0.1,1014.9,0.35,8,59.78,86.02,12.8628,30.2176
Sudan,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.01,,81.94,50.01,14.61,0.13,1016.1,0.01,10,54.19,81.94,12.8628,30.2176
Sudan,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.01,rain,79.28,45.9,15.68,0.16,1017.2,0.0,10,51.01,79.28,12.8628,30.2176
Sudan,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.01,rain,80.1,48.67,12.83,0.18,1017.8,0.0,10,45.9,80.1,12.8628,30.2176
Sudan,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.01,rain,81.56,50.03,6.85,0.12,1017.1,0.0,9,48.67,81.56,12.8628,30.2176
Sudan,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0,0.0,0.0,,86.94,56.8,23.22,0.2,1015.6,0.01,9,50.03,86.94,12.8628,30.2176
Sudan,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,92.11,59.03,15.23,0.12,1013.0,0.0,9,56.8,92.11,12.8628,30.2176
Sudan,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0,0.0,,97.18,61.42,27.03,0.18,1011.2,0.0,10,59.03,97.18,12.8628,30.2176
Sudan,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.01,rain,97.68,64.12,22.72,0.14,1011.4,0.0,10,61.42,97.68,12.8628,30.2176
Sudan,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.05,rain,93.32,57.12,26.6,0.17,1013.4,0.17,10,64.12,93.32,12.8628,30.2176
Sudan,,1/17/2020,Partly cloudy throughout the day.,clear-day,0.79,0.0,0.0002,0.02,,86.54,54.21,25.89,0.2,1015.3,0.26,8,57.12,86.54,12.8628,30.2176
Sudan,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,83.85,55.11,29.06,0.26,1016.1,0.07,10,54.21,83.85,12.8628,30.2176
Sudan,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.86,0.0,0.0002,0.02,,83.94,52.59,13.13,0.12,1016.6,0.41,8,55.11,83.94,12.8628,30.2176
Sudan,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0,0.0,0.0,,82.41,51.52,10.28,0.12,1016.3,0.19,10,52.59,82.41,12.8628,30.2176
Sudan,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0,0.0,,81.8,50.12,14.19,0.15,1016.3,0.01,10,51.52,81.8,12.8628,30.2176
Sudan,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0,0.0,0.0,,79.23,48.69,8.38,0.13,1017.8,0.05,9,50.12,79.23,12.8628,30.2176
Sudan,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0,0.0002,0.01,,80.65,50.75,9.05,0.12,1018.7,0.05,10,48.69,80.65,12.8628,30.2176
Sudan,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0003,0.03,rain,82.62,51.46,11.17,0.13,1018.7,0.09,10,50.75,82.62,12.8628,30.2176
Sudan,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0004,0.03,rain,85.22,52.99,18.28,0.16,1017.1,0.0,10,51.46,85.22,12.8628,30.2176
Sudan,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.05,rain,87.24,50.55,23.18,0.19,1015.1,0.0,10,52.99,87.24,12.8628,30.2176
Sudan,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0002,0.01,,88.24,53.09,13.44,0.13,1014.2,0.3,9,50.55,88.24,12.8628,30.2176
Sudan,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.02,rain,88.01,52.51,15.62,0.13,1014.8,0.04,11,53.09,88.01,12.8628,30.2176
Sudan,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.02,rain,88.33,56.2,13.02,0.12,1014.9,0.07,11,52.51,88.33,12.8628,30.2176
Sudan,,1/30/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.02,rain,87.52,54.85,24.17,0.18,1014.8,0.67,6,56.2,87.52,12.8628,30.2176
